dataset_id,split,replicate,complexity_condition,global_truth_K,candidate_index,candidate_id,lipid_name,X_hat,candidate_truth,molecular_truth,same_lipid_alternative_candidate,rho_zero,domain,K,reportable_truth
D0__CAL_R3_K125,CAL,R3,K125,125,0,PA-H__0075,PA 16:0_24:0,0.0037706164422720533,False,False,False,0.0,D0,125,False
D0__CAL_R3_K125,CAL,R3,K125,125,1,PA-H__0076,PA 16:0_24:1,0.003208566246574051,False,False,False,0.0,D0,125,False
D0__CAL_R3_K125,CAL,R3,K125,125,11,PA-H__0117,PA 18:0_22:0,0.028443569034402504,True,True,False,4.74173224031582e-06,D0,125,True
D0__CAL_R3_K125,CAL,R3,K125,125,12,PA-H__0118,PA 18:0_22:1,0.01579049612427627,True,True,False,1.4773880295991269e-06,D0,125,True
D0__CAL_R3_K125,CAL,R3,K125,125,16,PA-H__0122,PA 18:0_22:5,0.01647364243759865,False,False,False,2.468072849133357e-21,D0,125,False
D0__CAL_R3_K125,CAL,R3,K125,125,20,PA-H__0127,PA 18:0_24:3,0.004215080252011767,False,False,False,2.0848804294529445e-25,D0,125,False
D0__CAL_R3_K125,CAL,R3,K125,125,21,PA-H__0128,PA 18:0_24:4,0.005133729146336158,False,False,False,0.0,D0,125,False
D0__CAL_R3_K125,CAL,R3,K125,125,22,PA-H__0129,PA 18:0_24:5,0.015601251970105454,True,True,False,1.2084406194915506e-06,D0,125,True
D0__CAL_R3_K125,CAL,R3,K125,125,24,PA-H__0140,PA 22:0_18:1,0.004644433161562396,False,False,False,0.0,D0,125,False
D0__CAL_R3_K125,CAL,R3,K125,125,25,PA-H__0141,PA 18:1_22:1,0.0027418388909694513,False,False,False,2.7869740486546957e-22,D0,125,False
D0__CAL_R3_K125,CAL,R3,K125,125,28,PA-H__0144,PA 18:1_22:4,0.0037303531222809046,False,False,False,1.0725487017670357e-26,D0,125,False
D0__CAL_R3_K125,CAL,R3,K125,125,32,PA-H__0150,PA 18:1_24:3,0.0012233508012228884,False,False,False,4.988291937891829e-23,D0,125,False
