lipid_name,ISTA_X_hat,ISTA_raw_solver_reported,ISTA_joint_score,ISTA_retained_by_pool,ISTA_retained_by_fdp5,ISTA_retained_by_fdp1,NNLS_X_hat,NNLS_raw_solver_reported,NNLS_joint_score,NNLS_retained_by_pool,NNLS_retained_by_fdp5,NNLS_retained_by_fdp1
PG 18:2_20:2,0.0021282280458019428,True,0.08259604507114669,False,False,False,0,False,,False,False,False
PG 17:0_20:1,0.004877012592005975,True,0.7312257025973047,True,False,False,0.0027162461525466843,True,0.24290551478498904,False,False,False
PG 17:1_20:1,0.0025246432852639067,True,0.17406360526221573,False,False,False,0.0013283275965953964,True,0.009470502156032951,False,False,False
PG 17:1_20:2,0.001027884660910343,True,0.002317892033527966,False,False,False,0,False,,False,False,False
PC 14:0_18:0,0.013064874170262345,True,0.9408406095764477,True,True,False,0.009513886314885343,True,0.9011244990462042,True,True,False
PC O-16:1_16:1,0.005480474190915677,True,0.7674107366959951,True,False,False,0.005995691993740868,True,0.8104216704166864,True,True,False
PC 14:0_20:1,0,False,,False,False,False,0.005479098325998367,True,0.7042520798074441,True,False,False
PC 14:1_17:1,0.0014836530613080638,True,0.015288622618421963,False,False,False,0.0034510096082059866,True,0.400800243941928,False,False,False
PC 20:0_14:1,0,False,,False,False,False,0.007771015131990303,True,0.903040221969952,True,True,False
PC 14:1_20:1,0.0010918874494828912,True,0.0031661377409713328,False,False,False,0,False,,False,False,False
PC 16:0_18:0,0.0029140906919341543,True,0.2733314382923654,False,False,False,0,False,,False,False,False
PC 16:0_18:1,0.04736858283734614,True,0.9477904614485442,True,True,False,0.024861283741854034,True,0.952369296707048,True,True,False
PC 18:0_16:1,0.0010720296356095517,True,0.0028595176421202613,False,False,False,0,False,,False,False,False
PC 17:0_17:1,0.0010813103441311062,True,0.0022870575889049455,False,False,False,0.010669718675442252,True,0.9276404321491241,True,True,False
