dataset_id,severity,split,lipid_name,molecular_truth,reportable_truth,raw_solver_reported,X_hat,rho_zero
NNLS_FULL_LIBRARY_5PCT__CAL_R71_K125,FULL_LIBRARY_5PCT,CAL,PE 17:0_22:3,False,False,False,0,
NNLS_FULL_LIBRARY_5PCT__CAL_R71_K125,FULL_LIBRARY_5PCT,CAL,PE 17:0_22:4,False,False,False,0,
NNLS_FULL_LIBRARY_5PCT__CAL_R71_K125,FULL_LIBRARY_5PCT,CAL,PE 17:0_22:5,False,False,False,0,
NNLS_FULL_LIBRARY_5PCT__CAL_R71_K125,FULL_LIBRARY_5PCT,CAL,PE 17:0_22:6,False,False,False,0,
NNLS_FULL_LIBRARY_5PCT__CAL_R71_K125,FULL_LIBRARY_5PCT,CAL,PE 20:0_17:1,True,True,True,0.03162741877649272,3.1313493877247485e-05
NNLS_FULL_LIBRARY_5PCT__CAL_R71_K125,FULL_LIBRARY_5PCT,CAL,PE 17:1_20:1,False,False,True,0.0013605864785226308,7.466364324416354e-21
NNLS_FULL_LIBRARY_5PCT__CAL_R71_K125,FULL_LIBRARY_5PCT,CAL,PE 17:1_20:2,False,False,False,0,
NNLS_FULL_LIBRARY_5PCT__CAL_R71_K125,FULL_LIBRARY_5PCT,CAL,PE 17:1_20:3,False,False,False,0,
NNLS_FULL_LIBRARY_5PCT__CAL_R71_K125,FULL_LIBRARY_5PCT,CAL,PE 17:1_20:4,True,True,True,0.0050763919651838465,8.041305890967636e-08
NNLS_FULL_LIBRARY_5PCT__CAL_R71_K125,FULL_LIBRARY_5PCT,CAL,PE 17:1_22:1,True,True,True,0.027180444353800966,6.596675297032417e-06
NNLS_FULL_LIBRARY_5PCT__CAL_R71_K125,FULL_LIBRARY_5PCT,CAL,PE 17:1_22:3,False,False,True,0.0024345404043153787,1.6095269804060587e-10
NNLS_FULL_LIBRARY_5PCT__CAL_R71_K125,FULL_LIBRARY_5PCT,CAL,PE 17:1_22:4,False,False,False,0,
NNLS_FULL_LIBRARY_5PCT__CAL_R71_K125,FULL_LIBRARY_5PCT,CAL,PE 17:1_22:5,False,False,False,0,
NNLS_FULL_LIBRARY_5PCT__CAL_R71_K125,FULL_LIBRARY_5PCT,CAL,PE 17:1_22:6,False,False,False,0,
NNLS_FULL_LIBRARY_5PCT__CAL_R71_K125,FULL_LIBRARY_5PCT,CAL,PE O-16:0_22:1,False,False,True,0.001658499153640823,2.952610112292752e-08
NNLS_FULL_LIBRARY_5PCT__CAL_R71_K125,FULL_LIBRARY_5PCT,CAL,PE O-16:0_22:2,True,True,True,0.015044363627612753,5.5160457684247815e-09
NNLS_FULL_LIBRARY_5PCT__CAL_R71_K125,FULL_LIBRARY_5PCT,CAL,PE O-16:0_22:3,True,True,True,0.01452033380192346,4.713344446497771e-08
NNLS_FULL_LIBRARY_5PCT__CAL_R71_K125,FULL_LIBRARY_5PCT,CAL,PE O-16:0_22:4,False,False,True,0.0016586755354360539,0.0
NNLS_FULL_LIBRARY_5PCT__CAL_R71_K125,FULL_LIBRARY_5PCT,CAL,PE O-16:0_22:5,False,False,False,0,
NNLS_FULL_LIBRARY_5PCT__CAL_R71_K125,FULL_LIBRARY_5PCT,CAL,PE O-16:0_22:6,False,False,False,0,
NNLS_FULL_LIBRARY_5PCT__CAL_R71_K125,FULL_LIBRARY_5PCT,CAL,PE O-16:1_22:0,True,True,True,0.006458691880831839,8.619908591812377e-08
NNLS_FULL_LIBRARY_5PCT__CAL_R71_K125,FULL_LIBRARY_5PCT,CAL,PE O-16:1_22:1,False,False,True,0.0022963107040156485,2.1579046958099758e-09
NNLS_FULL_LIBRARY_5PCT__CAL_R71_K125,FULL_LIBRARY_5PCT,CAL,PE O-16:1_22:2,True,True,True,0.015740418580566386,7.615701454115225e-08
NNLS_FULL_LIBRARY_5PCT__CAL_R71_K125,FULL_LIBRARY_5PCT,CAL,PE O-16:1_22:3,False,False,True,0.015531104203256664,3.0713619337012626e-08
NNLS_FULL_LIBRARY_5PCT__CAL_R71_K125,FULL_LIBRARY_5PCT,CAL,PE O-16:1_22:4,True,True,True,0.004776341977235657,3.575450756366518e-09
NNLS_FULL_LIBRARY_5PCT__CAL_R71_K125,FULL_LIBRARY_5PCT,CAL,PE O-16:1_22:5,True,True,True,0.02015803518368939,2.861773308395457e-07
NNLS_FULL_LIBRARY_5PCT__CAL_R71_K125,FULL_LIBRARY_5PCT,CAL,PE O-16:1_24:0,False,False,False,0,
NNLS_FULL_LIBRARY_5PCT__CAL_R71_K125,FULL_LIBRARY_5PCT,CAL,PE O-16:1_24:1,True,True,True,0.007138872446655518,1.765899180872759e-05
NNLS_FULL_LIBRARY_5PCT__CAL_R71_K125,FULL_LIBRARY_5PCT,CAL,PE O-16:1_24:4,False,False,False,0,
NNLS_FULL_LIBRARY_5PCT__CAL_R71_K125,FULL_LIBRARY_5PCT,CAL,PE O-16:1_24:5,False,False,False,0,
NNLS_FULL_LIBRARY_5PCT__CAL_R71_K125,FULL_LIBRARY_5PCT,CAL,PE O-16:1_24:6,False,False,False,0,
NNLS_FULL_LIBRARY_5PCT__CAL_R71_K125,FULL_LIBRARY_5PCT,CAL,PE O-18:0_20:1,False,False,True,0.0021753016094739445,4.016757499999869e-09
NNLS_FULL_LIBRARY_5PCT__CAL_R71_K125,FULL_LIBRARY_5PCT,CAL,PE O-18:0_20:2,False,False,True,0.0016013063404804525,0.0
NNLS_FULL_LIBRARY_5PCT__CAL_R71_K125,FULL_LIBRARY_5PCT,CAL,PE O-18:0_20:3,False,False,False,0,
NNLS_FULL_LIBRARY_5PCT__CAL_R71_K125,FULL_LIBRARY_5PCT,CAL,PE O-18:0_20:4,False,False,False,0,
NNLS_FULL_LIBRARY_5PCT__CAL_R71_K125,FULL_LIBRARY_5PCT,CAL,PE O-18:0_20:5,False,False,False,0,
NNLS_FULL_LIBRARY_5PCT__CAL_R71_K125,FULL_LIBRARY_5PCT,CAL,PE O-18:0_22:1,True,True,True,0.024576549578550242,1.51427101278117e-05
NNLS_FULL_LIBRARY_5PCT__CAL_R71_K125,FULL_LIBRARY_5PCT,CAL,PE O-18:0_22:2,True,True,True,0.027818352146134557,5.001165156668034e-07
NNLS_FULL_LIBRARY_5PCT__CAL_R71_K125,FULL_LIBRARY_5PCT,CAL,PE O-18:0_22:3,False,False,False,0,
NNLS_FULL_LIBRARY_5PCT__CAL_R71_K125,FULL_LIBRARY_5PCT,CAL,PE O-18:0_22:4,False,False,False,0,
NNLS_FULL_LIBRARY_5PCT__CAL_R71_K125,FULL_LIBRARY_5PCT,CAL,PE O-18:0_22:5,False,False,False,0,
NNLS_FULL_LIBRARY_5PCT__CAL_R71_K125,FULL_LIBRARY_5PCT,CAL,PE O-18:0_22:6,False,False,False,0,
NNLS_FULL_LIBRARY_5PCT__CAL_R71_K125,FULL_LIBRARY_5PCT,CAL,PE O-18:1_20:1,True,True,True,0.005897909671233174,6.403997945591055e-08
NNLS_FULL_LIBRARY_5PCT__CAL_R71_K125,FULL_LIBRARY_5PCT,CAL,PE O-18:1_20:2,False,False,True,0.007815877186824586,2.665580249633073e-08
NNLS_FULL_LIBRARY_5PCT__CAL_R71_K125,FULL_LIBRARY_5PCT,CAL,PE O-18:1_20:3,False,False,True,0.0034198662400766336,2.9603638901360353e-09
