score,threshold,TP,FP,FDR,precision,all_truth_recall,TP_retention,reportable_truth_recall,coverage,solver_FN,post_solver_true_loss
rho_zero,1.9950862623763457e-05,30,2,0.0625,0.9375,0.24,0.24,0.24,0.15165876777251186,0,95
rho_zero,1.9403014256663548e-05,31,2,0.06060606060606061,0.9393939393939394,0.248,0.248,0.248,0.15639810426540285,0,94
rho_zero,1.9372376049906116e-05,32,2,0.058823529411764705,0.9411764705882353,0.256,0.256,0.256,0.16113744075829384,0,93
rho_zero,1.8564222906953895e-05,32,3,0.08571428571428572,0.9142857142857143,0.256,0.256,0.256,0.16587677725118483,0,93
rho_zero,1.7543740552697457e-05,32,4,0.1111111111111111,0.8888888888888888,0.256,0.256,0.256,0.17061611374407584,0,93
rho_zero,1.7512146450466613e-05,33,4,0.10810810810810811,0.8918918918918919,0.264,0.264,0.264,0.17535545023696683,0,92
rho_zero,1.7247970376157353e-05,33,5,0.13157894736842105,0.868421052631579,0.264,0.264,0.264,0.18009478672985782,0,92
rho_zero,1.6388739389102532e-05,34,5,0.1282051282051282,0.8717948717948718,0.272,0.272,0.272,0.1848341232227488,0,91
rho_zero,1.4543012328957631e-05,35,5,0.125,0.875,0.28,0.28,0.28,0.1895734597156398,0,90
rho_zero,1.3458915464334212e-05,36,5,0.12195121951219512,0.8780487804878049,0.288,0.288,0.288,0.1943127962085308,0,89
rho_zero,1.3358524096542611e-05,36,6,0.14285714285714285,0.8571428571428571,0.288,0.288,0.288,0.1990521327014218,0,89
rho_zero,1.3218154647409334e-05,37,6,0.13953488372093023,0.8604651162790697,0.296,0.296,0.296,0.2037914691943128,0,88
rho_zero,1.1606919626331856e-05,37,7,0.1590909090909091,0.8409090909090909,0.296,0.296,0.296,0.20853080568720378,0,88
rho_zero,1.0706220360063319e-05,38,7,0.15555555555555556,0.8444444444444444,0.304,0.304,0.304,0.2132701421800948,0,87
rho_zero,1.0330772482951994e-05,38,8,0.17391304347826086,0.8260869565217391,0.304,0.304,0.304,0.21800947867298578,0,87
rho_zero,9.806839998786968e-06,39,8,0.1702127659574468,0.8297872340425532,0.312,0.312,0.312,0.22274881516587677,0,86
rho_zero,9.208863266961002e-06,40,8,0.16666666666666666,0.8333333333333334,0.32,0.32,0.32,0.22748815165876776,0,85
rho_zero,9.019135255059453e-06,40,9,0.1836734693877551,0.8163265306122449,0.32,0.32,0.32,0.23222748815165878,0,85
rho_zero,8.474893859679513e-06,40,10,0.2,0.8,0.32,0.32,0.32,0.23696682464454977,0,85
rho_zero,7.658890297915767e-06,41,10,0.19607843137254902,0.803921568627451,0.328,0.328,0.328,0.24170616113744076,0,84
rho_zero,7.640653914036409e-06,42,10,0.19230769230769232,0.8076923076923077,0.336,0.336,0.336,0.24644549763033174,0,83
rho_zero,6.933346921735912e-06,43,10,0.18867924528301888,0.8113207547169812,0.344,0.344,0.344,0.25118483412322273,0,82
rho_zero,6.1824595780249055e-06,43,11,0.2037037037037037,0.7962962962962963,0.344,0.344,0.344,0.2559241706161137,0,82
rho_zero,6.1057144497455745e-06,43,12,0.21818181818181817,0.7818181818181819,0.344,0.344,0.344,0.26066350710900477,0,82
rho_zero,6.011864886821913e-06,44,12,0.21428571428571427,0.7857142857142857,0.352,0.352,0.352,0.26540284360189575,0,81
rho_zero,5.928902441520948e-06,45,12,0.21052631578947367,0.7894736842105263,0.36,0.36,0.36,0.27014218009478674,0,80
rho_zero,5.8091438612578425e-06,46,12,0.20689655172413793,0.7931034482758621,0.368,0.368,0.368,0.27488151658767773,0,79
rho_zero,5.563320381585912e-06,47,12,0.2033898305084746,0.7966101694915254,0.376,0.376,0.376,0.2796208530805687,0,78
rho_zero,5.157507811758715e-06,48,12,0.2,0.8,0.384,0.384,0.384,0.2843601895734597,0,77
rho_zero,5.0335288192311915e-06,49,12,0.19672131147540983,0.8032786885245902,0.392,0.392,0.392,0.2890995260663507,0,76
rho_zero,4.882100253894233e-06,50,12,0.1935483870967742,0.8064516129032258,0.4,0.4,0.4,0.2938388625592417,0,75
rho_zero,4.6078165220098575e-06,51,12,0.19047619047619047,0.8095238095238095,0.408,0.408,0.408,0.2985781990521327,0,74
rho_zero,4.076341856791245e-06,52,12,0.1875,0.8125,0.416,0.416,0.416,0.3033175355450237,0,73
rho_zero,3.719741916069899e-06,53,12,0.18461538461538463,0.8153846153846154,0.424,0.424,0.424,0.3080568720379147,0,72
rho_zero,3.711634532459841e-06,54,12,0.18181818181818182,0.8181818181818182,0.432,0.432,0.432,0.3127962085308057,0,71
rho_zero,3.4110935277019974e-06,55,12,0.1791044776119403,0.8208955223880597,0.44,0.44,0.44,0.3175355450236967,0,70
rho_zero,3.213895515078806e-06,55,13,0.19117647058823528,0.8088235294117647,0.44,0.44,0.44,0.3222748815165877,0,70
rho_zero,3.0396547484229727e-06,55,14,0.2028985507246377,0.7971014492753623,0.44,0.44,0.44,0.32701421800947866,0,70
rho_zero,2.596508867838587e-06,55,15,0.21428571428571427,0.7857142857142857,0.44,0.44,0.44,0.33175355450236965,0,70
rho_zero,2.3008224439347147e-06,56,15,0.2112676056338028,0.7887323943661971,0.448,0.448,0.448,0.33649289099526064,0,69
rho_zero,2.2176691945372614e-06,56,16,0.2222222222222222,0.7777777777777778,0.448,0.448,0.448,0.3412322274881517,0,69
rho_zero,1.9739720590925727e-06,56,17,0.2328767123287671,0.7671232876712328,0.448,0.448,0.448,0.3459715639810427,0,69
rho_zero,1.9632249799889205e-06,57,17,0.22972972972972974,0.7702702702702703,0.456,0.456,0.456,0.35071090047393366,0,68
rho_zero,1.9547166903403568e-06,58,17,0.22666666666666666,0.7733333333333333,0.464,0.464,0.464,0.35545023696682465,0,67
rho_zero,1.9465127661081986e-06,59,17,0.2236842105263158,0.7763157894736842,0.472,0.472,0.472,0.36018957345971564,0,66
rho_zero,1.7457523371189477e-06,60,17,0.22077922077922077,0.7792207792207793,0.48,0.48,0.48,0.36492890995260663,0,65
rho_zero,1.7406337881408617e-06,61,17,0.21794871794871795,0.782051282051282,0.488,0.488,0.488,0.3696682464454976,0,64
rho_zero,1.726494760920503e-06,62,17,0.21518987341772153,0.7848101265822784,0.496,0.496,0.496,0.3744075829383886,0,63
rho_zero,1.7096233826733347e-06,62,18,0.225,0.775,0.496,0.496,0.496,0.3791469194312796,0,63
rho_zero,1.5896968670285708e-06,63,18,0.2222222222222222,0.7777777777777778,0.504,0.504,0.504,0.38388625592417064,0,62
rho_zero,1.3405515272793722e-06,63,19,0.23170731707317074,0.7682926829268293,0.504,0.504,0.504,0.3886255924170616,0,62
rho_zero,1.3379837142782399e-06,64,19,0.2289156626506024,0.7710843373493976,0.512,0.512,0.512,0.3933649289099526,0,61
rho_zero,1.3287116193309758e-06,65,19,0.2261904761904762,0.7738095238095238,0.52,0.52,0.52,0.3981042654028436,0,60
rho_zero,1.2658698082906799e-06,66,19,0.2235294117647059,0.7764705882352941,0.528,0.528,0.528,0.4028436018957346,0,59
rho_zero,1.1821317937721498e-06,66,20,0.23255813953488372,0.7674418604651163,0.528,0.528,0.528,0.4075829383886256,0,59
rho_zero,1.1008056375859036e-06,66,21,0.2413793103448276,0.7586206896551724,0.528,0.528,0.528,0.41232227488151657,0,59
rho_zero,1.090330298137343e-06,67,21,0.23863636363636365,0.7613636363636364,0.536,0.536,0.536,0.41706161137440756,0,58
rho_zero,1.090299659591962e-06,68,21,0.23595505617977527,0.7640449438202247,0.544,0.544,0.544,0.4218009478672986,0,57
rho_zero,1.0874742489116952e-06,68,22,0.24444444444444444,0.7555555555555555,0.544,0.544,0.544,0.4265402843601896,0,57
rho_zero,9.072898632226733e-07,68,23,0.25274725274725274,0.7472527472527473,0.544,0.544,0.544,0.4312796208530806,0,57
rho_zero,8.718766390187077e-07,69,23,0.25,0.75,0.552,0.552,0.552,0.43601895734597157,0,56
rho_zero,8.030162348064791e-07,69,24,0.25806451612903225,0.7419354838709677,0.552,0.552,0.552,0.44075829383886256,0,56
rho_zero,7.409885003223168e-07,70,24,0.2553191489361702,0.7446808510638298,0.56,0.56,0.56,0.44549763033175355,0,55
rho_zero,7.183856999576672e-07,71,24,0.25263157894736843,0.7473684210526316,0.568,0.568,0.568,0.45023696682464454,0,54
rho_zero,7.142282267242483e-07,71,25,0.2604166666666667,0.7395833333333334,0.568,0.568,0.568,0.4549763033175355,0,54
rho_zero,7.132819448251793e-07,72,25,0.25773195876288657,0.7422680412371134,0.576,0.576,0.576,0.4597156398104265,0,53
rho_zero,6.917752800400272e-07,73,25,0.25510204081632654,0.7448979591836735,0.584,0.584,0.584,0.46445497630331756,0,52
rho_zero,6.849512970555647e-07,73,26,0.26262626262626265,0.7373737373737373,0.584,0.584,0.584,0.46919431279620855,0,52
rho_zero,6.794001730614727e-07,74,26,0.26,0.74,0.592,0.592,0.592,0.47393364928909953,0,51
