dataset_id,domain,K,split,replicate,lipid_name,lipid_class,X_hat,rho_zero,rho_zero_status,raw_solver_reported,molecular_truth,reportable_truth,candidate_indices
D0__CAL_R1_K125,D0,125,CAL,R1,PA 18:3_24:4,PA,0.002241545486156376,6.066452738819561e-23,COMPUTED,True,False,False,[54]
D0__CAL_R1_K125,D0,125,CAL,R1,PA 18:3_24:5,PA,8.328761540078021e-06,,NOT_COMPUTED,False,False,False,[55]
D0__CAL_R1_K125,D0,125,CAL,R1,PA 18:3_24:6,PA,0.0033606614784760804,1.4797673994941995e-26,COMPUTED,True,False,False,[56]
D0__CAL_R1_K125,D0,125,CAL,R1,PA 20:0_20:0,PA,0.010910942541223597,6.782372493184656e-08,COMPUTED,True,True,True,[57]
D0__CAL_R1_K125,D0,125,CAL,R1,PA 20:0_20:1,PA,0.004351126304084713,2.6757806437086343e-22,COMPUTED,True,False,False,[58]
D0__CAL_R1_K125,D0,125,CAL,R1,PA 20:0_20:2,PA,0.0047531111870621765,0.0,COMPUTED,True,False,False,[59]
D0__CAL_R1_K125,D0,125,CAL,R1,PA 20:0_20:3,PA,2.7781911969304486e-07,,NOT_COMPUTED,False,False,False,[60]
D0__CAL_R1_K125,D0,125,CAL,R1,PA 20:0_20:4,PA,6.320835043699956e-05,,NOT_COMPUTED,False,False,False,[61]
D0__CAL_R1_K125,D0,125,CAL,R1,PA 20:0_20:5,PA,0.006172947505311743,4.795200814967674e-07,COMPUTED,True,True,True,[62]
D0__CAL_R1_K125,D0,125,CAL,R1,PA 20:0_22:0,PA,0.00018593895539850268,,NOT_COMPUTED,False,False,False,[63]
D0__CAL_R1_K125,D0,125,CAL,R1,PA 20:0_22:1,PA,6.417496532776512e-05,,NOT_COMPUTED,False,False,False,[64]
D0__CAL_R1_K125,D0,125,CAL,R1,PA 20:0_22:2,PA,3.639940066571069e-05,,NOT_COMPUTED,False,False,False,[65]
D0__CAL_R1_K125,D0,125,CAL,R1,PA 20:0_22:3,PA,0.01591097533657141,4.8046456863939724e-06,COMPUTED,True,True,True,[66]
D0__CAL_R1_K125,D0,125,CAL,R1,PA 20:0_22:4,PA,0.003464876541277545,3.9638343874987126e-07,COMPUTED,True,True,True,[67]
D0__CAL_R1_K125,D0,125,CAL,R1,PA 20:0_22:5,PA,0.005077843949308002,3.9186570890355e-24,COMPUTED,True,False,False,[68]
D0__CAL_R1_K125,D0,125,CAL,R1,PA 20:0_22:6,PA,0.005610930517597787,3.6128632264219517e-22,COMPUTED,True,False,False,[69]
D0__CAL_R1_K125,D0,125,CAL,R1,PA 20:1_20:1,PA,0.013645231676725308,1.3174379947829708e-06,COMPUTED,True,True,True,[70]
D0__CAL_R1_K125,D0,125,CAL,R1,PA 20:1_20:2,PA,0.0,,NOT_COMPUTED,False,False,False,[71]
D0__CAL_R1_K125,D0,125,CAL,R1,PA 20:1_20:3,PA,0.0,,NOT_COMPUTED,False,False,False,[72]
D0__CAL_R1_K125,D0,125,CAL,R1,PA 20:1_20:4,PA,0.0014716534180492264,3.384541383916187e-24,COMPUTED,True,False,False,[73]
D0__CAL_R1_K125,D0,125,CAL,R1,PA 20:1_22:1,PA,0.0,,NOT_COMPUTED,False,False,False,[75]
D0__CAL_R1_K125,D0,125,CAL,R1,PA 20:1_22:2,PA,0.0018832069650138287,1.5652140765486438e-26,COMPUTED,True,False,False,[76]
D0__CAL_R1_K125,D0,125,CAL,R1,PA 20:1_22:3,PA,0.001879719564177877,0.0,COMPUTED,True,False,False,[77]
D0__CAL_R1_K125,D0,125,CAL,R1,PA 20:1_22:4,PA,1.3606589884110421e-05,,NOT_COMPUTED,False,False,False,[78]
D0__CAL_R1_K125,D0,125,CAL,R1,PA 20:1_22:5,PA,0.0018295181601769015,0.0,COMPUTED,True,False,False,[79]
D0__CAL_R1_K125,D0,125,CAL,R1,PA 20:1_22:6,PA,0.005039991791635266,3.434936574944214e-07,COMPUTED,True,True,True,[80]
D0__CAL_R1_K125,D0,125,CAL,R1,PA 20:2_20:2,PA,0.0,,NOT_COMPUTED,False,False,False,[81]
D0__CAL_R1_K125,D0,125,CAL,R1,PA 20:2_20:3,PA,0.00024647895423293963,,NOT_COMPUTED,False,False,False,[82]
D0__CAL_R1_K125,D0,125,CAL,R1,PA 20:2_22:2,PA,0.00022193974114725852,,NOT_COMPUTED,False,False,False,[85]
D0__CAL_R1_K125,D0,125,CAL,R1,PA 20:2_22:3,PA,0.0012399180660413432,0.0,COMPUTED,True,False,False,[86]
D0__CAL_R1_K125,D0,125,CAL,R1,PA 20:2_22:4,PA,3.180829861149465e-05,,NOT_COMPUTED,False,False,False,[87]
D0__CAL_R1_K125,D0,125,CAL,R1,PA 20:2_22:5,PA,0.00016058107188026048,,NOT_COMPUTED,False,False,False,[88]
D0__CAL_R1_K125,D0,125,CAL,R1,PA 20:2_22:6,PA,0.0008653122412759123,,NOT_COMPUTED,False,False,False,[89]
D0__CAL_R1_K125,D0,125,CAL,R1,PA 20:3_22:3,PA,0.000907565722335029,,NOT_COMPUTED,False,False,False,[93]
D0__CAL_R1_K125,D0,125,CAL,R1,PA 20:3_22:4,PA,0.0,,NOT_COMPUTED,False,False,False,[94]
D0__CAL_R1_K125,D0,125,CAL,R1,PA 20:3_22:5,PA,0.0017944446400856616,2.3605738174510456e-26,COMPUTED,True,False,False,[95]
D0__CAL_R1_K125,D0,125,CAL,R1,PA 20:3_22:6,PA,0.014582658603816514,1.7082854056259504e-05,COMPUTED,True,True,True,[96]
D0__CAL_R1_K125,D0,125,CAL,R1,PA 20:3_24:6,PA,0.0055763662700160236,0.0,COMPUTED,True,False,False,[97]
D0__CAL_R1_K125,D0,125,CAL,R1,PA 20:4_22:4,PA,7.231650974203327e-10,,NOT_COMPUTED,False,False,False,[102]
D0__CAL_R1_K125,D0,125,CAL,R1,PA 20:4_22:5,PA,2.6485088323886683e-06,,NOT_COMPUTED,False,False,False,[103]
D0__CAL_R1_K125,D0,125,CAL,R1,PA 20:4_22:6,PA,0.00014058461726280933,,NOT_COMPUTED,False,False,False,[104]
D0__CAL_R1_K125,D0,125,CAL,R1,PA 20:4_24:5,PA,3.152995403583059e-05,,NOT_COMPUTED,False,False,False,[105]
D0__CAL_R1_K125,D0,125,CAL,R1,PA 20:4_24:6,PA,7.400076635771551e-06,,NOT_COMPUTED,False,False,False,[106]
D0__CAL_R1_K125,D0,125,CAL,R1,PA 20:5_22:5,PA,0.00626097254450297,4.839928656055083e-06,COMPUTED,True,True,True,[112]
