threshold,N_retained,TP,FP,FN,FDR,FDR_lower95,FDR_upper95,precision,raw_solver_TP,raw_solver_FP,raw_solver_FN,filtered_TP,filtered_FP,filtered_FN,true_positive_retention,TP_retention,filter_induced_true_loss,filter_induced_true_loss_fraction,all_truth_recall,reportable_truth_recall,coverage
2.926093774091648e-22,475,361,114,14,0.24,0.2037760759194571,0.2803955732766685,0.76,361,354,14,361,114,14,1.0,1.0,0,0.0,0.9626666666666667,0.9626666666666667,0.6643356643356644
2.8998186586176278e-22,476,361,115,14,0.2415966386554622,0.20530985883955521,0.2820208094928687,0.7584033613445378,361,354,14,361,115,14,1.0,1.0,0,0.0,0.9626666666666667,0.9626666666666667,0.6657342657342658
2.33923797895987e-22,477,361,116,14,0.2431865828092243,0.20683819387489927,0.28363835404822696,0.7568134171907757,361,354,14,361,116,14,1.0,1.0,0,0.0,0.9626666666666667,0.9626666666666667,0.6671328671328671
2.187459139415562e-22,478,361,117,14,0.24476987447698745,0.2083611026755053,0.2852482671010402,0.7552301255230126,361,354,14,361,117,14,1.0,1.0,0,0.0,0.9626666666666667,0.9626666666666667,0.6685314685314685
2.07383501227833e-22,479,361,118,14,0.24634655532359082,0.20987860696152896,0.28685060806174145,0.7536534446764092,361,354,14,361,118,14,1.0,1.0,0,0.0,0.9626666666666667,0.9626666666666667,0.66993006993007
1.9730898415267565e-22,480,361,119,14,0.24791666666666667,0.21139072851547502,0.28844543560769426,0.7520833333333333,361,354,14,361,119,14,1.0,1.0,0,0.0,0.9626666666666667,0.9626666666666667,0.6713286713286714
1.9411394788173215e-22,481,361,120,14,0.2494802494802495,0.21289748917476148,0.2900328076975456,0.7505197505197505,361,354,14,361,120,14,1.0,1.0,0,0.0,0.9626666666666667,0.9626666666666667,0.6727272727272727
1.9199714815960487e-22,482,361,121,14,0.25103734439834025,0.21439891082462123,0.29161278158515513,0.7489626556016598,361,354,14,361,121,14,1.0,1.0,0,0.0,0.9626666666666667,0.9626666666666667,0.6741258741258741
1.8358508445195135e-22,483,361,122,14,0.2525879917184265,0.21589501539132608,0.2931854138331192,0.7474120082815735,361,354,14,361,122,14,1.0,1.0,0,0.0,0.9626666666666667,0.9626666666666667,0.6755244755244755
1.677370477320029e-22,484,361,123,14,0.25413223140495866,0.21738582483571808,0.29475076032590347,0.7458677685950413,361,354,14,361,123,14,1.0,1.0,0,0.0,0.9626666666666667,0.9626666666666667,0.676923076923077
1.6541696226431358e-22,485,361,124,14,0.2556701030927835,0.21887136114703318,0.29630887628260133,0.7443298969072165,361,354,14,361,124,14,1.0,1.0,0,0.0,0.9626666666666667,0.9626666666666667,0.6783216783216783
1.5489701743066647e-22,486,361,125,14,0.257201646090535,0.22035164633700555,0.29785981626933244,0.742798353909465,361,354,14,361,125,14,1.0,1.0,0,0.0,0.9626666666666667,0.9626666666666667,0.6797202797202797
1.4946000380036285e-22,487,361,126,14,0.2587268993839836,0.22182670243423758,0.29940363421129373,0.7412731006160165,361,354,14,361,126,14,1.0,1.0,0,0.0,0.9626666666666667,0.9626666666666667,0.6811188811188811
1.48432790217838e-22,488,361,127,14,0.26024590163934425,0.2232965514788262,0.30094038340447904,0.7397540983606558,361,354,14,361,127,14,1.0,1.0,0,0.0,0.9626666666666667,0.9626666666666667,0.6825174825174826
1.1573907152013814e-22,489,361,128,14,0.261758691206544,0.22476121551723097,0.3024701165270762,0.7382413087934561,361,354,14,361,128,14,1.0,1.0,0,0.0,0.9626666666666667,0.9626666666666667,0.6839160839160839
1.104343223340524e-22,490,361,129,14,0.26326530612244897,0.22622071659737542,0.3039928856505567,0.736734693877551,361,354,14,361,129,14,1.0,1.0,0,0.0,0.9626666666666667,0.9626666666666667,0.6853146853146853
8.828898821480047e-23,491,361,130,14,0.26476578411405294,0.22767507676397095,0.30550874225046837,0.7352342158859471,361,354,14,361,130,14,1.0,1.0,0,0.0,0.9626666666666667,0.9626666666666667,0.6867132867132867
8.377363685581303e-23,492,361,131,14,0.266260162601626,0.2291243180540517,0.30701773721694064,0.733739837398374,361,354,14,361,131,14,1.0,1.0,0,0.0,0.9626666666666667,0.9626666666666667,0.6881118881118881
7.815437256982076e-23,493,361,132,14,0.26774847870182555,0.23056846249271382,0.30851992086491536,0.7322515212981744,361,354,14,361,132,14,1.0,1.0,0,0.0,0.9626666666666667,0.9626666666666667,0.6895104895104895
7.566921639923434e-23,494,361,133,14,0.2692307692307692,0.2320075320890475,0.31001534294411043,0.7307692307692307,361,354,14,361,133,14,1.0,1.0,0,0.0,0.9626666666666667,0.9626666666666667,0.6909090909090909
7.302188477014617e-23,495,361,134,14,0.27070707070707073,0.23344154883225537,0.31150405264872755,0.7292929292929293,361,354,14,361,134,14,1.0,1.0,0,0.0,0.9626666666666667,0.9626666666666667,0.6923076923076923
7.160573193569032e-23,496,361,135,14,0.2721774193548387,0.23487053468794808,0.3129860986269126,0.7278225806451613,361,354,14,361,135,14,1.0,1.0,0,0.0,0.9626666666666667,0.9626666666666667,0.6937062937062937
5.1657489887083795e-23,497,361,136,14,0.27364185110663986,0.23629451159461,0.31446152898997737,0.7263581488933601,361,354,14,361,136,14,1.0,1.0,0,0.0,0.9626666666666667,0.9626666666666667,0.6951048951048951
1.999336320972581e-23,498,361,137,14,0.2751004016064257,0.23771350146022666,0.3159303913213893,0.7248995983935743,361,354,14,361,137,14,1.0,1.0,0,0.0,0.9626666666666667,0.9626666666666667,0.6965034965034965
1.7652950085066466e-23,499,361,138,14,0.27655310621242485,0.2391275261590689,0.3173927326855413,0.7234468937875751,361,354,14,361,138,14,1.0,1.0,0,0.0,0.9626666666666667,0.9626666666666667,0.6979020979020979
1.0293887850580072e-23,500,361,139,14,0.278,0.2405366075286252,0.31884859963630413,0.722,361,354,14,361,139,14,1.0,1.0,0,0.0,0.9626666666666667,0.9626666666666667,0.6993006993006993
9.348172542210862e-24,501,361,140,14,0.27944111776447106,0.2419407673666764,0.32029803822537156,0.720558882235529,361,354,14,361,140,14,1.0,1.0,0,0.0,0.9626666666666667,0.9626666666666667,0.7006993006993008
7.386675945496444e-24,502,361,141,14,0.28087649402390436,0.24334002742850824,0.32174109401040574,0.7191235059760956,361,354,14,361,141,14,1.0,1.0,0,0.0,0.9626666666666667,0.9626666666666667,0.7020979020979021
