dataset_id,domain,K,split,replicate,candidate_index,candidate_id,lipid_name,lipid_class,X_hat,rho_zero,rho_zero_status,raw_solver_reported,molecular_truth,candidate_truth,reportable_truth
D0__CAL_R2_K125,D0,125,CAL,R2,415,PEO-H__0187,PE O-18:2_22:4,PE,0.014086116613868662,3.360596428761877e-08,COMPUTED,True,True,True,True
D0__CAL_R2_K125,D0,125,CAL,R2,416,PEO-H__0188,PE O-18:2_22:5,PE,0.005470549076062832,0.0,COMPUTED,True,False,False,False
D0__CAL_R2_K125,D0,125,CAL,R2,417,PEO-H__0189,PE O-18:2_22:6,PE,0.0018536068341930224,6.08334596680748e-27,COMPUTED,True,False,False,False
D0__CAL_R2_K125,D0,125,CAL,R2,418,PEO-H__0205,PE O-18:3_20:0,PE,0.0023445052723899944,0.0,COMPUTED,True,False,False,False
D0__CAL_R2_K125,D0,125,CAL,R2,419,PEO-H__0206,PE O-18:3_20:1,PE,0.0019492634822251497,0.0,COMPUTED,True,False,False,False
D0__CAL_R2_K125,D0,125,CAL,R2,420,PEO-H__0207,PE O-18:3_20:2,PE,0.0002981564106362942,,NOT_COMPUTED,False,False,False,False
D0__CAL_R2_K125,D0,125,CAL,R2,421,PEO-H__0208,PE O-18:3_20:3,PE,0.01612864160456591,1.696837097072883e-07,COMPUTED,True,True,True,True
D0__CAL_R2_K125,D0,125,CAL,R2,422,PEO-H__0211,PE O-18:3_22:0,PE,0.0021310175390054616,0.0,COMPUTED,True,False,False,False
D0__CAL_R2_K125,D0,125,CAL,R2,423,PEO-H__0212,PE O-18:3_22:1,PE,0.0001154637460335984,,NOT_COMPUTED,False,False,False,False
D0__CAL_R2_K125,D0,125,CAL,R2,424,PEO-H__0213,PE O-18:3_22:2,PE,0.01105241835920202,0.0,COMPUTED,True,False,False,False
D0__CAL_R2_K125,D0,125,CAL,R2,425,PEO-H__0214,PE O-18:3_22:3,PE,0.005138203173288311,3.840281206406288e-23,COMPUTED,True,False,False,False
D0__CAL_R2_K125,D0,125,CAL,R2,426,PEO-H__0215,PE O-18:3_22:4,PE,0.008917858570457527,1.1559940017061015e-22,COMPUTED,True,False,False,False
D0__CAL_R2_K125,D0,125,CAL,R2,427,PEO-H__0216,PE O-18:3_22:5,PE,0.014161437601796681,5.832715936657592e-08,COMPUTED,True,True,True,True
D0__CAL_R2_K125,D0,125,CAL,R2,428,PEO-H__0217,PE O-18:3_22:6,PE,0.024679795136749807,1.8024319187534522e-05,COMPUTED,True,True,True,True
D0__CAL_R2_K125,D0,125,CAL,R2,429,PEO-H__0229,PE O-20:0_18:0,PE,4.035170581277636e-07,,NOT_COMPUTED,False,False,False,False
D0__CAL_R2_K125,D0,125,CAL,R2,430,PEO-H__0230,PE O-20:0_18:1,PE,0.0,,NOT_COMPUTED,False,False,False,False
D0__CAL_R2_K125,D0,125,CAL,R2,431,PEO-H__0231,PE O-20:0_18:2,PE,0.0,,NOT_COMPUTED,False,False,False,False
D0__CAL_R2_K125,D0,125,CAL,R2,432,PEO-H__0232,PE O-20:0_18:3,PE,0.00027319903422123843,,NOT_COMPUTED,False,False,False,False
D0__CAL_R2_K125,D0,125,CAL,R2,433,PEO-H__0233,PE O-20:0_20:0,PE,0.0004381412261517909,,NOT_COMPUTED,False,False,False,False
D0__CAL_R2_K125,D0,125,CAL,R2,434,PEO-H__0234,PE O-20:0_20:1,PE,3.6826744399715e-07,,NOT_COMPUTED,False,False,False,False
D0__CAL_R2_K125,D0,125,CAL,R2,435,PEO-H__0235,PE O-20:0_20:2,PE,2.2825223801577415e-05,,NOT_COMPUTED,False,False,False,False
D0__CAL_R2_K125,D0,125,CAL,R2,436,PEO-H__0236,PE O-20:0_20:3,PE,9.91538992830602e-05,,NOT_COMPUTED,False,False,False,False
D0__CAL_R2_K125,D0,125,CAL,R2,437,PEO-H__0237,PE O-20:0_20:4,PE,0.0007206454526838328,,NOT_COMPUTED,False,False,False,False
D0__CAL_R2_K125,D0,125,CAL,R2,438,PEO-H__0238,PE O-20:0_20:5,PE,2.7694917871669976e-05,,NOT_COMPUTED,False,False,False,False
D0__CAL_R2_K125,D0,125,CAL,R2,439,PEO-H__0257,PE O-20:1_18:0,PE,1.7028667215886997e-06,,NOT_COMPUTED,False,False,False,False
D0__CAL_R2_K125,D0,125,CAL,R2,440,PEO-H__0258,PE O-20:1_18:1,PE,2.575293063439044e-07,,NOT_COMPUTED,False,False,False,False
D0__CAL_R2_K125,D0,125,CAL,R2,441,PEO-H__0259,PE O-20:1_18:2,PE,4.891639537125056e-05,,NOT_COMPUTED,False,False,False,False
D0__CAL_R2_K125,D0,125,CAL,R2,442,PEO-H__0260,PE O-20:1_18:3,PE,8.63228395605709e-08,,NOT_COMPUTED,False,False,False,False
D0__CAL_R2_K125,D0,125,CAL,R2,443,PEO-H__0261,PE O-20:1_20:0,PE,0.0005121323120236444,,NOT_COMPUTED,False,False,False,False
D0__CAL_R2_K125,D0,125,CAL,R2,444,PEO-H__0262,PE O-20:1_20:1,PE,0.000592943897211647,,NOT_COMPUTED,False,False,False,False
D0__CAL_R2_K125,D0,125,CAL,R2,445,PEO-H__0263,PE O-20:1_20:2,PE,2.5053224213230558e-05,,NOT_COMPUTED,False,False,False,False
D0__CAL_R2_K125,D0,125,CAL,R2,446,PEO-H__0264,PE O-20:1_20:3,PE,8.615355696624417e-08,,NOT_COMPUTED,False,False,False,False
D0__CAL_R2_K125,D0,125,CAL,R2,447,PEO-H__0265,PE O-20:1_20:4,PE,0.00011167548492501532,,NOT_COMPUTED,False,False,False,False
D0__CAL_R2_K125,D0,125,CAL,R2,448,PEO-H__0266,PE O-20:1_20:5,PE,1.64571031915879e-05,,NOT_COMPUTED,False,False,False,False
D0__CAL_R2_K125,D0,125,CAL,R2,449,PEO-H__0285,PE O-20:2_18:0,PE,6.86672067295205e-08,,NOT_COMPUTED,False,False,False,False
D0__CAL_R2_K125,D0,125,CAL,R2,450,PEO-H__0286,PE O-20:2_18:1,PE,0.0017899200305236914,0.0,COMPUTED,True,False,False,False
D0__CAL_R2_K125,D0,125,CAL,R2,451,PEO-H__0287,PE O-20:2_18:2,PE,1.80149066910571e-05,,NOT_COMPUTED,False,False,False,False
D0__CAL_R2_K125,D0,125,CAL,R2,452,PEO-H__0288,PE O-20:2_18:3,PE,0.004540603354337208,0.0,COMPUTED,True,False,False,False
D0__CAL_R2_K125,D0,125,CAL,R2,453,PEO-H__0289,PE O-20:2_20:0,PE,0.0011089518141289816,0.0,COMPUTED,True,False,False,False
D0__CAL_R2_K125,D0,125,CAL,R2,454,PEO-H__0290,PE O-20:2_20:1,PE,0.002506811753235262,1.0914421617025944e-29,COMPUTED,True,False,False,False
D0__CAL_R2_K125,D0,125,CAL,R2,455,PEO-H__0291,PE O-20:2_20:2,PE,0.0010677057136217155,2.3203065867418792e-09,COMPUTED,True,True,True,True
D0__CAL_R2_K125,D0,125,CAL,R2,456,PEO-H__0292,PE O-20:2_20:3,PE,0.00024332101922513248,,NOT_COMPUTED,False,False,False,False
D0__CAL_R2_K125,D0,125,CAL,R2,457,PEO-H__0293,PE O-20:2_20:4,PE,3.0445253303273566e-05,,NOT_COMPUTED,False,False,False,False
D0__CAL_R2_K125,D0,125,CAL,R2,458,PEO-H__0294,PE O-20:2_20:5,PE,2.2269745721865582e-05,,NOT_COMPUTED,False,False,False,False
D0__CAL_R2_K125,D0,125,CAL,R2,459,PEO-H__0313,PE O-20:3_18:0,PE,0.0005619535577247832,,NOT_COMPUTED,False,False,False,False
D0__CAL_R2_K125,D0,125,CAL,R2,460,PEO-H__0314,PE O-20:3_18:1,PE,2.0826970404319583e-06,,NOT_COMPUTED,False,False,False,False
D0__CAL_R2_K125,D0,125,CAL,R2,461,PEO-H__0315,PE O-20:3_18:2,PE,1.7885779935924293e-06,,NOT_COMPUTED,False,False,False,False
D0__CAL_R2_K125,D0,125,CAL,R2,462,PEO-H__0316,PE O-20:3_18:3,PE,1.0767745539647044e-07,,NOT_COMPUTED,False,False,False,False
D0__CAL_R2_K125,D0,125,CAL,R2,463,PEO-H__0317,PE O-20:3_20:0,PE,0.0001060027987090652,,NOT_COMPUTED,False,False,False,False
D0__CAL_R2_K125,D0,125,CAL,R2,464,PEO-H__0318,PE O-20:3_20:1,PE,6.404352344680132e-05,,NOT_COMPUTED,False,False,False,False
D0__CAL_R2_K125,D0,125,CAL,R2,465,PEO-H__0319,PE O-20:3_20:2,PE,1.866835256204429e-05,,NOT_COMPUTED,False,False,False,False
D0__CAL_R2_K125,D0,125,CAL,R2,466,PEO-H__0320,PE O-20:3_20:3,PE,6.10527756507185e-05,,NOT_COMPUTED,False,False,False,False
D0__CAL_R2_K125,D0,125,CAL,R2,467,PEO-H__0321,PE O-20:3_20:4,PE,2.9660137699712063e-05,,NOT_COMPUTED,False,False,False,False
D0__CAL_R2_K125,D0,125,CAL,R2,468,PEO-H__0322,PE O-20:3_20:5,PE,8.837506272715902e-06,,NOT_COMPUTED,False,False,False,False
D0__CAL_R2_K125,D0,125,CAL,R2,469,PEO-H__0341,PE O-20:4_18:0,PE,0.0014542879376054799,7.069314901752635e-22,COMPUTED,True,False,False,False
D0__CAL_R2_K125,D0,125,CAL,R2,470,PEO-H__0342,PE O-20:4_18:1,PE,0.004266296539950404,0.0,COMPUTED,True,False,False,False
D0__CAL_R2_K125,D0,125,CAL,R2,471,PEO-H__0343,PE O-20:4_18:2,PE,0.0016159362984545702,0.0,COMPUTED,True,False,False,False
D0__CAL_R2_K125,D0,125,CAL,R2,472,PEO-H__0345,PE O-20:4_20:0,PE,0.0016142601603878644,0.0,COMPUTED,True,False,False,False
D0__CAL_R2_K125,D0,125,CAL,R2,473,PEO-H__0346,PE O-20:4_20:1,PE,0.020068576893947344,1.195584056383856e-06,COMPUTED,True,True,True,True
D0__CAL_R2_K125,D0,125,CAL,R2,474,PEO-H__0347,PE O-20:4_20:2,PE,0.0012322857861456437,0.0,COMPUTED,True,False,False,False
D0__CAL_R2_K125,D0,125,CAL,R2,475,PEO-H__0348,PE O-20:4_20:3,PE,0.009134795240624865,0.0,COMPUTED,True,False,False,False
D0__CAL_R2_K125,D0,125,CAL,R2,476,PEO-H__0349,PE O-20:4_20:4,PE,0.0017143938353644437,0.0,COMPUTED,True,False,False,False
D0__CAL_R2_K125,D0,125,CAL,R2,477,PEO-H__0350,PE O-20:4_20:5,PE,0.010169444996971054,2.8426929136183196e-06,COMPUTED,True,True,True,True
D0__CAL_R2_K125,D0,125,CAL,R2,478,PEO-H__0357,PE O-20:4_22:6,PE,0.0022202637768061976,2.032164638094734e-26,COMPUTED,True,False,False,False
D0__CAL_R2_K125,D0,125,CAL,R2,479,PEO-H__0369,PE O-20:5_18:0,PE,0.006416237262671211,0.0,COMPUTED,True,False,False,False
D0__CAL_R2_K125,D0,125,CAL,R2,480,PEO-H__0370,PE O-20:5_18:1,PE,4.945058387828805e-07,,NOT_COMPUTED,False,False,False,False
D0__CAL_R2_K125,D0,125,CAL,R2,481,PEO-H__0373,PE O-20:5_20:0,PE,0.0019868056411007635,2.911895036532412e-26,COMPUTED,True,False,False,False
D0__CAL_R2_K125,D0,125,CAL,R2,482,PEO-H__0374,PE O-20:5_20:1,PE,0.0007761307635895142,,NOT_COMPUTED,False,False,False,False
D0__CAL_R2_K125,D0,125,CAL,R2,483,PEO-H__0375,PE O-20:5_20:2,PE,1.888338782016072e-05,,NOT_COMPUTED,False,False,False,False
D0__CAL_R2_K125,D0,125,CAL,R2,484,PEO-H__0376,PE O-20:5_20:3,PE,4.2513698882806375e-05,,NOT_COMPUTED,False,False,False,False
D0__CAL_R2_K125,D0,125,CAL,R2,485,PEO-H__0377,PE O-20:5_20:4,PE,5.339945758007318e-05,,NOT_COMPUTED,False,False,False,False
D0__CAL_R2_K125,D0,125,CAL,R2,486,PEO-H__0378,PE O-20:5_20:5,PE,3.546388264667957e-05,,NOT_COMPUTED,False,False,False,False
D0__CAL_R2_K125,D0,125,CAL,R2,487,PEO-H__0384,PE O-20:5_22:5,PE,1.0712789595479653e-05,,NOT_COMPUTED,False,False,False,False
D0__CAL_R2_K125,D0,125,CAL,R2,488,PEO-H__0385,PE O-20:5_22:6,PE,3.406613848290977e-07,,NOT_COMPUTED,False,False,False,False
D0__CAL_R2_K125,D0,125,CAL,R2,489,PEO-H__0395,PE O-22:0_16:0,PE,1.395650823056216e-07,,NOT_COMPUTED,False,False,False,False
D0__CAL_R2_K125,D0,125,CAL,R2,490,PEO-H__0396,PE O-22:0_16:1,PE,0.0002614391569963532,,NOT_COMPUTED,False,False,False,False
D0__CAL_R2_K125,D0,125,CAL,R2,491,PEO-H__0397,PE O-22:0_18:0,PE,0.0032166288617193803,1.5875058894049676e-26,COMPUTED,True,False,False,False
D0__CAL_R2_K125,D0,125,CAL,R2,492,PEO-H__0398,PE O-22:0_18:1,PE,0.0001809114943636783,,NOT_COMPUTED,False,False,False,False
D0__CAL_R2_K125,D0,125,CAL,R2,493,PEO-H__0399,PE O-22:0_18:2,PE,0.00041801739781196655,,NOT_COMPUTED,False,False,False,False
D0__CAL_R2_K125,D0,125,CAL,R2,494,PEO-H__0400,PE O-22:0_18:3,PE,0.00013387918503124664,,NOT_COMPUTED,False,False,False,False
D0__CAL_R2_K125,D0,125,CAL,R2,495,PEO-H__0423,PE O-22:1_16:0,PE,0.0001541109939679202,,NOT_COMPUTED,False,False,False,False
D0__CAL_R2_K125,D0,125,CAL,R2,496,PEO-H__0424,PE O-22:1_16:1,PE,4.8050827371543994e-05,,NOT_COMPUTED,False,False,False,False
D0__CAL_R2_K125,D0,125,CAL,R2,497,PEO-H__0425,PE O-22:1_18:0,PE,0.0013672066796398962,1.980830721297341e-22,COMPUTED,True,False,False,False
D0__CAL_R2_K125,D0,125,CAL,R2,498,PEO-H__0426,PE O-22:1_18:1,PE,0.02895887417456835,4.287927736435297e-06,COMPUTED,True,True,True,True
D0__CAL_R2_K125,D0,125,CAL,R2,499,PEO-H__0427,PE O-22:1_18:2,PE,0.028465347393367372,2.0711296051743805e-05,COMPUTED,True,True,True,True
D0__CAL_R2_K125,D0,125,CAL,R2,500,PEO-H__0428,PE O-22:1_18:3,PE,0.0051009448473864905,1.1018404055000727e-06,COMPUTED,True,True,True,True
D0__CAL_R2_K125,D0,125,CAL,R2,501,PEO-H__0451,PE O-22:2_16:0,PE,0.0,,NOT_COMPUTED,False,False,False,False
D0__CAL_R2_K125,D0,125,CAL,R2,502,PEO-H__0452,PE O-22:2_16:1,PE,5.906068364304349e-05,,NOT_COMPUTED,False,False,False,False
D0__CAL_R2_K125,D0,125,CAL,R2,503,PEO-H__0453,PE O-22:2_18:0,PE,0.0008769364590387316,,NOT_COMPUTED,False,False,False,False
D0__CAL_R2_K125,D0,125,CAL,R2,504,PEO-H__0454,PE O-22:2_18:1,PE,0.0006351847310301843,,NOT_COMPUTED,False,False,False,False
D0__CAL_R2_K125,D0,125,CAL,R2,505,PEO-H__0455,PE O-22:2_18:2,PE,2.0815062482993683e-08,,NOT_COMPUTED,False,False,False,False
D0__CAL_R2_K125,D0,125,CAL,R2,506,PEO-H__0456,PE O-22:2_18:3,PE,0.00023203309612304944,,NOT_COMPUTED,False,False,False,False
D0__CAL_R2_K125,D0,125,CAL,R2,507,PEO-H__0479,PE O-22:3_16:0,PE,0.00012839292834357547,,NOT_COMPUTED,False,False,False,False
D0__CAL_R2_K125,D0,125,CAL,R2,508,PEO-H__0480,PE O-22:3_16:1,PE,0.009930553287944482,1.1803291762023902e-06,COMPUTED,True,True,True,True
D0__CAL_R2_K125,D0,125,CAL,R2,509,PEO-H__0481,PE O-22:3_18:0,PE,0.003053358999312854,0.0,COMPUTED,True,False,False,False
D0__CAL_R2_K125,D0,125,CAL,R2,510,PEO-H__0482,PE O-22:3_18:1,PE,0.0024722510684725566,2.653289980759002e-30,COMPUTED,True,False,False,False
D0__CAL_R2_K125,D0,125,CAL,R2,511,PEO-H__0483,PE O-22:3_18:2,PE,0.0007204686553913946,,NOT_COMPUTED,False,False,False,False
