dataset_id,split,replicate,complexity_condition,global_truth_K,candidate_index,candidate_id,lipid_name,X_hat,candidate_truth,molecular_truth,same_lipid_alternative_candidate,rho_zero,domain,K,reportable_truth
D0__CAL_R2_K125,CAL,R2,K125,125,0,PA-H__0075,PA 16:0_24:0,0.006867257200645022,False,False,False,0.0,D0,125,False
D0__CAL_R2_K125,CAL,R2,K125,125,1,PA-H__0076,PA 16:0_24:1,0.0026509413354600343,False,False,False,0.0,D0,125,False
D0__CAL_R2_K125,CAL,R2,K125,125,11,PA-H__0117,PA 18:0_22:0,0.022878529166298504,True,True,False,4.741732262233912e-06,D0,125,True
D0__CAL_R2_K125,CAL,R2,K125,125,12,PA-H__0118,PA 18:0_22:1,0.020781691965610652,True,True,False,1.4773880154995922e-06,D0,125,True
D0__CAL_R2_K125,CAL,R2,K125,125,13,PA-H__0119,PA 18:0_22:2,0.003933066405421953,False,False,False,3.0450729434081666e-26,D0,125,False
D0__CAL_R2_K125,CAL,R2,K125,125,15,PA-H__0121,PA 18:0_22:4,0.0015739894566766824,False,False,False,0.0,D0,125,False
D0__CAL_R2_K125,CAL,R2,K125,125,16,PA-H__0122,PA 18:0_22:5,0.009306633582087316,False,False,False,1.7570559357810075e-21,D0,125,False
D0__CAL_R2_K125,CAL,R2,K125,125,20,PA-H__0127,PA 18:0_24:3,0.0026045779749814825,False,False,False,3.6681558340570625e-23,D0,125,False
D0__CAL_R2_K125,CAL,R2,K125,125,21,PA-H__0128,PA 18:0_24:4,0.0031783904621298475,False,False,False,2.3395957061313457e-23,D0,125,False
D0__CAL_R2_K125,CAL,R2,K125,125,22,PA-H__0129,PA 18:0_24:5,0.015128036352643277,True,True,False,1.2084406234739438e-06,D0,125,True
D0__CAL_R2_K125,CAL,R2,K125,125,23,PA-H__0130,PA 18:0_24:6,0.0019554346881076505,False,False,False,1.7560719432775676e-23,D0,125,False
D0__CAL_R2_K125,CAL,R2,K125,125,24,PA-H__0140,PA 22:0_18:1,0.00149339615087262,False,False,False,3.7301298988227274e-26,D0,125,False
D0__CAL_R2_K125,CAL,R2,K125,125,25,PA-H__0141,PA 18:1_22:1,0.002590057744381314,False,False,False,2.251812862929462e-23,D0,125,False
D0__CAL_R2_K125,CAL,R2,K125,125,31,PA-H__0149,PA 18:1_24:2,0.002416455523625719,False,False,False,0.0,D0,125,False
D0__CAL_R2_K125,CAL,R2,K125,125,33,PA-H__0151,PA 18:1_24:4,0.0029442683811765,False,False,False,0.0,D0,125,False
D0__CAL_R2_K125,CAL,R2,K125,125,34,PA-H__0152,PA 18:1_24:5,0.009340501825786947,True,True,False,1.6807423190745928e-06,D0,125,True
D0__CAL_R2_K125,CAL,R2,K125,125,35,PA-H__0153,PA 18:1_24:6,0.005635767150731788,False,False,False,3.6346565012806477e-23,D0,125,False
D0__CAL_R2_K125,CAL,R2,K125,125,36,PA-H__0162,PA 22:0_18:2,0.012308189873688268,True,True,False,3.799855629431568e-07,D0,125,True
D0__CAL_R2_K125,CAL,R2,K125,125,39,PA-H__0165,PA 18:2_22:3,0.002783976108393184,False,False,False,0.0,D0,125,False
D0__CAL_R2_K125,CAL,R2,K125,125,44,PA-H__0173,PA 18:2_24:4,0.002777743423973353,True,True,False,1.2955604748539e-06,D0,125,True
D0__CAL_R2_K125,CAL,R2,K125,125,45,PA-H__0174,PA 18:2_24:5,0.0018056527780347651,False,False,False,6.642731860705936e-25,D0,125,False
D0__CAL_R2_K125,CAL,R2,K125,125,46,PA-H__0175,PA 18:2_24:6,0.0015903609201285297,False,False,False,0.0,D0,125,False
D0__CAL_R2_K125,CAL,R2,K125,125,51,PA-H__0191,PA 24:1_18:3,0.0091880006725103,True,True,False,2.3256311728911102e-07,D0,125,True
D0__CAL_R2_K125,CAL,R2,K125,125,54,PA-H__0194,PA 18:3_24:4,0.0054200597185299,False,False,False,2.8190895226358566e-23,D0,125,False
D0__CAL_R2_K125,CAL,R2,K125,125,55,PA-H__0195,PA 18:3_24:5,0.0022054760847703527,False,False,False,7.061937592603529e-30,D0,125,False
D0__CAL_R2_K125,CAL,R2,K125,125,56,PA-H__0196,PA 18:3_24:6,0.004536397961332099,False,False,False,1.0886701536677825e-26,D0,125,False
D0__CAL_R2_K125,CAL,R2,K125,125,57,PA-H__0197,PA 20:0_20:0,0.007395614433037036,True,True,False,6.782373964583804e-08,D0,125,True
D0__CAL_R2_K125,CAL,R2,K125,125,58,PA-H__0198,PA 20:0_20:1,0.0031275877628337756,False,False,False,6.2411660501045e-22,D0,125,False
D0__CAL_R2_K125,CAL,R2,K125,125,59,PA-H__0199,PA 20:0_20:2,0.004068154669908469,False,False,False,0.0,D0,125,False
D0__CAL_R2_K125,CAL,R2,K125,125,62,PA-H__0202,PA 20:0_20:5,0.0063794044256632165,True,True,False,4.795201071731021e-07,D0,125,True
D0__CAL_R2_K125,CAL,R2,K125,125,66,PA-H__0206,PA 20:0_22:3,0.01863074111052628,True,True,False,4.804645581455273e-06,D0,125,True
D0__CAL_R2_K125,CAL,R2,K125,125,67,PA-H__0207,PA 20:0_22:4,0.0015683340684120926,True,True,False,3.96383449771384e-07,D0,125,True
D0__CAL_R2_K125,CAL,R2,K125,125,68,PA-H__0208,PA 20:0_22:5,0.009442487648125714,False,False,False,4.787360217536129e-23,D0,125,False
D0__CAL_R2_K125,CAL,R2,K125,125,69,PA-H__0209,PA 20:0_22:6,0.006126161094861061,False,False,False,7.922980189403603e-23,D0,125,False
D0__CAL_R2_K125,CAL,R2,K125,125,70,PA-H__0217,PA 20:1_20:1,0.020172036849440998,True,True,False,1.3174380141233724e-06,D0,125,True
D0__CAL_R2_K125,CAL,R2,K125,125,76,PA-H__0224,PA 20:1_22:2,0.003344608163794406,False,False,False,2.0307640792562227e-26,D0,125,False
D0__CAL_R2_K125,CAL,R2,K125,125,80,PA-H__0228,PA 20:1_22:6,0.0033490937625772856,True,True,False,3.43493673946626e-07,D0,125,True
D0__CAL_R2_K125,CAL,R2,K125,125,82,PA-H__0237,PA 20:2_20:3,0.0010404585889211735,False,False,False,0.0,D0,125,False
D0__CAL_R2_K125,CAL,R2,K125,125,84,PA-H__0241,PA 22:1_20:2,0.0230931538133144,True,True,False,9.57191092803007e-06,D0,125,True
D0__CAL_R2_K125,CAL,R2,K125,125,87,PA-H__0244,PA 20:2_22:4,0.0012199805140936746,False,False,False,0.0,D0,125,False
D0__CAL_R2_K125,CAL,R2,K125,125,89,PA-H__0246,PA 20:2_22:6,0.001239952040450942,False,False,False,0.0,D0,125,False
