dataset_id,domain,K,split,replicate,lipid_name,lipid_class,X_hat,rho_zero,rho_zero_status,raw_solver_reported,molecular_truth,reportable_truth,candidate_indices
D0__CAL_R2_K125,D0,125,CAL,R2,PA 16:0_24:0,PA,0.006867257200645022,0.0,COMPUTED,True,False,False,[0]
D0__CAL_R2_K125,D0,125,CAL,R2,PA 16:0_24:1,PA,0.0026509413354600343,0.0,COMPUTED,True,False,False,[1]
D0__CAL_R2_K125,D0,125,CAL,R2,PA 16:0_24:2,PA,7.792082447891487e-09,,NOT_COMPUTED,False,False,False,[2]
D0__CAL_R2_K125,D0,125,CAL,R2,PA 16:0_24:3,PA,1.153639397494104e-08,,NOT_COMPUTED,False,False,False,[3]
D0__CAL_R2_K125,D0,125,CAL,R2,PA 16:0_24:4,PA,0.0001507421009955322,,NOT_COMPUTED,False,False,False,[4]
D0__CAL_R2_K125,D0,125,CAL,R2,PA 16:0_24:5,PA,0.0004318072374463479,,NOT_COMPUTED,False,False,False,[5]
D0__CAL_R2_K125,D0,125,CAL,R2,PA 16:1_24:1,PA,8.724003087202542e-07,,NOT_COMPUTED,False,False,False,[7]
D0__CAL_R2_K125,D0,125,CAL,R2,PA 16:1_24:2,PA,0.0,,NOT_COMPUTED,False,False,False,[8]
D0__CAL_R2_K125,D0,125,CAL,R2,PA 16:1_24:3,PA,0.0,,NOT_COMPUTED,False,False,False,[9]
D0__CAL_R2_K125,D0,125,CAL,R2,PA 16:1_24:4,PA,6.40437957826199e-08,,NOT_COMPUTED,False,False,False,[10]
D0__CAL_R2_K125,D0,125,CAL,R2,PA 17:0_24:4,PA,0.0,,NOT_COMPUTED,False,False,False,[123]
D0__CAL_R2_K125,D0,125,CAL,R2,PA 17:1_24:4,PA,0.0,,NOT_COMPUTED,False,False,False,[124]
D0__CAL_R2_K125,D0,125,CAL,R2,PA 18:0_22:0,PA,0.022878529166298504,4.741732262233912e-06,COMPUTED,True,True,True,[11]
D0__CAL_R2_K125,D0,125,CAL,R2,PA 18:0_22:1,PA,0.020781691965610652,1.4773880154995922e-06,COMPUTED,True,True,True,[12]
D0__CAL_R2_K125,D0,125,CAL,R2,PA 18:0_22:2,PA,0.003933066405421953,3.0450729434081666e-26,COMPUTED,True,False,False,[13]
D0__CAL_R2_K125,D0,125,CAL,R2,PA 18:0_22:3,PA,0.000563320031347181,,NOT_COMPUTED,False,False,False,[14]
D0__CAL_R2_K125,D0,125,CAL,R2,PA 18:0_22:4,PA,0.0015739894566766824,0.0,COMPUTED,True,False,False,[15]
D0__CAL_R2_K125,D0,125,CAL,R2,PA 18:0_22:5,PA,0.009306633582087316,1.7570559357810075e-21,COMPUTED,True,False,False,[16]
D0__CAL_R2_K125,D0,125,CAL,R2,PA 18:0_24:0,PA,3.3721489931454424e-06,,NOT_COMPUTED,False,False,False,[17]
D0__CAL_R2_K125,D0,125,CAL,R2,PA 18:0_24:1,PA,3.9357185089024376e-08,,NOT_COMPUTED,False,False,False,[18]
D0__CAL_R2_K125,D0,125,CAL,R2,PA 18:0_24:2,PA,0.000293002174529986,,NOT_COMPUTED,False,False,False,[19]
D0__CAL_R2_K125,D0,125,CAL,R2,PA 18:0_24:3,PA,0.0026045779749814825,3.6681558340570625e-23,COMPUTED,True,False,False,[20]
D0__CAL_R2_K125,D0,125,CAL,R2,PA 18:0_24:4,PA,0.0031783904621298475,2.3395957061313457e-23,COMPUTED,True,False,False,[21]
D0__CAL_R2_K125,D0,125,CAL,R2,PA 18:0_24:5,PA,0.015128036352643277,1.2084406234739438e-06,COMPUTED,True,True,True,[22]
D0__CAL_R2_K125,D0,125,CAL,R2,PA 18:0_24:6,PA,0.0019554346881076505,1.7560719432775676e-23,COMPUTED,True,False,False,[23]
D0__CAL_R2_K125,D0,125,CAL,R2,PA 18:1_22:1,PA,0.002590057744381314,2.251812862929462e-23,COMPUTED,True,False,False,[25]
D0__CAL_R2_K125,D0,125,CAL,R2,PA 18:1_22:2,PA,0.0,,NOT_COMPUTED,False,False,False,[26]
D0__CAL_R2_K125,D0,125,CAL,R2,PA 18:1_22:3,PA,0.0,,NOT_COMPUTED,False,False,False,[27]
D0__CAL_R2_K125,D0,125,CAL,R2,PA 18:1_22:4,PA,0.0009519230663329802,,NOT_COMPUTED,False,False,False,[28]
D0__CAL_R2_K125,D0,125,CAL,R2,PA 18:1_24:1,PA,2.395646143262426e-07,,NOT_COMPUTED,False,False,False,[30]
D0__CAL_R2_K125,D0,125,CAL,R2,PA 18:1_24:2,PA,0.002416455523625719,0.0,COMPUTED,True,False,False,[31]
D0__CAL_R2_K125,D0,125,CAL,R2,PA 18:1_24:3,PA,0.0001676220706104009,,NOT_COMPUTED,False,False,False,[32]
D0__CAL_R2_K125,D0,125,CAL,R2,PA 18:1_24:4,PA,0.0029442683811765,0.0,COMPUTED,True,False,False,[33]
D0__CAL_R2_K125,D0,125,CAL,R2,PA 18:1_24:5,PA,0.009340501825786947,1.6807423190745928e-06,COMPUTED,True,True,True,[34]
D0__CAL_R2_K125,D0,125,CAL,R2,PA 18:1_24:6,PA,0.005635767150731788,3.6346565012806477e-23,COMPUTED,True,False,False,[35]
D0__CAL_R2_K125,D0,125,CAL,R2,PA 18:2_22:2,PA,0.0,,NOT_COMPUTED,False,False,False,[38]
D0__CAL_R2_K125,D0,125,CAL,R2,PA 18:2_22:3,PA,0.002783976108393184,0.0,COMPUTED,True,False,False,[39]
D0__CAL_R2_K125,D0,125,CAL,R2,PA 18:2_24:2,PA,0.00014648387429249467,,NOT_COMPUTED,False,False,False,[42]
D0__CAL_R2_K125,D0,125,CAL,R2,PA 18:2_24:3,PA,0.0009321572848891334,,NOT_COMPUTED,False,False,False,[43]
D0__CAL_R2_K125,D0,125,CAL,R2,PA 18:2_24:4,PA,0.002777743423973353,1.2955604748539e-06,COMPUTED,True,True,True,[44]
D0__CAL_R2_K125,D0,125,CAL,R2,PA 18:2_24:5,PA,0.0018056527780347651,6.642731860705936e-25,COMPUTED,True,False,False,[45]
D0__CAL_R2_K125,D0,125,CAL,R2,PA 18:2_24:6,PA,0.0015903609201285297,0.0,COMPUTED,True,False,False,[46]
D0__CAL_R2_K125,D0,125,CAL,R2,PA 18:3_24:3,PA,3.5300261076885985e-05,,NOT_COMPUTED,False,False,False,[53]
D0__CAL_R2_K125,D0,125,CAL,R2,PA 18:3_24:4,PA,0.0054200597185299,2.8190895226358566e-23,COMPUTED,True,False,False,[54]
D0__CAL_R2_K125,D0,125,CAL,R2,PA 18:3_24:5,PA,0.0022054760847703527,7.061937592603529e-30,COMPUTED,True,False,False,[55]
D0__CAL_R2_K125,D0,125,CAL,R2,PA 18:3_24:6,PA,0.004536397961332099,1.0886701536677825e-26,COMPUTED,True,False,False,[56]
D0__CAL_R2_K125,D0,125,CAL,R2,PA 20:0_20:0,PA,0.007395614433037036,6.782373964583804e-08,COMPUTED,True,True,True,[57]
D0__CAL_R2_K125,D0,125,CAL,R2,PA 20:0_20:1,PA,0.0031275877628337756,6.2411660501045e-22,COMPUTED,True,False,False,[58]
D0__CAL_R2_K125,D0,125,CAL,R2,PA 20:0_20:2,PA,0.004068154669908469,0.0,COMPUTED,True,False,False,[59]
D0__CAL_R2_K125,D0,125,CAL,R2,PA 20:0_20:3,PA,1.835190296930997e-08,,NOT_COMPUTED,False,False,False,[60]
D0__CAL_R2_K125,D0,125,CAL,R2,PA 20:0_20:4,PA,1.917263971683117e-05,,NOT_COMPUTED,False,False,False,[61]
D0__CAL_R2_K125,D0,125,CAL,R2,PA 20:0_20:5,PA,0.0063794044256632165,4.795201071731021e-07,COMPUTED,True,True,True,[62]
D0__CAL_R2_K125,D0,125,CAL,R2,PA 20:0_22:0,PA,0.00043820812393958146,,NOT_COMPUTED,False,False,False,[63]
