dataset_id,domain,K,split,replicate,candidate_index,candidate_id,lipid_name,lipid_class,X_hat,rho_zero,rho_zero_status,raw_solver_reported,molecular_truth,candidate_truth,reportable_truth
D1__CAL_R1_K125,D1,125,CAL,R1,0,PA-H__0210,PA 20:0_24:0,PA,0.0008049078556763054,,NOT_COMPUTED,False,False,False,False
D1__CAL_R1_K125,D1,125,CAL,R1,1,PA-H__0211,PA 20:0_24:1,PA,0.004092158242455268,3.154501589007982e-06,COMPUTED,True,True,True,True
D1__CAL_R1_K125,D1,125,CAL,R1,2,PA-H__0212,PA 20:0_24:2,PA,8.155211209702305e-05,,NOT_COMPUTED,False,False,False,False
D1__CAL_R1_K125,D1,125,CAL,R1,3,PA-H__0213,PA 20:0_24:3,PA,0.01418727789775589,9.270804625954248e-06,COMPUTED,True,True,True,True
D1__CAL_R1_K125,D1,125,CAL,R1,4,PA-H__0214,PA 20:0_24:4,PA,0.0018419465796210832,3.2319211269544295e-24,COMPUTED,True,False,False,False
D1__CAL_R1_K125,D1,125,CAL,R1,5,PA-H__0215,PA 20:0_24:5,PA,0.0024526569174202423,5.791196144535872e-07,COMPUTED,True,True,True,True
D1__CAL_R1_K125,D1,125,CAL,R1,6,PA-H__0216,PA 20:0_24:6,PA,0.002810051122802699,2.5001923170345896e-22,COMPUTED,True,False,False,False
D1__CAL_R1_K125,D1,125,CAL,R1,7,PA-H__0229,PA 24:0_20:1,PA,0.002271055442344196,5.82423826369867e-23,COMPUTED,True,False,False,False
D1__CAL_R1_K125,D1,125,CAL,R1,8,PA-H__0230,PA 20:1_24:1,PA,3.789697293950285e-08,,NOT_COMPUTED,False,False,False,False
D1__CAL_R1_K125,D1,125,CAL,R1,9,PA-H__0231,PA 20:1_24:2,PA,0.0026696932608946565,5.70171316605768e-23,COMPUTED,True,False,False,False
D1__CAL_R1_K125,D1,125,CAL,R1,10,PA-H__0232,PA 20:1_24:3,PA,5.565030879660242e-05,,NOT_COMPUTED,False,False,False,False
D1__CAL_R1_K125,D1,125,CAL,R1,11,PA-H__0233,PA 20:1_24:4,PA,0.0021533783627503324,0.0,COMPUTED,True,False,False,False
D1__CAL_R1_K125,D1,125,CAL,R1,12,PA-H__0234,PA 20:1_24:5,PA,1.6871034082239653e-05,,NOT_COMPUTED,False,False,False,False
D1__CAL_R1_K125,D1,125,CAL,R1,13,PA-H__0235,PA 20:1_24:6,PA,0.001208834471532874,0.0,COMPUTED,True,False,False,False
D1__CAL_R1_K125,D1,125,CAL,R1,14,PA-H__0247,PA 24:0_20:2,PA,1.5657976193978885e-07,,NOT_COMPUTED,False,False,False,False
D1__CAL_R1_K125,D1,125,CAL,R1,15,PA-H__0248,PA 24:1_20:2,PA,0.0006137186281779504,,NOT_COMPUTED,False,False,False,False
D1__CAL_R1_K125,D1,125,CAL,R1,16,PA-H__0249,PA 20:2_24:2,PA,0.0007229448833407052,,NOT_COMPUTED,False,False,False,False
D1__CAL_R1_K125,D1,125,CAL,R1,17,PA-H__0250,PA 20:2_24:3,PA,0.0,,NOT_COMPUTED,False,False,False,False
D1__CAL_R1_K125,D1,125,CAL,R1,18,PA-H__0251,PA 20:2_24:4,PA,8.918572902848928e-05,,NOT_COMPUTED,False,False,False,False
D1__CAL_R1_K125,D1,125,CAL,R1,19,PA-H__0252,PA 20:2_24:5,PA,2.223561498958493e-08,,NOT_COMPUTED,False,False,False,False
D1__CAL_R1_K125,D1,125,CAL,R1,20,PA-H__0264,PA 24:0_20:3,PA,0.02190049175442875,4.107026292135534e-05,COMPUTED,True,True,True,True
D1__CAL_R1_K125,D1,125,CAL,R1,21,PA-H__0265,PA 24:1_20:3,PA,0.00042549018106469584,,NOT_COMPUTED,False,False,False,False
D1__CAL_R1_K125,D1,125,CAL,R1,22,PA-H__0266,PA 24:2_20:3,PA,0.000286655039620536,,NOT_COMPUTED,False,False,False,False
D1__CAL_R1_K125,D1,125,CAL,R1,23,PA-H__0267,PA 20:3_24:3,PA,1.4002371618573945e-08,,NOT_COMPUTED,False,False,False,False
D1__CAL_R1_K125,D1,125,CAL,R1,24,PA-H__0268,PA 20:3_24:4,PA,7.890362229448734e-05,,NOT_COMPUTED,False,False,False,False
D1__CAL_R1_K125,D1,125,CAL,R1,25,PA-H__0280,PA 24:0_20:4,PA,0.0010503731852609152,0.0,COMPUTED,True,False,False,False
D1__CAL_R1_K125,D1,125,CAL,R1,26,PA-H__0281,PA 24:1_20:4,PA,4.2531778062674074e-07,,NOT_COMPUTED,False,False,False,False
D1__CAL_R1_K125,D1,125,CAL,R1,27,PA-H__0282,PA 24:2_20:4,PA,0.0008548417166365048,,NOT_COMPUTED,False,False,False,False
D1__CAL_R1_K125,D1,125,CAL,R1,28,PA-H__0283,PA 24:3_20:4,PA,0.0,,NOT_COMPUTED,False,False,False,False
D1__CAL_R1_K125,D1,125,CAL,R1,29,PA-H__0295,PA 24:0_20:5,PA,0.0015977211960487789,0.0,COMPUTED,True,False,False,False
D1__CAL_R1_K125,D1,125,CAL,R1,30,PA-H__0296,PA 24:1_20:5,PA,0.0011176329269018369,0.0,COMPUTED,True,False,False,False
D1__CAL_R1_K125,D1,125,CAL,R1,31,PA-H__0297,PA 24:2_20:5,PA,0.00010022464671018595,,NOT_COMPUTED,False,False,False,False
D1__CAL_R1_K125,D1,125,CAL,R1,32,PA-H__0302,PA 22:0_22:0,PA,0.0015304271944197492,0.0,COMPUTED,True,False,False,False
D1__CAL_R1_K125,D1,125,CAL,R1,33,PA-H__0303,PA 22:0_22:1,PA,0.0001444130388229205,,NOT_COMPUTED,False,False,False,False
D1__CAL_R1_K125,D1,125,CAL,R1,34,PA-H__0304,PA 22:0_22:2,PA,0.0008953884510415454,,NOT_COMPUTED,False,False,False,False
D1__CAL_R1_K125,D1,125,CAL,R1,35,PA-H__0305,PA 22:0_22:3,PA,0.007923493741460643,7.30198358143877e-23,COMPUTED,True,False,False,False
D1__CAL_R1_K125,D1,125,CAL,R1,36,PA-H__0306,PA 22:0_22:4,PA,0.0036491173367409774,0.0,COMPUTED,True,False,False,False
D1__CAL_R1_K125,D1,125,CAL,R1,37,PA-H__0307,PA 22:0_22:5,PA,0.015771274403899794,4.492333131216285e-06,COMPUTED,True,True,True,True
D1__CAL_R1_K125,D1,125,CAL,R1,38,PA-H__0308,PA 22:0_22:6,PA,0.015267329679643856,1.6324896681420357e-05,COMPUTED,True,True,True,True
D1__CAL_R1_K125,D1,125,CAL,R1,39,PA-H__0309,PA 22:0_24:0,PA,0.0018696503075065886,0.0,COMPUTED,True,False,False,False
D1__CAL_R1_K125,D1,125,CAL,R1,40,PA-H__0310,PA 22:0_24:1,PA,0.0010252439607724214,0.0,COMPUTED,True,False,False,False
D1__CAL_R1_K125,D1,125,CAL,R1,41,PA-H__0311,PA 22:0_24:2,PA,0.02005972989850208,3.552133016397207e-05,COMPUTED,True,True,True,True
D1__CAL_R1_K125,D1,125,CAL,R1,42,PA-H__0312,PA 22:0_24:3,PA,0.0008985415595588326,,NOT_COMPUTED,False,False,False,False
D1__CAL_R1_K125,D1,125,CAL,R1,43,PA-H__0313,PA 22:0_24:4,PA,0.0007487169038682648,,NOT_COMPUTED,False,False,False,False
D1__CAL_R1_K125,D1,125,CAL,R1,44,PA-H__0314,PA 22:0_24:5,PA,5.972543403115333e-05,,NOT_COMPUTED,False,False,False,False
D1__CAL_R1_K125,D1,125,CAL,R1,45,PA-H__0315,PA 22:0_24:6,PA,0.0011094542934035857,0.0,COMPUTED,True,False,False,False
D1__CAL_R1_K125,D1,125,CAL,R1,46,PA-H__0316,PA 22:1_22:1,PA,1.185172590119953e-07,,NOT_COMPUTED,False,False,False,False
D1__CAL_R1_K125,D1,125,CAL,R1,47,PA-H__0317,PA 22:1_22:2,PA,0.0034996486372521436,5.815781110243891e-24,COMPUTED,True,False,False,False
D1__CAL_R1_K125,D1,125,CAL,R1,48,PA-H__0318,PA 22:1_22:3,PA,7.34469682978411e-08,,NOT_COMPUTED,False,False,False,False
D1__CAL_R1_K125,D1,125,CAL,R1,49,PA-H__0319,PA 22:1_22:4,PA,1.8923376288705218e-06,,NOT_COMPUTED,False,False,False,False
D1__CAL_R1_K125,D1,125,CAL,R1,50,PA-H__0320,PA 22:1_22:5,PA,5.320293658584767e-07,,NOT_COMPUTED,False,False,False,False
D1__CAL_R1_K125,D1,125,CAL,R1,51,PA-H__0321,PA 22:1_22:6,PA,2.0060368936539238e-07,,NOT_COMPUTED,False,False,False,False
D1__CAL_R1_K125,D1,125,CAL,R1,52,PA-H__0322,PA 24:0_22:1,PA,0.0,,NOT_COMPUTED,False,False,False,False
D1__CAL_R1_K125,D1,125,CAL,R1,53,PA-H__0323,PA 22:1_24:1,PA,0.0002629097353540486,,NOT_COMPUTED,False,False,False,False
D1__CAL_R1_K125,D1,125,CAL,R1,54,PA-H__0324,PA 22:1_24:2,PA,7.150998943509548e-07,,NOT_COMPUTED,False,False,False,False
D1__CAL_R1_K125,D1,125,CAL,R1,55,PA-H__0325,PA 22:1_24:3,PA,0.0,,NOT_COMPUTED,False,False,False,False
D1__CAL_R1_K125,D1,125,CAL,R1,56,PA-H__0326,PA 22:1_24:4,PA,1.539558045438589e-07,,NOT_COMPUTED,False,False,False,False
D1__CAL_R1_K125,D1,125,CAL,R1,57,PA-H__0327,PA 22:1_24:5,PA,5.8456681791782126e-08,,NOT_COMPUTED,False,False,False,False
D1__CAL_R1_K125,D1,125,CAL,R1,58,PA-H__0328,PA 22:1_24:6,PA,0.0,,NOT_COMPUTED,False,False,False,False
D1__CAL_R1_K125,D1,125,CAL,R1,59,PA-H__0329,PA 22:2_22:2,PA,0.003787490052793061,3.4985043902293923e-06,COMPUTED,True,True,True,True
D1__CAL_R1_K125,D1,125,CAL,R1,60,PA-H__0330,PA 22:2_22:3,PA,0.0,,NOT_COMPUTED,False,False,False,False
D1__CAL_R1_K125,D1,125,CAL,R1,61,PA-H__0331,PA 22:2_22:4,PA,0.00397903216183355,9.838774934774762e-27,COMPUTED,True,False,False,False
D1__CAL_R1_K125,D1,125,CAL,R1,62,PA-H__0332,PA 22:2_22:5,PA,4.4082752741212747e-07,,NOT_COMPUTED,False,False,False,False
D1__CAL_R1_K125,D1,125,CAL,R1,63,PA-H__0334,PA 24:0_22:2,PA,0.020807926977687925,5.569731657393685e-05,COMPUTED,True,True,True,True
D1__CAL_R1_K125,D1,125,CAL,R1,64,PA-H__0335,PA 24:1_22:2,PA,0.0,,NOT_COMPUTED,False,False,False,False
D1__CAL_R1_K125,D1,125,CAL,R1,65,PA-H__0336,PA 22:2_24:2,PA,2.857342091098907e-07,,NOT_COMPUTED,False,False,False,False
D1__CAL_R1_K125,D1,125,CAL,R1,66,PA-H__0337,PA 22:2_24:3,PA,0.0,,NOT_COMPUTED,False,False,False,False
D1__CAL_R1_K125,D1,125,CAL,R1,67,PA-H__0338,PA 22:2_24:4,PA,0.0,,NOT_COMPUTED,False,False,False,False
D1__CAL_R1_K125,D1,125,CAL,R1,68,PA-H__0339,PA 22:2_24:5,PA,2.3569289704622092e-08,,NOT_COMPUTED,False,False,False,False
D1__CAL_R1_K125,D1,125,CAL,R1,69,PA-H__0340,PA 22:2_24:6,PA,5.884215639359709e-08,,NOT_COMPUTED,False,False,False,False
D1__CAL_R1_K125,D1,125,CAL,R1,70,PA-H__0341,PA 22:3_22:3,PA,9.100908723287774e-05,,NOT_COMPUTED,False,False,False,False
D1__CAL_R1_K125,D1,125,CAL,R1,71,PA-H__0342,PA 22:3_22:4,PA,0.00015958322055814746,,NOT_COMPUTED,False,False,False,False
D1__CAL_R1_K125,D1,125,CAL,R1,72,PA-H__0345,PA 24:0_22:3,PA,1.045611444191476e-07,,NOT_COMPUTED,False,False,False,False
D1__CAL_R1_K125,D1,125,CAL,R1,73,PA-H__0346,PA 24:1_22:3,PA,0.0,,NOT_COMPUTED,False,False,False,False
D1__CAL_R1_K125,D1,125,CAL,R1,74,PA-H__0347,PA 24:2_22:3,PA,0.0,,NOT_COMPUTED,False,False,False,False
D1__CAL_R1_K125,D1,125,CAL,R1,75,PA-H__0348,PA 22:3_24:3,PA,9.014974609349042e-08,,NOT_COMPUTED,False,False,False,False
D1__CAL_R1_K125,D1,125,CAL,R1,76,PA-H__0349,PA 22:3_24:4,PA,1.5108693679974691e-05,,NOT_COMPUTED,False,False,False,False
D1__CAL_R1_K125,D1,125,CAL,R1,77,PA-H__0350,PA 22:3_24:5,PA,0.0,,NOT_COMPUTED,False,False,False,False
D1__CAL_R1_K125,D1,125,CAL,R1,78,PA-H__0351,PA 22:3_24:6,PA,2.601162978942127e-08,,NOT_COMPUTED,False,False,False,False
D1__CAL_R1_K125,D1,125,CAL,R1,79,PA-H__0355,PA 24:0_22:4,PA,0.0006168764197930954,,NOT_COMPUTED,False,False,False,False
D1__CAL_R1_K125,D1,125,CAL,R1,80,PA-H__0356,PA 24:1_22:4,PA,0.0004927963075025752,,NOT_COMPUTED,False,False,False,False
D1__CAL_R1_K125,D1,125,CAL,R1,81,PA-H__0357,PA 24:2_22:4,PA,8.660917020065121e-07,,NOT_COMPUTED,False,False,False,False
D1__CAL_R1_K125,D1,125,CAL,R1,82,PA-H__0358,PA 24:3_22:4,PA,0.00016266802739426067,,NOT_COMPUTED,False,False,False,False
D1__CAL_R1_K125,D1,125,CAL,R1,83,PA-H__0359,PA 22:4_24:4,PA,0.001650518541802753,0.0,COMPUTED,True,False,False,False
D1__CAL_R1_K125,D1,125,CAL,R1,84,PA-H__0360,PA 22:4_24:5,PA,0.0002619800264304657,,NOT_COMPUTED,False,False,False,False
D1__CAL_R1_K125,D1,125,CAL,R1,85,PA-H__0361,PA 22:4_24:6,PA,0.02108510811585451,8.54610005975611e-05,COMPUTED,True,True,True,True
D1__CAL_R1_K125,D1,125,CAL,R1,86,PA-H__0364,PA 24:0_22:5,PA,0.0003387026079729683,,NOT_COMPUTED,False,False,False,False
D1__CAL_R1_K125,D1,125,CAL,R1,87,PA-H__0365,PA 24:1_22:5,PA,8.686977085544189e-07,,NOT_COMPUTED,False,False,False,False
D1__CAL_R1_K125,D1,125,CAL,R1,88,PA-H__0366,PA 24:2_22:5,PA,4.2150185647579186e-05,,NOT_COMPUTED,False,False,False,False
D1__CAL_R1_K125,D1,125,CAL,R1,89,PA-H__0367,PA 24:3_22:5,PA,2.447826277210348e-07,,NOT_COMPUTED,False,False,False,False
D1__CAL_R1_K125,D1,125,CAL,R1,90,PA-H__0368,PA 24:4_22:5,PA,1.5534620572467483e-07,,NOT_COMPUTED,False,False,False,False
D1__CAL_R1_K125,D1,125,CAL,R1,91,PA-H__0369,PA 22:5_24:5,PA,0.0010870646745076045,4.246502334640185e-22,COMPUTED,True,False,False,False
D1__CAL_R1_K125,D1,125,CAL,R1,92,PA-H__0370,PA 22:5_24:6,PA,0.0012414112836486543,0.0,COMPUTED,True,False,False,False
D1__CAL_R1_K125,D1,125,CAL,R1,93,PA-H__0372,PA 24:0_22:6,PA,0.00021926089717847993,,NOT_COMPUTED,False,False,False,False
D1__CAL_R1_K125,D1,125,CAL,R1,94,PA-H__0373,PA 24:1_22:6,PA,5.620888364017612e-09,,NOT_COMPUTED,False,False,False,False
D1__CAL_R1_K125,D1,125,CAL,R1,95,PA-H__0374,PA 24:2_22:6,PA,0.0006933743695600756,,NOT_COMPUTED,False,False,False,False
D1__CAL_R1_K125,D1,125,CAL,R1,96,PA-H__0375,PA 24:3_22:6,PA,1.4130307183651947e-07,,NOT_COMPUTED,False,False,False,False
D1__CAL_R1_K125,D1,125,CAL,R1,97,PA-H__0376,PA 24:4_22:6,PA,0.03120648182716896,0.0001033801872089028,COMPUTED,True,True,True,True
D1__CAL_R1_K125,D1,125,CAL,R1,98,PA-H__0377,PA 24:5_22:6,PA,0.0,,NOT_COMPUTED,False,False,False,False
D1__CAL_R1_K125,D1,125,CAL,R1,99,PA-H__0378,PA 22:6_24:6,PA,0.0014077597992372928,2.770533453771275e-23,COMPUTED,True,False,False,False
D1__CAL_R1_K125,D1,125,CAL,R1,100,PA-H__0405,PA 24:5_24:6,PA,0.0,,NOT_COMPUTED,False,False,False,False
D1__CAL_R1_K125,D1,125,CAL,R1,101,PA-H__0406,PA 24:6_24:6,PA,0.0017573084256427057,8.28441067525926e-28,COMPUTED,True,False,False,False
D1__CAL_R1_K125,D1,125,CAL,R1,102,PS-H__0049,PS 14:0_24:0,PS,5.578087291815473e-08,,NOT_COMPUTED,False,False,False,False
D1__CAL_R1_K125,D1,125,CAL,R1,103,PS-H__0050,PS 14:0_24:1,PS,0.0,,NOT_COMPUTED,False,False,False,False
D1__CAL_R1_K125,D1,125,CAL,R1,104,PS-H__0051,PS 14:0_24:2,PS,0.0,,NOT_COMPUTED,False,False,False,False
D1__CAL_R1_K125,D1,125,CAL,R1,105,PS-H__0052,PS 14:0_24:3,PS,0.0009688548376211329,,NOT_COMPUTED,False,False,False,False
D1__CAL_R1_K125,D1,125,CAL,R1,106,PS-H__0053,PS 14:0_24:4,PS,0.00030402929839026403,,NOT_COMPUTED,False,False,False,False
