dataset_id,split,replicate,complexity_condition,global_truth_K,candidate_index,candidate_id,lipid_name,X_hat,candidate_truth,molecular_truth,same_lipid_alternative_candidate,rho_zero
CAL_R1_HIGH129,CAL,R1,HIGH129,129,2,PA-H__0079,PA 16:0_24:4,0.004321555331063267,False,False,False,0.0
CAL_R1_HIGH129,CAL,R1,HIGH129,129,3,PA-H__0080,PA 16:0_24:5,0.001274655101919519,True,True,False,3.884493847337653e-09
CAL_R1_HIGH129,CAL,R1,HIGH129,129,5,PA-H__0117,PA 18:0_22:0,0.011054091551704791,True,True,False,1.801727578206099e-05
CAL_R1_HIGH129,CAL,R1,HIGH129,129,17,PA-H__0141,PA 18:1_22:1,0.008199453740967191,False,False,False,4.789654252060568e-29
CAL_R1_HIGH129,CAL,R1,HIGH129,129,19,PA-H__0143,PA 18:1_22:3,0.0015750560091803572,True,True,False,1.9648478208075475e-07
CAL_R1_HIGH129,CAL,R1,HIGH129,129,23,PA-H__0151,PA 18:1_24:4,0.001574092603513778,True,True,False,5.98089908609022e-08
CAL_R1_HIGH129,CAL,R1,HIGH129,129,25,PA-H__0153,PA 18:1_24:6,0.0037130704014162815,False,False,False,5.537336156048898e-21
CAL_R1_HIGH129,CAL,R1,HIGH129,129,26,PA-H__0162,PA 22:0_18:2,0.0027055696740802574,True,True,False,6.763082011968452e-10
CAL_R1_HIGH129,CAL,R1,HIGH129,129,35,PA-H__0197,PA 20:0_20:0,0.0169401159967046,True,True,False,6.910797711481505e-06
CAL_R1_HIGH129,CAL,R1,HIGH129,129,36,PA-H__0198,PA 20:0_20:1,0.0014628757176018768,True,True,False,3.130226001978161e-08
CAL_R1_HIGH129,CAL,R1,HIGH129,129,37,PA-H__0199,PA 20:0_20:2,0.040305785965680706,True,True,False,3.3565959751575795e-05
CAL_R1_HIGH129,CAL,R1,HIGH129,129,39,PA-H__0201,PA 20:0_20:4,0.0044660337521126815,True,True,False,4.389097555052085e-10
CAL_R1_HIGH129,CAL,R1,HIGH129,129,40,PA-H__0202,PA 20:0_20:5,0.0043150903352999585,False,False,False,5.645835745951603e-29
CAL_R1_HIGH129,CAL,R1,HIGH129,129,41,PA-H__0204,PA 20:0_22:1,0.0013784321500190247,False,False,False,0.0
CAL_R1_HIGH129,CAL,R1,HIGH129,129,46,PA-H__0209,PA 20:0_22:6,0.005258961923005084,False,False,False,0.0
CAL_R1_HIGH129,CAL,R1,HIGH129,129,47,PA-H__0217,PA 20:1_20:1,0.008897749503039662,False,False,False,2.026930651462723e-24
