dataset_id,split,replicate,complexity_condition,global_truth_K,candidate_index,candidate_id,lipid_name,X_hat,candidate_truth,molecular_truth,same_lipid_alternative_candidate,rho_zero,cone_isolation,max_fragment_cosine,max_full_cosine,lipid_class,collective_gain,pair_id,unit_id,role,spectral_score_CAL,spectral_score_HOLD,joint_hard_score,joint_easy_score,fragment_cosine,fragment_support_jaccard,full_cosine,parent_cosine,base_template_id,realized_spatial_correlation,abundance_multiplier,K,base_dataset_id,severity,rho_zero_status,raw_solver_reported,reportable_truth
MODERATE__CAL_R5_K175,CAL,R5,K175,175,0,PA-H__0075,PA 16:0_24:0,0.019103462915676894,True,True,False,2.3546814514024188e-05,0.729606198131629,0.7748217721703936,0.44170172724713597,PA,0.16755576280234685,B2_U7_U22,7,spectral_easy_spatial_high,0.16836124794745483,0.15682101806239737,0.15682101806239737,0.16836124794745483,0.0,0.0,0.0,0.0,121,0.9865236566219531,2.0,175,CAL_R5_K175,MODERATE,COMPUTED,True,True
MODERATE__CAL_R5_K175,CAL,R5,K175,175,1,PA-H__0076,PA 16:0_24:1,0.002252799825232098,False,False,False,0.0,0.5504804076642431,0.883487638633687,0.6654546118919494,PA,0.19595790828137805,,,UNASSIGNED_FALSE_POSITIVE,,,,,,,,,,,,175,CAL_R5_K175,MODERATE,COMPUTED,True,False
MODERATE__CAL_R5_K175,CAL,R5,K175,175,2,PA-H__0079,PA 16:0_24:4,0.00770650326140027,False,False,False,1.6114950657373832e-06,0.2223063465458067,0.9171280506076233,0.9158818256178151,PA,0.17914163452145218,,,UNASSIGNED_FALSE_POSITIVE,,,,,,,,,,,,175,CAL_R5_K175,MODERATE,COMPUTED,True,False
MODERATE__CAL_R5_K175,CAL,R5,K175,175,3,PA-H__0080,PA 16:0_24:5,0.0019870311868584634,True,True,False,1.611958366163847e-07,0.22923411741411742,0.9171280506076233,0.9158818256178151,PA,0.17221386365314145,B6_U16_U150,150,spectral_hard_spatial_high,0.8016518883415436,0.8704121510673235,0.8016518883415436,0.8704121510673235,0.6012836678060572,0.3106796116504854,0.6004958373364375,0.0,171,0.9903016276667584,2.0,175,CAL_R5_K175,MODERATE,COMPUTED,True,True
MODERATE__CAL_R5_K175,CAL,R5,K175,175,4,PA-H__0100,PA 24:0_16:1,0.009487276668347268,True,True,False,7.240178448498096e-07,0.47172636833494863,0.7350890401757907,0.6635490105932277,PA,0.2764064477750978,B6_U39_U54,54,spectral_easy_spatial_low,0.1792183908045977,0.5071083743842364,0.1792183908045977,0.5071083743842364,0.0,0.0,0.0,0.0,180,-0.25476729709882673,0.5,175,CAL_R5_K175,MODERATE,COMPUTED,True,True
MODERATE__CAL_R5_K175,CAL,R5,K175,175,6,PA-H__0118,PA 18:0_22:1,0.009554969025941008,True,True,False,1.0321973741300235e-05,0.3291126428847987,0.854010491337717,0.7758194394971382,PA,0.30184234544507127,B5_U81_U105,105,spectral_hard_spatial_high,0.7206288998357964,0.7457405582922824,0.7206288998357964,0.7457405582922824,0.052767460600135624,0.16153846153846155,0.047451137602932195,0.0,290,0.9966220556977006,0.5,175,CAL_R5_K175,MODERATE,COMPUTED,True,True
MODERATE__CAL_R5_K175,CAL,R5,K175,175,8,PA-H__0120,PA 18:0_22:3,0.0025420525565940546,True,True,False,0.0,0.26685411549166754,0.7994055605507371,0.7822770241404187,PA,0.35607658490927657,B1_U95_U125,125,spectral_hard_spatial_low,0.7451149425287357,0.8009901477832513,0.7451149425287357,0.8009901477832513,0.05022587307821144,0.0661764705882353,0.05302766559774588,0.11301892928657031,295,-0.14165705240466278,0.6170676298438253,175,CAL_R5_K175,MODERATE,COMPUTED,True,True
MODERATE__CAL_R5_K175,CAL,R5,K175,175,9,PA-H__0121,PA 18:0_22:4,0.0065032668266045025,False,False,False,0.0,0.18925162859522815,0.8691673191165914,0.8645836840369737,PA,0.31323723028330897,,,UNASSIGNED_FALSE_POSITIVE,,,,,,,,,,,,175,CAL_R5_K175,MODERATE,COMPUTED,True,False
MODERATE__CAL_R5_K175,CAL,R5,K175,175,10,PA-H__0122,PA 18:0_22:5,0.010077712539191756,True,True,False,0.0,0.13936661280823676,0.9374908882297373,0.9345818680853585,PA,0.21638151697754526,B4_U64_U141,141,spectral_hard_spatial_high,0.7657668308702792,0.7451904761904762,0.7451904761904762,0.7657668308702792,0.07496740643032661,0.23423423423423423,0.07025785758396863,0.0,336,0.9958767175643264,0.5,175,CAL_R5_K175,MODERATE,COMPUTED,True,True
MODERATE__CAL_R5_K175,CAL,R5,K175,175,11,PA-H__0124,PA 18:0_24:0,0.004892641742455748,True,True,False,2.1285809171156495e-05,0.5363596171784565,0.7271532361366108,0.6313329291237251,PA,0.239152299302559,B3_U13_U90,13,spectral_hard_spatial_high,0.7239244663382594,0.6166551724137932,0.6166551724137932,0.7239244663382594,0.17572525850461496,0.11711711711711711,0.1511902006158474,0.0,246,0.9857917483350076,0.5,175,CAL_R5_K175,MODERATE,COMPUTED,True,True
MODERATE__CAL_R5_K175,CAL,R5,K175,175,16,PA-H__0140,PA 22:0_18:1,0.004182994188531393,True,True,False,7.80541967933481e-06,0.3671639070922606,0.7050099452951126,0.6113032030767289,PA,0.42423257628894034,B4_U64_U141,64,spectral_hard_spatial_high,0.7657668308702792,0.7451904761904762,0.7451904761904762,0.7657668308702792,0.07496740643032661,0.23423423423423423,0.07025785758396863,0.0,336,0.9958767175643264,0.689110922829001,175,CAL_R5_K175,MODERATE,COMPUTED,True,True
MODERATE__CAL_R5_K175,CAL,R5,K175,175,18,PA-H__0142,PA 18:1_22:2,0.025395343734429237,True,True,False,0.0,0.40366716929733215,0.9248799886279087,0.7196223801768364,PA,0.2906984620156129,B2_U60_U84,84,spectral_hard_spatial_low,0.8323037766830871,0.8063054187192118,0.8063054187192118,0.8323037766830871,0.8432257966252498,0.7037037037037037,0.39242033148640376,0.11301891386763883,86,-0.2267528764366433,2.0,175,CAL_R5_K175,MODERATE,COMPUTED,True,True
MODERATE__CAL_R5_K175,CAL,R5,K175,175,19,PA-H__0143,PA 18:1_22:3,0.007024554691144249,False,False,False,2.2806220268743364e-05,0.26035456632127724,0.8639124793194024,0.8037028144235677,PA,0.33467634555443054,,,UNASSIGNED_FALSE_POSITIVE,,,,,,,,,,,,175,CAL_R5_K175,MODERATE,COMPUTED,True,False
MODERATE__CAL_R5_K175,CAL,R5,K175,175,20,PA-H__0144,PA 18:1_22:4,0.0020337753936637017,False,False,False,0.0,0.23118051955905902,0.7349039762795926,0.7251473077432745,PA,0.45741325188581883,,,UNASSIGNED_FALSE_POSITIVE,,,,,,,,,,,,175,CAL_R5_K175,MODERATE,COMPUTED,True,False
MODERATE__CAL_R5_K175,CAL,R5,K175,175,21,PA-H__0147,PA 24:0_18:1,0.002536729298958242,True,True,False,1.5667642003232204e-07,0.43680623844895256,0.7371891580184492,0.6602623564184665,PA,0.3142287944867514,,32,singleton_control,,,,,,,,,339,,0.5,175,CAL_R5_K175,MODERATE,COMPUTED,True,True
MODERATE__CAL_R5_K175,CAL,R5,K175,175,24,PA-H__0152,PA 18:1_24:5,0.002941565315246207,True,True,False,0.0,0.2403872498285696,0.8248123478924629,0.8214327614182942,PA,0.3299181231679643,,135,singleton_control,,,,,,,,,133,,0.5,175,CAL_R5_K175,MODERATE,COMPUTED,True,True
MODERATE__CAL_R5_K175,CAL,R5,K175,175,28,PA-H__0164,PA 18:2_22:2,0.0060975719894104516,True,True,False,1.744431976361755e-06,0.47866516502254414,0.8685597534716455,0.7219248581633445,PA,0.21330629332370504,B2_U60_U84,60,spectral_hard_spatial_low,0.8323037766830871,0.8063054187192118,0.8063054187192118,0.8323037766830871,0.8432257966252498,0.7037037037037037,0.39242033148640376,0.11301891386763883,256,-0.2267528764366433,0.7802037075442214,175,CAL_R5_K175,MODERATE,COMPUTED,True,True
MODERATE__CAL_R5_K175,CAL,R5,K175,175,29,PA-H__0165,PA 18:2_22:3,0.006771155624690951,True,True,False,0.0,0.40654814292933356,0.8361365785941115,0.722889225295104,PA,0.2844157982081504,,51,singleton_control,,,,,,,,,239,,1.0760213163243861,175,CAL_R5_K175,MODERATE,COMPUTED,True,True
MODERATE__CAL_R5_K175,CAL,R5,K175,175,30,PA-H__0169,PA 24:0_18:2,0.005649041973416403,True,True,False,1.909800619586088e-06,0.4349361980895777,0.674205896426856,0.5485397946470075,PA,0.4011882505953169,,57,singleton_control,,,,,,,,,228,,0.5,175,CAL_R5_K175,MODERATE,COMPUTED,True,True
MODERATE__CAL_R5_K175,CAL,R5,K175,175,33,PA-H__0174,PA 18:2_24:5,0.00440988285791919,False,False,False,4.614478995646466e-06,0.30902833514416345,0.8083196183923326,0.8030418220184925,PA,0.2868943377666932,,,UNASSIGNED_FALSE_POSITIVE,,,,,,,,,,,,175,CAL_R5_K175,MODERATE,COMPUTED,True,False
MODERATE__CAL_R5_K175,CAL,R5,K175,175,34,PA-H__0175,PA 18:2_24:6,0.013792409917047452,True,True,False,1.122750515564533e-05,0.29491975880184035,0.8083196183923326,0.8030418220184925,PA,0.3010029141090163,,113,singleton_control,,,,,,,,,247,,2.0,175,CAL_R5_K175,MODERATE,COMPUTED,True,True
