dataset,lipid_name,truth,X_hat,rho,S,C,supported_blocks,score,standardized_log_abundance,abundance_logit,S_logit,C_logit,logit,pool,fdp5,fdp1
SIM_DEV,PA 16:0_24:0,True,0.02891195045061383,2.2188650732746962e-05,0.004842791581322303,0.5,8,0.9844951725653028,1.272305647433028,1.5480008245160453,0.1719097122388392,0.000903532859837758,4.150977571793822,True,True,True
SIM_DEV,PA 18:0_22:0,False,0.0013205490649886857,1.388045132308106e-07,0.00013059512204406358,0.42857142857142855,7,0.009923756118531232,-1.8164437386236914,-6.956012936495975,-0.06318101936410694,-0.013820009892564681,-4.602850463573547,False,False,False
SIM_DEV,PA 18:0_22:1,True,0.007644290872852066,3.9595313554075185e-07,-0.004630247777276786,0.2857142857142857,7,0.8752026414515633,-0.05908600126976333,-0.13843353311998335,-0.30069871412071747,-0.043267095397369545,1.9477641595410295,True,True,False
SIM_DEV,PA 18:0_22:3,True,0.010678560806050232,2.41016075355924e-07,-0.00035851648984276517,0.5714285714285714,7,0.9490999116471608,0.27546832012522926,0.567441556746119,-0.08758271985933269,0.015627075612240183,2.9256494146781264,True,True,False
SIM_DEV,PA 18:0_22:5,True,0.00463379351182613,0.0,-0.0010583894468961668,0.0,7,0.6583433758765699,-0.5600815222879462,-1.5495825320572505,-0.12249927033100017,-0.10216126640697927,0.65592043338387,True,False,False
SIM_DEV,PA 18:0_24:0,True,0.007250456732945796,3.4231974251499345e-05,-0.0006348869593359057,0.75,8,0.8922323344342332,-0.11202418182016964,-0.26747973789740503,-0.10137079860945845,0.052435932493246275,2.1137488981654826,True,True,False
SIM_DEV,PA 18:0_24:4,True,0.005951425822226535,0.0,0.00026062859795379206,0.1111111111111111,9,0.8180482991579193,-0.3096204389908735,-0.7910317461414432,-0.05669366994040009,-0.07925797768101994,1.5031801084162366,True,True,False
SIM_DEV,PA 18:0_24:5,False,0.0014346767421965936,1.1586697926077765e-08,-3.5041354706937276e-05,0.4444444444444444,9,0.015239625592485073,-1.733483515503905,-6.516670148169249,-0.0714445968350453,-0.010548111503141918,-4.168499354328336,False,False,False
SIM_DEV,PA 22:0_18:1,True,0.009670773790948151,1.1999228694071514e-06,-0.0034183849299019024,0.2857142857142857,7,0.9258432469295224,0.17625692882616634,0.3778664657055665,-0.24023906948284765,-0.043267095397369545,2.524523803004449,True,True,False
SIM_DEV,PA 18:1_22:2,True,0.03142939416499235,2.1184386876178595e-06,0.0029759612934386155,0.2857142857142857,7,0.9823549993047016,1.3558629681975147,1.5538299999283594,0.0787738462048631,-0.043267095397369545,4.019500252914953,True,True,True
SIM_DEV,PA 18:1_22:4,False,0.0012090864915359962,2.5243748937022455e-08,-0.0007885903789289353,0.2857142857142857,7,0.00571845712080558,-1.9046988703332337,-7.43617874302651,-0.10903903775743627,-0.043267095397369545,-5.158321374002216,False,False,False
SIM_DEV,PA 18:1_24:4,False,0.001379106936545221,3.962256113740789e-08,0.0007416134609096087,0.6666666666666666,9,0.013494738405545803,-1.7730194675692459,-6.724593353782398,-0.03269741165630782,0.03525846594877676,-4.291868797310829,False,False,False
SIM_DEV,PA 18:1_24:5,True,0.0029510571986148927,0.0,0.0008120909562068065,0.1111111111111111,9,0.2965644343545921,-1.0116655533246182,-3.185435993736339,-0.029181300629498214,-0.07925797768101994,-0.8637117698677572,False,False,False
SIM_DEV,PA 18:2_22:2,True,0.010762077570324357,4.3173641145730184e-07,0.001302924827867213,0.5714285714285714,7,0.9535905501089599,0.28326528723742544,0.5816343856968023,-0.004693676868194821,0.015627075612240183,3.0227312866199476,True,True,False
SIM_DEV,PA 18:2_22:3,True,0.011794952487683434,1.6867133976161225e-08,-0.001852897148836267,0.14285714285714285,7,0.9496062881272405,0.37498383547158515,0.7408688741697226,-0.16213713316787406,-0.07271418090217442,2.936181062278774,True,True,False
SIM_DEV,PA 18:2_24:4,False,0.0013062999680727762,1.5746702330979314e-07,0.0006751639416589905,0.5555555555555556,9,0.009874560778643482,-1.8273015937723522,-7.014375921503197,-0.03601256759903875,0.012355177222817433,-4.607869809700318,False,False,False
SIM_DEV,PA 18:2_24:5,False,0.0023182253112319752,2.5713137039223747e-07,-0.007314625093636066,0.3333333333333333,9,0.09621315397051627,-1.2532258899621562,-4.202117689437882,-0.4346218713266708,-0.03345140022910126,-2.2400274588145543,False,False,False
SIM_DEV,PA 20:0_20:0,True,0.011132708684481584,5.403477658234393e-07,-0.011390727076361514,0.4,5,0.9179338564573217,0.3171520600408445,0.6421236610685653,-0.6379779507024275,-0.019709426993525646,2.414599785551712,True,True,False
SIM_DEV,PA 20:0_20:1,True,0.029581245704633375,2.3604537957142503e-06,0.01659001331250369,0.8,5,0.9918508287540017,1.2952100466802745,1.5507738373390916,0.7579767353248122,0.06274241241992799,4.801656487262932,True,True,True
SIM_DEV,PA 20:0_20:4,False,0.0011442188696986271,4.14754734927498e-08,-0.004123282994878811,0.16666666666666666,6,0.0034836493808055604,-1.9598872036277695,-7.743135977678765,-0.2754063217892816,-0.06780633331804027,-5.656185130606987,False,False,False
SIM_DEV,PA 20:1_20:2,True,0.004699599517512784,4.745820478426114e-08,-0.005283710048473867,0.2,5,0.6299285665027182,-0.5459684771449328,-1.5040179366763562,-0.33329984285934705,-0.060935346700252455,0.5319103759431443,True,False,False
SIM_DEV,PA 20:1_20:3,True,0.026596273749793158,1.1383966514760638e-07,0.0009770169603812748,0.6,5,0.9813134499242802,1.1887529867189826,1.530361085188967,-0.020953168522360847,0.02151649271320116,3.9610879115589075,True,True,True
SIM_DEV,PA 20:1_20:4,True,0.02966011087377783,3.2912869221522766e-06,-0.007012583103088509,0.8333333333333334,6,0.9742005163151726,1.2978747450643418,1.551038815108737,-0.419553044475697,0.06961339903771578,3.6312626718498557,True,True,True
SIM_DEV,PA 20:1_22:2,True,0.027868206911257427,5.2965326607583405e-06,0.011323669225215377,0.8333333333333334,6,0.9894048132578276,1.235506844589975,1.5416871785949755,0.49523966673003356,0.06961339903771578,4.536703746541825,True,True,True
SIM_DEV,PA 20:1_22:4,True,0.018596693846897473,8.532481510303054e-06,0.018360340350848697,0.7142857142857143,7,0.9904585826548524,0.8306709862911353,1.3209902746920141,0.8462980695937895,0.04507416111704506,4.6425260075819486,True,True,True
SIM_DEV,PA 20:1_22:6,False,0.007545196451175659,3.1905873082213097e-07,-0.0017447922380840965,0.14285714285714285,7,0.8840013080726399,-0.07214469724304959,-0.16982589710384796,-0.15674379637085697,-0.07271418090217442,2.0308796278022205,True,True,False
SIM_DEV,PA 20:2_20:2,True,0.009263120708648693,1.8786673192807674e-07,0.005960113200705379,0.4,5,0.949233719964368,0.13315413159541561,0.2903159079457492,0.22765271005450943,-0.019709426993525646,2.928422693185833,True,True,False
SIM_DEV,PA 20:2_20:3,False,0.0022097142710115025,4.4103462504079666e-08,0.0050436712606474745,0.4,5,0.1390247105715322,-1.3012040978592907,-4.415799755602674,0.18193156747871034,-0.019709426993525646,-1.823414112938389,False,False,False
