dataset,lipid_name,lipid_class,X_hat,reported_candidate_indices,rho_zero,retained_by_legacy_rho,joint_score,retained_by_joint_pool,retained_by_joint_dev5,retained_by_joint_dev1,molecular_truth
ISTA_FULL,PA 20:1_20:1,PA,0.0012204861544833515,[47],0.0,False,0.005904324938712007,False,False,False,
ISTA_FULL,PS 14:0_22:0,PS,0.004943039691070102,[84],0.0001458934024469743,False,0.6514101006991938,True,False,False,
ISTA_FULL,PS 14:0_22:1,PS,0.007469897935364135,[85],0.0005741889725840205,False,0.8216830823260608,True,True,False,
ISTA_FULL,PS 14:0_22:2,PS,0.0035910531830547748,[86],1.3972007457499058e-06,False,0.45253505294125135,False,False,False,
ISTA_FULL,PS 16:0_18:1,PS,0.018849844165172713,[90],8.176961300049885e-05,False,0.9828873946788518,True,True,True,
ISTA_FULL,PS 16:0_20:2,PS,0.003465598543634408,[94],0.0,False,0.43418880825079087,False,False,False,
ISTA_FULL,PS 16:1_20:1,PS,0.003767493836187643,[101],7.000445449792729e-05,False,0.5759890259183167,False,False,False,
ISTA_FULL,PS 18:0_18:1,PS,0.07104063590718107,[106],0.002585842751012908,True,0.9929893861302918,True,True,True,
ISTA_FULL,PS 18:0_18:2,PS,0.004019268843843552,[107],7.563829654905488e-05,False,0.5826161021649842,False,False,False,
ISTA_FULL,PS 18:1_18:1,PS,0.07337007264323502,[109],0.005087623636312783,True,0.9994819865346593,True,True,True,
ISTA_FULL,PE 16:0_22:4,PE,0.02052518620541731,[119],0.0006480872765251761,False,0.7958503314059616,True,False,False,
ISTA_FULL,PE 16:0_22:6,PE,0.056662870395508505,[121],0.0001738179233929324,False,0.9899368002891562,True,True,True,
ISTA_FULL,PE 18:0_20:1,PE,0.002910685452931968,[133],0.0,False,0.2723965097410628,False,False,False,
ISTA_FULL,PE 18:0_20:4,PE,0.10008111490599345,[136],0.0,False,0.4745502732735387,False,False,False,
ISTA_FULL,PE 18:0_20:5,PE,0.0011026387225491967,[137],0.0,False,0.0033555673188283524,False,False,False,
ISTA_FULL,PE 18:0_22:4,PE,0.0224243672740242,[139],0.0,False,0.9762440458956523,True,True,True,
ISTA_FULL,PE 18:0_22:6,PE,0.2430186358557401,[141],0.03246030453851104,True,0.9999999999736098,True,True,True,
ISTA_FULL,PE 18:1_20:1,PE,0.004431943002525114,[143],0.0,False,0.6370538778507585,True,False,False,
ISTA_FULL,PE 18:1_20:3,PE,0.003302428208099872,[145],0.0001323858269762327,False,0.01994617035573181,False,False,False,
ISTA_FULL,PE 18:1_20:4,PE,0.02906358388086082,[146],0.00036860569993070117,False,0.9789173870228036,True,True,True,
ISTA_FULL,PE 18:1_22:6,PE,0.042849456658358986,[152],7.161433365746296e-05,False,0.9700263742826626,True,True,True,
ISTA_FULL,PE 20:1_18:2,PE,0.001110697252484861,[154],0.0,False,0.0034965135181815824,False,False,False,
ISTA_FULL,PE 18:2_22:6,PE,0.00235098424323507,[164],0.0004130139298274248,False,0.21797643688258564,False,False,False,
ISTA_FULL,PE 20:1_18:3,PE,0.0022194340215394427,[166],0.0010242920961881655,True,0.3320761085091329,False,False,False,
ISTA_FULL,PE 20:0_20:4,PE,0.014489468912776554,[171],6.51537327126405e-05,False,0.9982520822194091,True,True,True,
ISTA_FULL,PE 20:1_20:4,PE,0.02055197359367885,[175],2.1422679909286225e-06,False,0.9843034166753882,True,True,True,
ISTA_FULL,PE 20:2_20:4,PE,0.0030435813548569195,[179],0.0008389621084076506,False,0.20325203375179818,False,False,False,
ISTA_FULL,PE 20:3_20:4,PE,0.012733364138250759,[182],0.0,False,0.9617959252046565,True,True,True,
ISTA_FULL,PE 17:0_22:6,PE,0.0011542058237190786,[197],0.0,False,0.004465807452880877,False,False,False,
ISTA_FULL,PE O-16:0_22:4,PE,0.0017796236226615485,[211],0.0,False,0.042235478413510254,False,False,False,
ISTA_FULL,PE O-16:0_22:5,PE,0.004328126221311399,[212],0.0,False,0.5893024013917447,False,False,False,
ISTA_FULL,PE O-16:1_22:1,PE,0.0015122085889088548,[215],5.669198324961753e-06,False,0.02929032135087137,False,False,False,
ISTA_FULL,PE O-16:1_22:2,PE,0.0011527609331009674,[216],1.0084685632259315e-05,False,0.0013527024744397237,False,False,False,
ISTA_FULL,PE O-16:1_22:4,PE,0.006355509415755673,[218],0.0,False,0.8508388163959453,True,True,False,
ISTA_FULL,PE O-16:1_24:0,PE,0.0011994730470494266,[220],3.104387290755964e-06,False,0.00660833935520627,False,False,False,
ISTA_FULL,PE O-16:1_24:6,PE,0.0012682269332131278,[224],3.420899005156468e-05,False,0.009878899186384203,False,False,False,
ISTA_FULL,PE O-18:0_20:3,PE,0.0030493404632940427,[227],0.0,False,0.3107238206544533,False,False,False,
ISTA_FULL,PE O-18:0_20:4,PE,0.008688431049173717,[228],6.343989945850036e-05,False,0.9186557557962326,True,True,False,
ISTA_FULL,PE O-18:0_20:5,PE,0.0030317644321426504,[229],0.0,False,0.241103099415752,False,False,False,
ISTA_FULL,PE O-18:0_22:6,PE,0.0016766063349577076,[235],0.0,False,0.03279334616443501,False,False,False,
ISTA_FULL,PE O-18:1_20:1,PE,0.01143571348543155,[236],3.0264265849368767e-07,False,0.9672056001855549,True,True,True,
ISTA_FULL,PE O-18:1_20:2,PE,0.0036867645692421785,[237],0.0,False,0.525332657780698,False,False,False,
ISTA_FULL,PE O-18:1_20:4,PE,0.0616082453322032,[239],0.0011441976961459226,True,0.9994009893556853,True,True,True,
ISTA_FULL,PE O-18:1_22:4,PE,0.014933578264642325,[244],0.0,False,0.9491316290322981,True,True,False,
ISTA_FULL,PE O-18:1_22:6,PE,0.08362738739149775,[246],0.001832565857962544,True,0.9996849618576633,True,True,True,
ISTA_FULL,PE O-20:1_18:2,PE,0.0020214254411057542,[248],0.0,False,0.055200749225859665,False,False,False,
ISTA_FULL,PE O-18:2_22:4,PE,0.004230347797652717,[256],0.0,False,0.5796313542775594,False,False,False,
ISTA_FULL,PE O-18:2_22:6,PE,0.03957136601458654,[258],0.0002933056357237929,False,0.9987913858712247,True,True,True,
ISTA_FULL,PE O-20:0_20:3,PE,0.001070504924346424,[266],0.0,False,0.0023971933261170415,False,False,False,
ISTA_FULL,PE O-20:0_20:4,PE,0.004121898148795869,[267],1.4714155344993335e-05,False,0.5867278034904516,False,False,False,
ISTA_FULL,PE O-20:1_20:4,PE,0.03507887626589133,[271],0.00020889701313465392,False,0.9941245938914046,True,True,True,
ISTA_FULL,PG 14:0_20:0,PG,0.0029034017160741643,[277],7.656797266103282e-06,False,0.3046519915242203,False,False,False,
ISTA_FULL,PG 14:0_22:4,PG,0.0015217893129586188,[283],0.0,False,0.018747811848945497,False,False,False,
ISTA_FULL,PG 16:0_20:4,PG,0.006965233251819613,[284],1.571989819966083e-17,False,0.8669370651433278,True,True,False,
ISTA_FULL,PG 16:1_20:3,PG,0.0024990073350468845,[285],1.4407753482108483e-05,False,0.17702280305487839,False,False,False,
ISTA_FULL,PG 14:0_22:2,PG,0.0013766143633431771,[293],0.0,False,0.011227202479640094,False,False,False,
ISTA_FULL,PG 16:1_20:1,PG,0.01088759997649656,[295],2.919932682823108e-05,False,0.9586552533097559,True,True,False,
