selected_pair_order,matched_pair_id,pair_ambiguity_score,rank_feature_distance,matched_within_lipid_class,cal_candidate_index,cal_candidate_id,cal_lipid_name,cal_lipid_class,hold_candidate_index,hold_candidate_id,hold_lipid_name,hold_lipid_class
41,58,0.4415760869565218,0.07809841229999948,True,63,PA-H__0257,PA 22:0_20:3,PA,30,PA-H__0169,PA 24:0_18:2,PA
42,60,0.4455163043478261,0.2745674818747198,True,74,PA-H__0279,PA 20:4_22:6,PA,76,PA-H__0344,PA 22:3_22:6,PA
43,61,0.4471467391304348,0.08533863449696852,True,28,PA-H__0164,PA 18:2_22:2,PA,52,PA-H__0223,PA 20:1_22:1,PA
44,62,0.4478260869565218,0.18271299428276352,True,109,PS-H__0131,PS 18:1_18:1,PS,105,PS-H__0107,PS 18:0_18:0,PS
45,64,0.452445652173913,0.8330810011007842,True,26,PA-H__0162,PA 22:0_18:2,PA,18,PA-H__0142,PA 18:1_22:2,PA
46,65,0.4567934782608696,0.3559263984789769,True,339,PG-H__0483,PG 17:1_20:2,PG,338,PG-H__0482,PG 17:1_20:1,PG
47,67,0.46644021739130437,0.2977466124920191,True,35,PA-H__0197,PA 20:0_20:0,PA,79,PA-H__0362,PA 22:5_22:5,PA
48,68,0.4676630434782608,0.11879072279562171,True,73,PA-H__0278,PA 20:4_22:5,PA,33,PA-H__0174,PA 18:2_24:5,PA
49,70,0.4729619565217391,0.7801504549739301,True,208,PEO-H__0072,PE O-16:0_22:1,PE,224,PEO-H__0112,PE O-16:1_24:6,PE
50,71,0.47364130434782603,0.14832825113600637,True,172,PE-H__0202,PE 20:0_20:5,PE,165,PE-H__0177,PE 20:0_18:3,PE
51,72,0.4748641304347826,0.15570557325760137,True,37,PA-H__0199,PA 20:0_20:2,PA,43,PA-H__0206,PA 20:0_22:3,PA
52,74,0.48057065217391304,0.35074617075546516,True,252,PEO-H__0183,PE O-18:2_22:0,PE,267,PEO-H__0237,PE O-20:0_20:4,PE
53,75,0.483695652173913,0.4184782608695653,True,306,PG-H__0084,PG 18:2_20:5,PG,305,PG-H__0083,PG 16:1_22:6,PG
54,77,0.4862771739130435,0.25478713570878003,True,95,PS-H__0065,PS 16:0_20:3,PS,96,PS-H__0066,PS 16:0_20:4,PS
55,78,0.48641304347826086,0.25800911367822027,True,286,PG-H__0059,PG 18:1_18:3,PG,292,PG-H__0066,PG 18:1_18:2,PG
56,80,0.49769021739130437,0.5396143214395319,True,155,PE-H__0158,PE 18:2_20:2,PE,185,PE-H__0272,PE 20:4_20:5,PE
57,81,0.4978260869565218,0.09586269446936214,True,153,PE-H__0156,PE 20:0_18:2,PE,158,PE-H__0161,PE 18:2_20:5,PE
58,82,0.4990489130434783,0.29449238530856087,True,316,PG-H__0097,PG 18:2_20:3,PG,327,PG-H__0457,PG 17:0_18:2,PG
59,84,0.5033967391304348,0.24146969095383042,True,75,PA-H__0289,PA 22:1_20:5,PA,67,PA-H__0263,PA 20:3_22:6,PA
60,85,0.5059782608695652,0.029643239441944875,True,42,PA-H__0205,PA 20:0_22:2,PA,32,PA-H__0173,PA 18:2_24:4,PA
61,87,0.5134510869565216,0.16255020490992034,True,212,PEO-H__0076,PE O-16:0_22:5,PE,136,PE-H__0115,PE 18:0_20:4,PE
62,88,0.5172554347826087,0.17210442884529834,True,309,PG-H__0088,PG 16:1_22:5,PG,307,PG-H__0085,PG 18:3_20:4,PG
63,90,0.5255434782608697,0.1966685556817634,True,281,PG-H__0053,PG 16:1_20:4,PG,279,PG-H__0051,PG 14:0_22:5,PG
64,91,0.5267663043478261,0.09062612035680594,True,263,PEO-H__0216,PE O-18:3_22:5,PE,219,PEO-H__0104,PE O-16:1_22:5,PE
65,92,0.529891304347826,0.07899153181385125,True,196,PE-H__0470,PE 17:0_22:5,PE,140,PE-H__0122,PE 18:0_22:5,PE
66,94,0.5307065217391305,0.10920397444244632,True,19,PA-H__0143,PA 18:1_22:3,PA,50,PA-H__0220,PA 20:1_20:4,PA
67,95,0.5391304347826087,0.2828111210657878,True,225,PEO-H__0122,PE O-18:0_20:1,PE,245,PEO-H__0160,PE O-18:1_22:5,PE
68,97,0.5513586956521739,1.440405801867939,True,280,PG-H__0052,PG 16:0_20:5,PG,290,PG-H__0064,PG 16:1_20:2,PG
69,98,0.5521739130434782,0.23004928275322686,True,49,PA-H__0219,PA 20:1_20:3,PA,27,PA-H__0163,PA 22:1_18:2,PA
70,100,0.5566576086956522,0.11783111302050985,True,147,PE-H__0139,PE 18:1_20:5,PE,142,PE-H__0134,PE 20:0_18:1,PE
71,101,0.5604619565217391,0.10924622786807169,True,194,PE-H__0468,PE 17:0_22:3,PE,192,PE-H__0466,PE 17:0_22:1,PE
72,102,0.5610054347826088,0.23873253085863713,True,310,PG-H__0089,PG 18:1_20:5,PG,311,PG-H__0090,PG 18:2_20:4,PG
73,104,0.5627717391304348,0.47043058846478836,True,203,PE-H__0488,PE 17:1_22:1,PE,154,PE-H__0157,PE 20:1_18:2,PE
74,105,0.5650815217391304,0.128818392648329,True,226,PEO-H__0123,PE O-18:0_20:2,PE,274,PEO-H__0293,PE O-20:2_20:4,PE
75,107,0.5665760869565217,0.12100784825115392,True,175,PE-H__0220,PE 20:1_20:4,PE,179,PE-H__0238,PE 20:2_20:4,PE
76,108,0.5676630434782608,0.15146866858012809,True,282,PG-H__0054,PG 18:2_18:3,PG,300,PG-H__0076,PG 20:0_16:1,PG
77,110,0.574320652173913,0.1474982878533162,True,206,PE-H__0492,PE 17:1_22:5,PE,163,PE-H__0167,PE 18:2_22:5,PE
78,111,0.5786684782608695,0.0640895457340802,True,151,PE-H__0145,PE 18:1_22:5,PE,122,PE-H__0079,PE 16:0_24:4,PE
79,112,0.5790760869565217,0.409650682258043,True,268,PEO-H__0262,PE O-20:1_20:1,PE,266,PEO-H__0236,PE O-20:0_20:3,PE
80,114,0.5820652173913043,0.25403612217657234,True,313,PG-H__0094,PG 16:1_22:4,PG,332,PG-H__0463,PG 17:0_20:4,PG
81,115,0.5831521739130434,0.11312314291575352,True,36,PA-H__0198,PA 20:0_20:1,PA,20,PA-H__0144,PA 18:1_22:4,PA
82,117,0.5876358695652173,0.10511247520294256,True,34,PA-H__0175,PA 18:2_24:6,PA,25,PA-H__0153,PA 18:1_24:6,PA
83,118,0.5918478260869564,0.10098317486990244,True,301,PG-H__0077,PG 18:0_18:1,PG,291,PG-H__0065,PG 18:0_18:3,PG
84,120,0.5918478260869566,0.07579524826620301,True,265,PEO-H__0235,PE O-20:0_20:2,PE,236,PEO-H__0150,PE O-18:1_20:1,PE
85,121,0.5945652173913043,0.08708380629870689,True,23,PA-H__0151,PA 18:1_24:4,PA,8,PA-H__0120,PA 18:0_22:3,PA
86,122,0.5948369565217391,0.15786616900301975,True,169,PE-H__0188,PE 18:3_22:5,PE,118,PE-H__0071,PE 16:0_22:3,PE
