member_a_index,member_a_lipid_name,member_a_class,member_b_index,member_b_lipid_name,member_b_class,rank_feature_distance,matched_within_lipid_class,pair_ambiguity_score,matched_pair_id,selected_for_high129,selected_for_base76
29,PA 18:2_22:3,PA,51,PA 22:0_20:1,PA,0.10531425203845708,True,0.4190217391304348,53,False,False
308,PG 16:0_22:6,PG,340,PG 17:1_20:3,PG,0.24619400253790366,True,0.4245923913043478,54,True,False
38,PA 20:0_20:3,PA,55,PA 20:1_22:4,PA,0.1677755330481862,True,0.43396739130434786,55,True,True
4,PA 24:0_16:1,PA,22,PA 18:1_24:1,PA,0.08393176745369833,True,0.435054347826087,56,False,False
164,PE 18:2_22:6,PE,207,PE 17:1_22:6,PE,0.09499216463558989,True,0.4407608695652174,57,True,True
30,PA 24:0_18:2,PA,63,PA 22:0_20:3,PA,0.07809841229999948,True,0.4415760869565218,58,True,False
298,PG 14:0_22:1,PG,302,PG 14:0_22:0,PG,0.6071119853730067,True,0.4417119565217391,59,False,False
74,PA 20:4_22:6,PA,76,PA 22:3_22:6,PA,0.2745674818747198,True,0.4455163043478261,60,True,True
28,PA 18:2_22:2,PA,52,PA 20:1_22:1,PA,0.08533863449696852,True,0.4471467391304348,61,True,False
105,PS 18:0_18:0,PS,109,PS 18:1_18:1,PS,0.18271299428276352,True,0.4478260869565218,62,True,True
31,PA 24:1_18:2,PA,70,PA 22:2_20:4,PA,0.14476326741159998,True,0.4480978260869566,63,False,False
18,PA 18:1_22:2,PA,26,PA 22:0_18:2,PA,0.8330810011007842,True,0.452445652173913,64,True,False
338,PG 17:1_20:1,PG,339,PG 17:1_20:2,PG,0.3559263984789769,True,0.4567934782608696,65,True,True
16,PA 22:0_18:1,PA,41,PA 20:0_22:1,PA,0.3044236367149194,True,0.45828804347826085,66,False,False
35,PA 20:0_20:0,PA,79,PA 22:5_22:5,PA,0.2977466124920191,True,0.46644021739130437,67,True,True
33,PA 18:2_24:5,PA,73,PA 20:4_22:5,PA,0.11879072279562171,True,0.4676630434782608,68,True,False
143,PE 18:1_20:1,PE,152,PE 18:1_22:6,PE,0.11971951506473197,True,0.46874999999999994,69,False,False
