base_subset_order,selected_pair_order,matched_pair_id,pair_ambiguity_score,rank_feature_distance,matched_within_lipid_class,cal_candidate_index,cal_candidate_id,cal_lipid_name,cal_lipid_class,hold_candidate_index,hold_candidate_id,hold_lipid_name,hold_lipid_class
40,68,97,0.5513586956521739,1.440405801867939,True,280,PG-H__0052,PG 16:0_20:5,PG,290,PG-H__0064,PG 16:1_20:2,PG
41,69,98,0.5521739130434782,0.23004928275322686,True,49,PA-H__0219,PA 20:1_20:3,PA,27,PA-H__0163,PA 22:1_18:2,PA
42,71,101,0.5604619565217391,0.10924622786807169,True,194,PE-H__0468,PE 17:0_22:3,PE,192,PE-H__0466,PE 17:0_22:1,PE
43,73,104,0.5627717391304348,0.47043058846478836,True,203,PE-H__0488,PE 17:1_22:1,PE,154,PE-H__0157,PE 20:1_18:2,PE
44,75,107,0.5665760869565217,0.12100784825115392,True,175,PE-H__0220,PE 20:1_20:4,PE,179,PE-H__0238,PE 20:2_20:4,PE
45,76,108,0.5676630434782608,0.15146866858012809,True,282,PG-H__0054,PG 18:2_18:3,PG,300,PG-H__0076,PG 20:0_16:1,PG
46,78,111,0.5786684782608695,0.0640895457340802,True,151,PE-H__0145,PE 18:1_22:5,PE,122,PE-H__0079,PE 16:0_24:4,PE
47,80,114,0.5820652173913043,0.25403612217657234,True,313,PG-H__0094,PG 16:1_22:4,PG,332,PG-H__0463,PG 17:0_20:4,PG
48,81,115,0.5831521739130434,0.11312314291575352,True,36,PA-H__0198,PA 20:0_20:1,PA,20,PA-H__0144,PA 18:1_22:4,PA
49,83,118,0.5918478260869564,0.10098317486990244,True,301,PG-H__0077,PG 18:0_18:1,PG,291,PG-H__0065,PG 18:0_18:3,PG
50,85,121,0.5945652173913043,0.08708380629870689,True,23,PA-H__0151,PA 18:1_24:4,PA,8,PA-H__0120,PA 18:0_22:3,PA
51,87,124,0.5959239130434781,0.1314779391674233,True,244,PEO-H__0159,PE O-18:1_22:4,PE,269,PEO-H__0263,PE O-20:1_20:2,PE
52,88,125,0.5961956521739131,0.20505053782514646,True,342,PG-H__0502,PG 17:0_17:0,PG,323,PG-H__0104,PG 18:2_20:2,PG
53,90,128,0.6002717391304347,0.07878091855610991,True,241,PEO-H__0156,PE O-18:1_22:1,PE,238,PEO-H__0152,PE O-18:1_20:3,PE
54,92,131,0.6067934782608695,0.43067008829583353,True,198,PE-H__0481,PE 20:0_17:1,PE,137,PE-H__0116,PE 18:0_20:5,PE
55,93,132,0.6073369565217391,0.09263076385358324,True,171,PE-H__0201,PE 20:0_20:4,PE,257,PEO-H__0188,PE O-18:2_22:5,PE
56,95,135,0.6152173913043477,0.0794575625935513,True,293,PG-H__0068,PG 14:0_22:2,PG,288,PG-H__0062,PG 14:0_22:3,PG
57,97,138,0.6199728260869566,0.03429192789164122,True,44,PA-H__0207,PA 20:0_22:4,PA,24,PA-H__0152,PA 18:1_24:5,PA
58,98,140,0.6225543478260869,0.22769404259254591,True,285,PG-H__0058,PG 16:1_20:3,PG,283,PG-H__0056,PG 14:0_22:4,PG
59,100,142,0.6293478260869565,0.3347027537455276,True,330,PG-H__0461,PG 17:0_20:2,PG,331,PG-H__0462,PG 17:0_20:3,PG
60,102,145,0.635733695652174,0.2282002054480684,True,318,PG-H__0099,PG 14:0_24:4,PG,322,PG-H__0103,PG 18:1_20:3,PG
61,104,148,0.6452445652173913,0.2641641204588677,True,204,PE-H__0490,PE 17:1_22:3,PE,128,PE-H__0096,PE 16:1_22:3,PE
62,105,150,0.6509510869565218,0.13508605611502164,True,200,PE-H__0483,PE 17:1_20:2,PE,119,PE-H__0072,PE 16:0_22:4,PE
63,107,152,0.6566576086956522,0.18404684880951033,True,57,PA-H__0228,PA 20:1_22:6,PA,62,PA-H__0246,PA 20:2_22:6,PA
64,109,155,0.6595108695652174,0.2159257665795536,True,3,PA-H__0080,PA 16:0_24:5,PA,15,PA-H__0130,PA 18:0_24:6,PA
65,110,157,0.6620923913043479,0.10570791884624954,True,121,PE-H__0074,PE 16:0_22:6,PE,199,PE-H__0482,PE 17:1_20:1,PE
66,112,160,0.6705163043478262,0.43071509386614365,True,284,PG-H__0057,PG 16:0_20:4,PG,303,PG-H__0080,PG 16:0_20:0,PG
67,114,162,0.6730978260869565,0.08458903487105096,True,242,PEO-H__0157,PE O-18:1_22:2,PE,255,PEO-H__0186,PE O-18:2_22:3,PE
68,116,165,0.6820652173913043,0.07871058890195778,True,160,PE-H__0164,PE 18:2_22:2,PE,182,PE-H__0255,PE 20:3_20:4,PE
69,117,167,0.6854619565217391,0.09276021298205588,True,287,PG-H__0060,PG 18:2_18:2,PG,319,PG-H__0100,PG 16:0_22:4,PG
70,119,170,0.7002717391304347,0.1494812232551638,True,231,PEO-H__0129,PE O-18:0_22:2,PE,275,PEO-H__0320,PE O-20:3_20:3,PE
71,121,172,0.7073369565217392,0.2586022963631801,True,202,PE-H__0485,PE 17:1_20:4,PE,167,PE-H__0181,PE 18:3_20:4,PE
72,122,174,0.7078804347826086,0.08967391304347827,True,297,PG-H__0072,PG 18:1_18:1,PG,321,PG-H__0102,PG 18:0_20:4,PG
73,124,177,0.7239130434782609,0.10429261446954065,True,294,PG-H__0069,PG 16:0_20:2,PG,289,PG-H__0063,PG 16:0_20:3,PG
74,126,180,0.7410326086956522,0.17406158737750865,True,148,PE-H__0142,PE 18:1_22:2,PE,157,PE-H__0160,PE 18:2_20:4,PE
75,128,183,0.7716032608695653,0.22378917664017053,True,177,PE-H__0236,PE 20:2_20:2,PE,129,PE-H__0097,PE 16:1_22:4,PE
