dataset_id,base_dataset_id,severity,lipid_name,X_hat,rho_zero,rho_zero_status,raw_solver_reported,candidate_truth,molecular_truth,reportable_truth,cone_isolation,max_fragment_cosine,max_full_cosine,lipid_class,collective_gain,pair_id,unit_id,role,spectral_score_CAL,spectral_score_HOLD,joint_hard_score,joint_easy_score,fragment_cosine,fragment_support_jaccard,full_cosine,parent_cosine,base_template_id,realized_spatial_correlation,abundance_multiplier,K,replicate,split,candidate_indices,X_hat_definition,retained_by_rho_zero_global_FDR5,rho_zero_FDR5_threshold_available,retained_by_global_FDR5,filter_induced_true_loss_FDR5,retained_by_rho_zero_global_FDR1,rho_zero_FDR1_threshold_available,retained_by_global_FDR1,filter_induced_true_loss_FDR1,retained_by_X_hat_global_FDR5,X_hat_FDR5_threshold_available,retained_by_X_hat_global_FDR1,X_hat_FDR1_threshold_available,solver_false_negative,protocol
MILD__HOLD_R3_K175,HOLD_R3_K175,MILD,PA 18:0_24:0,0.00018732747363749299,,NOT_COMPUTED,False,False,False,False,0.5363596171784565,0.7271532361366108,0.6313329291237251,PA,0.239152299302559,,,UNASSIGNED_FALSE_POSITIVE,,,,,,,,,,,,175,R3,HOLD,[11],sum reported candidates for primary score; all candidates for unreported descriptive abundance,False,True,False,False,False,True,False,False,False,True,False,True,False,LOCAL_CAL_RECALIBRATION
MILD__HOLD_R3_K175,HOLD_R3_K175,MILD,PA 18:0_24:1,0.009585719493263043,0.0,COMPUTED,True,True,True,True,0.3334734584306543,0.8793255202210899,0.8305304488322932,PA,0.22349976674487387,B2_U43_U133,43,spectral_hard_spatial_high,0.896121510673235,0.8493119868637111,0.8493119868637111,0.896121510673235,0.7986035117425145,0.41,0.7525372430626872,0.0,284,0.994472443145913,0.689110922829001,175,R3,HOLD,[12],sum reported candidates for primary score; all candidates for unreported descriptive abundance,False,True,False,True,False,True,False,True,False,True,False,True,False,LOCAL_CAL_RECALIBRATION
MILD__HOLD_R3_K175,HOLD_R3_K175,MILD,PA 18:0_24:4,0.008447709293146095,8.595857888620782e-07,COMPUTED,True,False,False,False,0.19065424453428229,0.8372950741847822,0.832749852444057,PA,0.362995178164235,,,UNASSIGNED_FALSE_POSITIVE,,,,,,,,,,,,175,R3,HOLD,[13],sum reported candidates for primary score; all candidates for unreported descriptive abundance,False,True,False,False,False,True,False,False,False,True,False,True,False,LOCAL_CAL_RECALIBRATION
MILD__HOLD_R3_K175,HOLD_R3_K175,MILD,PA 18:0_24:5,0.0077748646238713906,5.509391387910311e-08,COMPUTED,True,True,True,True,0.1609179673339711,0.923167578011941,0.919680283971754,PA,0.23175005437601462,B4_U64_U141,141,spectral_hard_spatial_high,0.7657668308702792,0.7451904761904762,0.7451904761904762,0.7657668308702792,0.04936673211304598,0.11450381679389313,0.04704824842945059,0.0,258,0.9755117131616019,0.5,175,R3,HOLD,[14],sum reported candidates for primary score; all candidates for unreported descriptive abundance,False,True,False,True,False,True,False,True,False,True,False,True,False,LOCAL_CAL_RECALIBRATION
MILD__HOLD_R3_K175,HOLD_R3_K175,MILD,PA 18:0_24:6,0.02350083318555817,1.6120640871293437e-06,COMPUTED,True,True,True,True,0.1641748706562144,0.9374908882297373,0.9345818680853585,PA,0.19157325912956763,B6_U16_U150,150,spectral_hard_spatial_high,0.8016518883415436,0.8704121510673235,0.8016518883415436,0.8704121510673235,0.5488475814049499,0.40594059405940597,0.548527025020696,0.42361641273681017,220,0.9942508090988695,2.0,175,R3,HOLD,[15],sum reported candidates for primary score; all candidates for unreported descriptive abundance,False,True,False,True,False,True,False,True,True,True,False,True,False,LOCAL_CAL_RECALIBRATION
MILD__HOLD_R3_K175,HOLD_R3_K175,MILD,PA 18:1_22:1,0.007963684829701204,9.35640800847711e-08,COMPUTED,True,True,True,True,0.46175873097333114,0.9022714644699661,0.6587714343940032,PA,0.2905844069806663,B1_U59_U80,59,spectral_hard_spatial_low,0.679983579638752,0.7071789819376026,0.679983579638752,0.7071789819376026,0.031175949260026654,0.07692307692307693,0.6587714343940032,0.9999999999999994,85,-0.12650251362449047,0.7303443264893795,175,R3,HOLD,[17],sum reported candidates for primary score; all candidates for unreported descriptive abundance,False,True,False,True,False,True,False,True,False,True,False,True,False,LOCAL_CAL_RECALIBRATION
MILD__HOLD_R3_K175,HOLD_R3_K175,MILD,PA 18:1_22:2,0.0,,NOT_COMPUTED,False,False,False,False,0.40366716929733215,0.9248799886279087,0.7196223801768364,PA,0.2906984620156129,,,UNASSIGNED_FALSE_POSITIVE,,,,,,,,,,,,175,R3,HOLD,[18],sum reported candidates for primary score; all candidates for unreported descriptive abundance,False,True,False,False,False,True,False,False,False,True,False,True,False,LOCAL_CAL_RECALIBRATION
MILD__HOLD_R3_K175,HOLD_R3_K175,MILD,PA 18:1_22:3,0.01734002798762893,1.1637533437522448e-05,COMPUTED,True,True,True,True,0.26035456632127724,0.8639124793194024,0.8037028144235677,PA,0.33467634555443054,,92,singleton_control,,,,,,,,,246,,2.0,175,R3,HOLD,[19],sum reported candidates for primary score; all candidates for unreported descriptive abundance,False,True,False,True,False,True,False,True,True,True,False,True,False,LOCAL_CAL_RECALIBRATION
MILD__HOLD_R3_K175,HOLD_R3_K175,MILD,PA 18:1_22:4,0.01783201790805334,1.703583183278087e-06,COMPUTED,True,True,True,True,0.23118051955905902,0.7349039762795926,0.7251473077432745,PA,0.45741325188581883,B3_U62_U111,111,spectral_hard_spatial_low,0.6664384236453202,0.7616584564860427,0.6664384236453202,0.7616584564860427,0.1231108935077214,0.23478260869565218,0.10404094948269774,0.0,141,-0.22480770519893226,2.0,175,R3,HOLD,[20],sum reported candidates for primary score; all candidates for unreported descriptive abundance,False,True,False,True,False,True,False,True,True,True,False,True,False,LOCAL_CAL_RECALIBRATION
MILD__HOLD_R3_K175,HOLD_R3_K175,MILD,PA 18:1_24:1,0.007874871780603566,7.595704930659035e-07,COMPUTED,True,True,True,True,0.4394175718623714,0.7742897189559598,0.6708976550037268,PA,0.30213238364332506,B6_U39_U54,54,spectral_easy_spatial_low,0.1792183908045977,0.5071083743842364,0.1792183908045977,0.5071083743842364,0.00026369558372042073,0.10227272727272728,0.00020200331760154445,0.0,94,-0.19100458109529345,0.5,175,R3,HOLD,[22],sum reported candidates for primary score; all candidates for unreported descriptive abundance,False,True,False,True,False,True,False,True,False,True,False,True,False,LOCAL_CAL_RECALIBRATION
MILD__HOLD_R3_K175,HOLD_R3_K175,MILD,PA 18:1_24:4,0.0029644586778790932,6.420750425420972e-08,COMPUTED,True,True,True,True,0.2590661626283403,0.770029563231097,0.7660750464750595,PA,0.383684973635327,B5_U81_U105,105,spectral_hard_spatial_high,0.7206288998357964,0.7457405582922824,0.7206288998357964,0.7457405582922824,0.08345586956895017,0.05442176870748299,0.08266818987422711,0.12074806658205942,85,0.9933450683377844,0.5,175,R3,HOLD,[23],sum reported candidates for primary score; all candidates for unreported descriptive abundance,False,True,False,True,False,True,False,True,False,True,False,True,False,LOCAL_CAL_RECALIBRATION
