identity_id,lipid_name,ista_nnls_ratio,ista_nnls_log_ratio,both_reported,ista_only,nnls_only,pixelwise_abundance_corr,spatial_cosine_ista_nnls,status,ratio_is_solver_correctness
252,PE O-18:2_22:0,0.39432880692168176,-0.9305701823809817,False,False,False,0.5604587955077688,0.5854739015570016,neither,False
253,PE O-22:1_18:2,545.2830065279379,6.301304937917976,False,False,False,-0.006851306868479379,0.008115003592278899,neither,False
254,PE O-18:2_22:2,0.0,,False,False,False,,,neither,False
255,PE O-18:2_22:3,16.15527756333305,2.7822467803936783,False,False,False,0.234759999900125,0.24014459201766208,neither,False
256,PE O-18:2_22:4,0.33866342427388907,-1.0827485135520725,True,False,False,0.9132971079471132,0.9288527354218352,reported_by_both,False
257,PE O-18:2_22:5,0.1062437873612695,-2.2420189447810928,False,False,True,0.19583090167008974,0.27438106655647954,SOLVER_SUPPORT_DISAGREEMENT,False
258,PE O-18:2_22:6,1.6813316493377912,0.5195861278506704,True,False,False,0.7737617768991533,0.9373111895505482,reported_by_both,False
259,PE O-18:3_20:3,,,False,False,False,,,neither,False
260,PE O-18:3_22:0,0.6521810219786239,-0.42743311451912486,False,False,True,0.9755890442521905,0.9803348605905183,SOLVER_SUPPORT_DISAGREEMENT,False
261,PE O-18:3_22:3,5.69126387360737,1.7389323453721848,False,False,False,-0.0015571679161922153,0.0,neither,False
262,PE O-18:3_22:4,1.2104235671902366,0.19097035388262884,False,False,False,0.14542478029566758,0.14849376628035474,neither,False
263,PE O-18:3_22:5,416.3261429230822,6.031468950507082,False,False,False,-0.004161108938898299,6.945138903028902e-05,neither,False
264,PE O-18:3_22:6,0.0020619827854457666,-6.184087241896628,False,False,True,0.17148986596797863,0.14789634186947453,SOLVER_SUPPORT_DISAGREEMENT,False
265,PE O-20:0_20:2,2.2167561297886365,0.7960449244883826,False,False,False,0.03395964393006289,0.03632041806220927,neither,False
266,PE O-20:0_20:3,110.20930212221505,4.702381304428752,False,True,False,0.10160814891249617,0.11243415416754395,SOLVER_SUPPORT_DISAGREEMENT,False
267,PE O-20:0_20:4,1.1794852529046598,0.16507811695119567,True,False,False,0.9263038851344916,0.9599136638429893,reported_by_both,False
268,PE O-20:1_20:1,0.14894313608824647,-1.9041906828702424,False,False,False,0.03919679786651999,0.12145047116706918,neither,False
269,PE O-20:1_20:2,0.0,,False,False,False,,,neither,False
270,PE O-20:1_20:3,134.65770835409734,4.902736064957306,False,False,False,0.0037341975899156956,0.0043461634113224285,neither,False
271,PE O-20:1_20:4,1.5492798570162256,0.4377902145906129,True,False,False,0.929256551070107,0.9587618216985139,reported_by_both,False
272,PE O-20:2_20:2,,,False,False,False,,,neither,False
273,PE O-20:2_20:3,55.29568066328226,4.0126947981229995,False,False,False,-0.0009261400502185407,0.0,neither,False
274,PE O-20:2_20:4,0.05395240097192488,-2.9196530846181146,False,False,True,0.148616274096609,0.33701059022857227,SOLVER_SUPPORT_DISAGREEMENT,False
275,PE O-20:3_20:3,,,False,False,False,,,neither,False
276,PE O-20:3_20:4,0.006395455243075059,-5.052167659139438,False,False,True,0.35051262083137047,0.3383236028900918,SOLVER_SUPPORT_DISAGREEMENT,False
277,PG 14:0_20:0,1.1655070784527715,0.15315625279378348,True,False,False,0.847741179389523,0.9173645249972089,reported_by_both,False
278,PG 16:0_18:0,1.873972711967868,0.6280606223270043,False,False,False,0.6989724266399423,0.6995964319390408,neither,False
279,PG 14:0_22:5,0.0,,False,False,False,,,neither,False
280,PG 16:0_20:5,0.02275363020535211,-3.783030576849004,False,False,False,-0.0002767775229019794,0.0,neither,False
281,PG 16:1_20:4,6.221866996343118,1.8280700218958135,False,False,False,0.17234599975067724,0.2187462362166771,neither,False
282,PG 18:2_18:3,217.07533790511732,5.380244472573931,False,False,False,-0.0021394585340132896,0.0,neither,False
283,PG 14:0_22:4,0.5668106195713579,-0.5677300353295585,True,False,False,0.04452538261835098,0.3580248782060814,reported_by_both,False
284,PG 16:0_20:4,4.323303932094214,1.4640199090421027,True,False,False,0.34574389474819756,0.4710625347792166,reported_by_both,False
285,PG 16:1_20:3,0.5624044116456133,-0.5755340941963679,True,False,False,0.3678674335334261,0.6422677513046412,reported_by_both,False
286,PG 18:1_18:3,0.31116085286641415,-1.1674452887217057,False,False,False,0.24273341219814698,0.24291539256055417,neither,False
287,PG 18:2_18:2,59.10693354907888,4.079348236466069,False,False,False,0.18948793609417516,0.1785657659767439,neither,False
288,PG 14:0_22:3,0.05211765261299428,-2.95425156586341,False,False,True,0.7712628285788248,0.8501177352777521,SOLVER_SUPPORT_DISAGREEMENT,False
289,PG 16:0_20:3,0.6028577370134314,-0.5060740354405753,False,False,False,0.07118678826778574,0.09401833818688658,neither,False
290,PG 16:1_20:2,2.0246774099397165,0.7054103841348416,False,False,False,0.44006575350786753,0.5063390683424803,neither,False
291,PG 18:0_18:3,0.0,,False,False,False,,,neither,False
292,PG 18:1_18:2,6.258851618284145,1.8339967207250023,False,False,False,0.3693993996904021,0.36977722561697834,neither,False
293,PG 14:0_22:2,0.14521396990981875,-1.9295469697193417,True,False,False,0.2957168315683754,0.5966052282995636,reported_by_both,False
294,PG 16:0_20:2,2.1917075892362092,0.7846809611162492,False,False,False,-0.0271160605546676,0.002388156488941769,neither,False
295,PG 16:1_20:1,1.0738294765375027,0.07123120930707211,True,False,False,0.4551108609312198,0.7712096438994247,reported_by_both,False
296,PG 18:0_18:2,0.7367094530488306,-0.30556169376332676,False,False,False,-0.0001668870329147125,0.0,neither,False
297,PG 18:1_18:1,0.0,,False,False,False,,,neither,False
298,PG 14:0_22:1,1.1393077565132264,0.1304208468381647,True,False,False,0.851190493234991,0.9732360575058855,reported_by_both,False
299,PG 16:0_20:1,2.8394283660121244,1.0436027523404672,False,True,False,-0.0041584771079818715,0.09639400059755678,SOLVER_SUPPORT_DISAGREEMENT,False
300,PG 20:0_16:1,,,False,False,False,,,neither,False
301,PG 18:0_18:1,0.16256076002907838,-1.8167034392272212,False,False,False,0.47423929644192236,0.47491108940157767,neither,False
302,PG 14:0_22:0,0.9636614219202507,-0.03701526813893863,True,False,False,0.9502323381635579,0.9617101864772972,reported_by_both,False
303,PG 16:0_20:0,0.037676192087831566,-3.278726893620943,False,False,False,0.2783259099705568,0.2812630792155936,neither,False
304,PG 18:0_18:0,4.308745377291246,1.4606467659829716,False,False,False,0.6680609786568305,0.668268280091489,neither,False
305,PG 16:1_22:6,0.0035747427239251187,-5.633862070761427,False,False,True,0.2995757655769672,0.30449150342494263,SOLVER_SUPPORT_DISAGREEMENT,False
306,PG 18:2_20:5,0.0,,False,False,False,,,neither,False
307,PG 18:3_20:4,4.470703888591156,1.4975458657119398,False,False,False,-0.00019911201575337448,0.0,neither,False
308,PG 16:0_22:6,0.3274866928615723,-1.116307857216101,True,False,False,0.7748200282810577,0.8884165577601928,reported_by_both,False
309,PG 16:1_22:5,4338.910425305645,8.37537854149806,False,False,False,-0.002778147418496038,0.0,neither,False
310,PG 18:1_20:5,0.0,,False,False,False,,,neither,False
311,PG 18:2_20:4,1.2374429069915232,0.21304707863199546,False,False,False,-0.00028977148098548595,0.0,neither,False
312,PG 16:0_22:5,0.13546637657466334,-1.9990318128154574,False,False,False,0.23594681225535868,0.27458754720205275,neither,False
313,PG 16:1_22:4,4.907129881766276,1.5906892254280043,True,False,False,0.297139988727336,0.5108730117096268,reported_by_both,False
314,PG 18:0_20:5,0.0,,False,False,False,,,neither,False
315,PG 18:1_20:4,2.3424801987909494e-05,-10.661715182899655,False,False,False,-0.0031187900445023868,0.0,neither,False
316,PG 18:2_20:3,201.51258809306452,5.305851851361327,False,False,False,0.09567595268423248,0.09807706279167103,neither,False
317,PG 20:2_18:3,0.0,,False,False,False,,,neither,False
318,PG 14:0_24:4,0.1349650413191229,-2.0027394872695568,False,False,False,0.18955227882193781,0.30346592531283745,neither,False
319,PG 16:0_22:4,1.0352439928511932,0.03463714081979126,True,False,False,0.7988452619467701,0.942097040616631,reported_by_both,False
320,PG 16:1_22:3,0.1517708200625571,-1.8853836587002955,False,False,True,0.1327730782171968,0.30778445134519977,SOLVER_SUPPORT_DISAGREEMENT,False
321,PG 18:0_20:4,264.60918199140525,5.578253952482424,False,True,False,0.05671455973512128,0.0700749243558406,SOLVER_SUPPORT_DISAGREEMENT,False
322,PG 18:1_20:3,0.7035312282083102,-0.3516430136356193,False,False,False,0.06978051780753743,0.07795561623596223,neither,False
323,PG 18:2_20:2,8.822341241660958,2.17728728169424,False,True,False,-0.0704181262781511,0.08306262106891091,SOLVER_SUPPORT_DISAGREEMENT,False
324,PG 20:1_18:3,,,False,False,False,,,neither,False
325,PG 17:0_18:0,0.008933014235266603,-4.71800140070425,False,False,False,0.12159473054264439,0.12198428306582919,neither,False
326,PG 17:0_18:1,0.0020084724344168635,-6.21038082872172,False,False,False,0.07385393025927403,0.07741098862860836,neither,False
327,PG 17:0_18:2,207.16010137713488,5.333491930921929,False,False,False,0.22432952322491267,0.20377189575099258,neither,False
328,PG 17:0_20:0,1.3538582530853966,0.30295848148071225,False,False,False,0.8142333534028325,0.8161774406744609,neither,False
329,PG 17:0_20:1,1.7954972848957043,0.5852820225111525,True,False,False,0.951524467960985,0.9462154999413098,reported_by_both,False
330,PG 17:0_20:2,197.8161143449655,5.287337883741698,False,False,False,-0.016396459708079906,0.0062043639986228746,neither,False
331,PG 17:0_20:3,13.693309673617835,2.6169073685634303,False,False,False,0.2822896515114945,0.3300331704204048,neither,False
332,PG 17:0_20:4,0.0005364429010194748,-7.530550430225721,False,False,False,0.006627262737660727,0.010476360932066683,neither,False
333,PG 17:0_20:5,3.998998189889764,1.3860438772238597,False,False,False,-0.0006186928637440537,0.0,neither,False
334,PG 18:0_17:1,32.86607648379951,3.4924410158968855,False,False,False,0.08660944169047928,0.08691649444055924,neither,False
335,PG 17:1_18:1,0.07387691514784503,-2.605354879424793,False,False,False,0.1659452499186699,0.1729530676175304,neither,False
336,PG 17:1_18:2,383.03413461750523,5.948124109536999,False,False,False,0.014945696196602779,0.024640437964160745,neither,False
337,PG 20:0_17:1,0.0,,False,False,False,,,neither,False
338,PG 17:1_20:1,1.9006179588038052,0.6421790747685384,True,False,False,0.8043945174399169,0.8357571963169039,reported_by_both,False
339,PG 17:1_20:2,5.999353546369399,1.7916517211516727,False,True,False,0.17045154374971822,0.33661523405475213,SOLVER_SUPPORT_DISAGREEMENT,False
340,PG 17:1_20:3,9.426044831123253,2.243476584603453,False,False,False,0.09357418974416262,0.0995856978172088,neither,False
341,PG 17:1_20:4,0.0035272177536793867,-5.647245890569813,False,False,False,-0.0012026794387363369,0.0,neither,False
342,PG 17:0_17:0,0.5894999406900101,-0.5284806596153864,False,False,False,0.2818219498905609,0.3208599375409341,neither,False
343,PC 14:0_18:0,1.3731984316572157,0.3171426404926904,True,False,False,0.974960832539739,0.9832083330542397,reported_by_both,False
344,PC 14:0_18:1,0.0,,False,False,False,,,neither,False
345,PC 16:0_16:0,0.824034111375257,-0.1935433526294408,False,False,False,0.9193410167008693,0.9196220447466573,neither,False
346,PC 16:0_16:1,3.9380722434405553,1.3706913252595703,False,False,False,0.5213328939443742,0.538949572937044,neither,False
347,PC 14:0_17:1,0.0,,False,False,False,,,neither,False
348,PC O-16:0_16:1,1.5553577274665569,0.4417055689915172,False,False,False,0.8792594907400061,0.8889096955447441,neither,False
349,PC O-16:1_16:1,0.941824647071253,-0.059936171339650825,True,False,False,0.9132572263998598,0.9472543325932744,reported_by_both,False
350,PC O-16:1_18:0,1.2709111876164785,0.23973411377569412,False,False,False,0.8429009887668617,0.8430585101413428,neither,False
351,PC O-16:1_18:1,0.00022923158393137858,-8.380777781869616,False,False,False,0.09230921635432975,0.09223061402857458,neither,False
352,PC O-16:1_18:2,42.36984687743002,3.746436950693538,False,False,False,0.4362647499958928,0.39778502376608793,neither,False
353,PC O-16:1_17:0,0.9136007805878177,-0.09036158567202415,False,False,False,0.19937268657976354,0.2217384060713595,neither,False
354,PC O-16:0_17:1,37.52206255462561,3.6249290947653208,False,False,False,0.24328837713641943,0.23933976512802013,neither,False
355,PC O-16:0_17:0,0.8288501603235133,-0.18771588768241748,False,False,False,0.7798591182219373,0.7806091347204356,neither,False
356,PC O-16:1_17:1,0.0,,False,False,False,,,neither,False
357,PC 14:0_18:2,0.0,,False,False,False,,,neither,False
358,PC 14:0_20:0,0.05665381653845377,-2.8707959232839646,False,False,False,-0.002233590478900627,0.0,neither,False
359,PC 14:0_20:1,0.1632238719771876,-1.8126325727791608,False,False,True,0.2664935248995517,0.561825845863143,SOLVER_SUPPORT_DISAGREEMENT,False
360,PC 14:0_20:2,0.9131874957360633,-0.09081405721912326,False,False,False,0.056758492738631275,0.06089670132830194,neither,False
361,PC 14:0_20:3,0.13795562907753786,-1.9808231739499174,False,False,False,0.7267216958734294,0.7285029808165786,neither,False
362,PC 14:0_20:4,0.0,,False,False,False,,,neither,False
363,PC 14:1_17:1,0.42991855420516883,-0.8441594970598346,True,False,False,0.6859969230925261,0.7482096241499858,reported_by_both,False
364,PC 18:0_14:1,41.97842909798603,3.737155893444262,False,False,False,0.2650200575752455,0.2676325984627391,neither,False
365,PC 20:0_14:1,0.004081842786928736,-5.50120672907238,False,False,True,0.4013956575327933,0.2797894005206642,SOLVER_SUPPORT_DISAGREEMENT,False
366,PC 14:1_20:1,4.5349184952315325,1.511807111020045,False,True,False,0.2238944215426377,0.3843939276297478,SOLVER_SUPPORT_DISAGREEMENT,False
367,PC 16:0_18:0,77.3086109058914,4.347805345325809,False,True,False,0.3167280551408204,0.30317549441240355,SOLVER_SUPPORT_DISAGREEMENT,False
368,PC 16:0_18:1,1.9053152415295842,0.6446474760060664,True,False,False,0.9005027328610777,0.9327142861070749,reported_by_both,False
369,PC 16:0_18:2,14.696463356860468,2.687606876870087,False,False,False,0.5190973760029437,0.5026772482702183,neither,False
370,PC 16:1_16:1,62.578560198364315,4.1364227305993335,False,False,False,0.046031257703204084,0.048845416215537,neither,False
371,PC 18:0_16:1,28.308978145463925,3.343179003292705,False,True,False,0.73139625485295,0.7121166156361118,SOLVER_SUPPORT_DISAGREEMENT,False
372,PC 16:1_18:1,0.0,,False,False,False,,,neither,False
373,PC 16:1_18:2,248.68039594503057,5.516168521586738,False,False,False,0.009240832115605696,0.014315282256014443,neither,False
374,PC 17:0_17:0,0.05616684356727462,-2.87942866829707,False,False,False,0.042292689027302204,0.09089422387710533,neither,False
375,PC 17:0_17:1,0.10134384767049977,-2.2892361117204643,True,False,False,0.7176710466222231,0.757627631594155,reported_by_both,False
376,PC 17:1_17:1,31.901086107762296,3.4626400564764794,False,False,False,0.007179711427999618,0.03913578537608418,neither,False
