source_identity,replacement_identity,eligible_block_count,edge_presence_count,edge_presence_fraction,unique_top_count,top_replacement_consistency,stable_edge,presence_persistent_edge,replacement_rank_stability,absorption_median,absorption_IQR,residual_absorption_median,residual_nonzero_direction_count,delta_residual_nonzero_direction_count,gain_median,gain_IQR,stability_unit
PA 20:1_20:1,PE 20:0_20:4,3,1,0.3333333333333333,0,0.0,False,False,"{""n"": 3, ""median"": 0.8037212713836115, ""q25"": 0.8012541959307625, ""q75"": 0.8323537117154352, ""IQR"": 0.031099515784672627, ""minimum"": 0.7987871204779136, ""maximum"": 0.8609861520472588}",2.3094210285351106e-13,6.251478607387014e-13,5.0186214403737506e-17,3,3,0.0,7.484256217289015e-08,original 250-foreground-index processing blocks; last block 87 pixels
PA 20:1_20:1,PE 20:1_20:4,3,3,1.0,0,0.0,False,True,"{""n"": 3, ""median"": 0.8037212713836115, ""q25"": 0.8012541959307625, ""q75"": 0.8323537117154352, ""IQR"": 0.031099515784672627, ""minimum"": 0.7987871204779136, ""maximum"": 0.8609861520472588}",2.286312029916025e-13,6.40268077852248e-13,9.284449664691439e-17,3,3,3.0485697491974134e-05,3.857283402054507e-05,original 250-foreground-index processing blocks; last block 87 pixels
PA 20:1_20:1,PE 20:1_20:5,3,3,1.0,0,0.0,False,True,"{""n"": 3, ""median"": 0.8037212713836115, ""q25"": 0.8012541959307625, ""q75"": 0.8323537117154352, ""IQR"": 0.031099515784672627, ""minimum"": 0.7987871204779136, ""maximum"": 0.8609861520472588}",-7.934491038053511e-14,1.7300301589728406e-13,-2.1078210049569757e-16,3,3,4.088696059436833e-06,1.8868433189675872e-05,original 250-foreground-index processing blocks; last block 87 pixels
PA 20:1_20:1,PE O-16:0_22:3,3,3,1.0,0,0.0,False,True,"{""n"": 3, ""median"": 0.8037212713836115, ""q25"": 0.8012541959307625, ""q75"": 0.8323537117154352, ""IQR"": 0.031099515784672627, ""minimum"": 0.7987871204779136, ""maximum"": 0.8609861520472588}",-4.855270882502272e-15,4.4920608906661785e-14,0.0,3,3,5.342524241492425e-07,3.1411136010295326e-07,original 250-foreground-index processing blocks; last block 87 pixels
PA 20:1_20:1,PE O-16:0_22:4,3,1,0.3333333333333333,0,0.0,False,False,"{""n"": 3, ""median"": 0.8037212713836115, ""q25"": 0.8012541959307625, ""q75"": 0.8323537117154352, ""IQR"": 0.031099515784672627, ""minimum"": 0.7987871204779136, ""maximum"": 0.8609861520472588}",-1.2087712786469338e-14,0.00017926390022921556,-6.519831430940072e-16,3,3,0.0,3.591637346489387e-06,original 250-foreground-index processing blocks; last block 87 pixels
PA 20:1_20:1,PE O-16:1_22:2,3,3,1.0,0,0.0,False,True,"{""n"": 3, ""median"": 0.8037212713836115, ""q25"": 0.8012541959307625, ""q75"": 0.8323537117154352, ""IQR"": 0.031099515784672627, ""minimum"": 0.7987871204779136, ""maximum"": 0.8609861520472588}",-2.3967630903230217e-15,1.0621505401637527e-14,0.0,3,3,1.1728947903869892e-06,1.6509134600467112e-06,original 250-foreground-index processing blocks; last block 87 pixels
PA 20:1_20:1,PE O-16:1_24:0,3,3,1.0,0,0.0,False,True,"{""n"": 3, ""median"": 0.8037212713836115, ""q25"": 0.8012541959307625, ""q75"": 0.8323537117154352, ""IQR"": 0.031099515784672627, ""minimum"": 0.7987871204779136, ""maximum"": 0.8609861520472588}",5.626916442860464e-16,1.994356101122358e-15,9.244961671271917e-18,3,3,1.4223429093546125e-07,1.621931902159434e-06,original 250-foreground-index processing blocks; last block 87 pixels
PA 20:1_20:1,PE O-16:1_24:1,3,3,1.0,0,0.0,False,True,"{""n"": 3, ""median"": 0.8037212713836115, ""q25"": 0.8012541959307625, ""q75"": 0.8323537117154352, ""IQR"": 0.031099515784672627, ""minimum"": 0.7987871204779136, ""maximum"": 0.8609861520472588}",1.253799641448937e-15,1.8744590783800243e-15,6.827048618785416e-18,3,3,1.5650708039120255e-07,1.8085891277354804e-06,original 250-foreground-index processing blocks; last block 87 pixels
PA 20:1_20:1,PE O-16:1_24:4,3,3,1.0,0,0.0,False,True,"{""n"": 3, ""median"": 0.8037212713836115, ""q25"": 0.8012541959307625, ""q75"": 0.8323537117154352, ""IQR"": 0.031099515784672627, ""minimum"": 0.7987871204779136, ""maximum"": 0.8609861520472588}",-1.19608096131831e-15,1.249703332151547e-14,-2.986833770718619e-18,3,3,7.546199661456407e-08,7.975306427681966e-07,original 250-foreground-index processing blocks; last block 87 pixels
PA 20:1_20:1,PE O-16:1_24:5,3,3,1.0,0,0.0,False,True,"{""n"": 3, ""median"": 0.8037212713836115, ""q25"": 0.8012541959307625, ""q75"": 0.8323537117154352, ""IQR"": 0.031099515784672627, ""minimum"": 0.7987871204779136, ""maximum"": 0.8609861520472588}",-2.3300461588701977e-15,3.563177449282364e-15,1.9483764863298058e-18,3,3,1.0869345789979272e-07,8.991738485505246e-07,original 250-foreground-index processing blocks; last block 87 pixels
PA 20:1_20:1,PE O-16:1_24:6,3,3,1.0,0,0.0,False,True,"{""n"": 3, ""median"": 0.8037212713836115, ""q25"": 0.8012541959307625, ""q75"": 0.8323537117154352, ""IQR"": 0.031099515784672627, ""minimum"": 0.7987871204779136, ""maximum"": 0.8609861520472588}",1.0503872128998632e-14,1.6336224112411607e-14,5.018621440373751e-18,3,3,3.348199891979077e-07,1.7094339710243926e-06,original 250-foreground-index processing blocks; last block 87 pixels
PA 20:1_20:1,PE O-18:0_20:4,3,2,0.6666666666666666,0,0.0,False,False,"{""n"": 3, ""median"": 0.8037212713836115, ""q25"": 0.8012541959307625, ""q75"": 0.8323537117154352, ""IQR"": 0.031099515784672627, ""minimum"": 0.7987871204779136, ""maximum"": 0.8609861520472588}",2.1102284091737204e-13,5.764652721654442e-13,5.520483584411127e-17,3,3,1.7484161477995808e-07,3.068462276489825e-07,original 250-foreground-index processing blocks; last block 87 pixels
PA 20:1_20:1,PE O-18:0_20:5,3,2,0.6666666666666666,0,0.0,False,False,"{""n"": 3, ""median"": 0.8037212713836115, ""q25"": 0.8012541959307625, ""q75"": 0.8323537117154352, ""IQR"": 0.031099515784672627, ""minimum"": 0.7987871204779136, ""maximum"": 0.8609861520472588}",5.6605465391546234e-15,0.0012130830358919997,-3.513035008261626e-17,3,3,1.5159828252453433e-07,1.1104531698353376e-06,original 250-foreground-index processing blocks; last block 87 pixels
PA 20:1_20:1,PE O-18:0_22:5,3,2,0.6666666666666666,0,0.0,False,False,"{""n"": 3, ""median"": 0.8037212713836115, ""q25"": 0.8012541959307625, ""q75"": 0.8323537117154352, ""IQR"": 0.031099515784672627, ""minimum"": 0.7987871204779136, ""maximum"": 0.8609861520472588}",-5.219713048218097e-14,1.2609675859074477e-13,-1.0037242880747504e-16,3,3,3.253332067493231e-07,8.153115936559725e-06,original 250-foreground-index processing blocks; last block 87 pixels
PA 20:1_20:1,PE O-18:1_20:1,3,3,1.0,1,0.3333333333333333,False,True,"{""n"": 3, ""median"": 0.8037212713836115, ""q25"": 0.8012541959307625, ""q75"": 0.8323537117154352, ""IQR"": 0.031099515784672627, ""minimum"": 0.7987871204779136, ""maximum"": 0.8609861520472588}",-6.174470185622845e-15,2.356430158495082e-13,2.1454606657597788e-16,3,3,3.911614719801296e-05,7.615621196122545e-05,original 250-foreground-index processing blocks; last block 87 pixels
PA 20:1_20:1,PE O-20:1_18:2,3,1,0.3333333333333333,0,0.0,False,False,"{""n"": 3, ""median"": 0.8037212713836115, ""q25"": 0.8012541959307625, ""q75"": 0.8323537117154352, ""IQR"": 0.031099515784672627, ""minimum"": 0.7987871204779136, ""maximum"": 0.8609861520472588}",0.01675780679226955,0.008947341660224511,-0.007357825303143879,3,3,0.0,1.1873950868090781e-05,original 250-foreground-index processing blocks; last block 87 pixels
PA 20:1_20:1,PE O-18:2_22:5,3,1,0.3333333333333333,0,0.0,False,False,"{""n"": 3, ""median"": 0.8037212713836115, ""q25"": 0.8012541959307625, ""q75"": 0.8323537117154352, ""IQR"": 0.031099515784672627, ""minimum"": 0.7987871204779136, ""maximum"": 0.8609861520472588}",-1.6451604367230238e-13,0.0010817899376751976,-0.002871798105728938,3,3,0.0,1.556308543980184e-07,original 250-foreground-index processing blocks; last block 87 pixels
PA 20:1_20:1,PE O-18:2_22:6,3,3,1.0,0,0.0,False,True,"{""n"": 3, ""median"": 0.8037212713836115, ""q25"": 0.8012541959307625, ""q75"": 0.8323537117154352, ""IQR"": 0.031099515784672627, ""minimum"": 0.7987871204779136, ""maximum"": 0.8609861520472588}",-3.926930665301586e-13,1.7107202186127703e-12,-7.371100240548949e-16,3,3,1.5543843778845212e-06,6.949205152678717e-06,original 250-foreground-index processing blocks; last block 87 pixels
PA 20:1_20:1,PE O-18:3_22:6,3,1,0.3333333333333333,0,0.0,False,False,"{""n"": 3, ""median"": 0.8037212713836115, ""q25"": 0.8012541959307625, ""q75"": 0.8323537117154352, ""IQR"": 0.031099515784672627, ""minimum"": 0.7987871204779136, ""maximum"": 0.8609861520472588}",-3.9449380785349895e-13,1.6888167675553674e-12,-7.858847511785273e-16,3,3,0.0,2.3122157780976205e-06,original 250-foreground-index processing blocks; last block 87 pixels
PA 20:1_20:1,PE O-20:1_20:4,3,1,0.3333333333333333,0,0.0,False,False,"{""n"": 3, ""median"": 0.8037212713836115, ""q25"": 0.8012541959307625, ""q75"": 0.8323537117154352, ""IQR"": 0.031099515784672627, ""minimum"": 0.7987871204779136, ""maximum"": 0.8609861520472588}",2.505743953918024e-13,5.364198115792222e-13,-1.0037242880747502e-17,3,3,0.0,9.626982281837893e-08,original 250-foreground-index processing blocks; last block 87 pixels
PA 20:1_20:1,PE O-20:2_20:4,3,1,0.3333333333333333,0,0.0,False,False,"{""n"": 3, ""median"": 0.8037212713836115, ""q25"": 0.8012541959307625, ""q75"": 0.8323537117154352, ""IQR"": 0.031099515784672627, ""minimum"": 0.7987871204779136, ""maximum"": 0.8609861520472588}",2.4167099443482587e-13,6.075279407912734e-13,8.029794304598002e-17,3,3,0.0,2.8104047437652047e-06,original 250-foreground-index processing blocks; last block 87 pixels
PA 20:1_20:1,PG 16:1_20:3,3,2,0.6666666666666666,0,0.0,False,False,"{""n"": 3, ""median"": 0.8037212713836115, ""q25"": 0.8012541959307625, ""q75"": 0.8323537117154352, ""IQR"": 0.031099515784672627, ""minimum"": 0.7987871204779136, ""maximum"": 0.8609861520472588}",-1.0397581444823653e-14,5.680215564071214e-14,4.43758160221052e-17,3,3,6.299455080835403e-09,8.475755531971163e-08,original 250-foreground-index processing blocks; last block 87 pixels
PA 20:1_20:1,PG 16:1_20:1,3,3,1.0,0,0.0,False,True,"{""n"": 3, ""median"": 0.8037212713836115, ""q25"": 0.8012541959307625, ""q75"": 0.8323537117154352, ""IQR"": 0.031099515784672627, ""minimum"": 0.7987871204779136, ""maximum"": 0.8609861520472588}",-4.198416855901944e-14,7.283721397873562e-14,1.493039878511191e-16,3,3,7.875499610301984e-07,4.392437620726747e-07,original 250-foreground-index processing blocks; last block 87 pixels
PA 20:1_20:1,PG 14:0_22:1,3,3,1.0,0,0.0,False,True,"{""n"": 3, ""median"": 0.8037212713836115, ""q25"": 0.8012541959307625, ""q75"": 0.8323537117154352, ""IQR"": 0.031099515784672627, ""minimum"": 0.7987871204779136, ""maximum"": 0.8609861520472588}",6.006534986307389e-14,5.0507249898206203e-14,2.52185727378781e-16,3,3,1.0635549398778366e-06,1.222197251861054e-06,original 250-foreground-index processing blocks; last block 87 pixels
PA 20:1_20:1,PG 16:0_22:6,3,3,1.0,0,0.0,False,True,"{""n"": 3, ""median"": 0.8037212713836115, ""q25"": 0.8012541959307625, ""q75"": 0.8323537117154352, ""IQR"": 0.031099515784672627, ""minimum"": 0.7987871204779136, ""maximum"": 0.8609861520472588}",-3.100592429021502e-13,1.3622299382042547e-12,-5.44520426280552e-16,3,3,1.023759283284853e-06,2.7864931595542736e-06,original 250-foreground-index processing blocks; last block 87 pixels
PA 20:1_20:1,PG 18:1_20:4,3,3,1.0,0,0.0,False,True,"{""n"": 3, ""median"": 0.8037212713836115, ""q25"": 0.8012541959307625, ""q75"": 0.8323537117154352, ""IQR"": 0.031099515784672627, ""minimum"": 0.7987871204779136, ""maximum"": 0.8609861520472588}",2.0517766292240377e-13,4.0479062449087204e-13,-8.531656448635377e-17,3,3,1.0341235284023684e-07,3.5905756053686375e-07,original 250-foreground-index processing blocks; last block 87 pixels
