case_id,synthetic_group,ce29_group,metric,ce29_n,ce29_median,ce29_q25,ce29_q75,ce29_IQR,ce29_minimum,ce29_maximum,v58_n,v58_median,v58_q25,v58_q75,v58_IQR,v58_minimum,v58_maximum,cliffs_delta,wasserstein_distance,ks_statistic,independent_sample_claim,comparison_unit
V58_MILD_CAL_R1_K125,TP,ISTA_REJECTED,nearest_neighbor_cosine_full,38,0.8328793818051885,0.6646968272411448,0.93380710955483,0.2691102823136853,0.34951448932644835,0.9917278075392152,122,0.7907086274930879,0.6781569206869437,0.9206135912565078,0.2424566705695641,0.42497147438451643,0.9852489893575547,-0.036669542709232096,0.023800857036138094,0.11475409836065574,False,one molecular identity within one specimen/case
V58_MILD_CAL_R1_K125,TP,ISTA_REJECTED,redistribution_total,38,0.0,0.0,0.0034605449319764273,0.0034605449319764273,0.0,0.1123167754766483,122,0.0776671392924084,0.0,0.1669063835196049,0.1669063835196049,0.0,0.4153997902418326,0.5806729939603106,0.10060694651744409,0.5931837791199309,False,one molecular identity within one specimen/case
V58_MILD_CAL_R1_K125,TP,ISTA_REJECTED,residual_absorption,14,1.3909924646820471e-16,-4.2014942596895454e-17,9.498347498662784e-16,9.918496924631738e-16,-1.577211244812648e-16,1.2528823758163445e-15,88,-9.12604131768237e-16,-3.410592892249863e-15,8.179005460560037e-16,4.228493438305867e-15,-0.0027990219158737367,5.396966446673718e-15,-0.3782467532467532,3.180706722814117e-05,0.6136363636363636,False,one molecular identity within one specimen/case
V58_MILD_CAL_R1_K125,TP,ISTA_REJECTED,delta_residual_absorption,14,4.4200432252559106e-15,-2.260492704489451e-15,0.2120732441935933,0.21207324419359555,-1.3005721628900825e-14,0.8482646459708759,88,1.8690782067228082e-14,-3.30559707227771e-14,7.310568726740146e-05,7.310568730045743e-05,-0.0020793547270021823,0.09324474826221422,-0.2483766233766234,0.16027987189579804,0.36038961038961037,False,one molecular identity within one specimen/case
V58_MILD_CAL_R1_K125,TP,ISTA_REJECTED,shared_fragment_fraction,38,0.17513668315542827,0.07402597402597402,0.31836407377706494,0.24433809975109091,0.03048780487804878,0.6746987951807228,122,0.25952591936198494,0.14988538176688415,0.44557149925779316,0.295686117490909,0.0,0.7901234567901234,0.24482312338222606,0.07124597387314724,0.23166522864538394,False,one molecular identity within one specimen/case
V58_MILD_CAL_R1_K125,TP,ISTA_REJECTED,top_replacement_fraction,38,0.0,0.0,0.21892060868627805,0.21892060868627805,0.0,0.5704724758339879,122,0.0855072586645309,0.0,0.12468619091100697,0.12468619091100697,0.0,0.3616012084100406,0.11216566005176877,0.08505303246700216,0.3528904227782571,False,one molecular identity within one specimen/case
V58_MILD_CAL_R1_K125,TP,ISTA_REJECTED,removed_vs_positive_replacement_signal_cosine,38,0.0,0.0,0.34702735509344657,0.34702735509344657,0.0,0.9362709449938106,122,0.4078804088860196,0.0,0.5618063098025685,0.5618063098025685,0.0,0.8921207546675207,0.3127696289905091,0.199468863391493,0.43183779119930976,False,one molecular identity within one specimen/case
V58_MILD_CAL_R1_K125,TP,NNLS_REJECTED,nearest_neighbor_cosine_full,29,0.895503872100401,0.7237928267837014,0.9580837477791849,0.23429092099548354,0.34951448932644835,0.9838117802561887,122,0.7907086274930879,0.6781569206869437,0.9206135912565078,0.2424566705695641,0.42497147438451643,0.9852489893575547,-0.16365178066704353,0.053977308295380694,0.25183719615602035,False,one molecular identity within one specimen/case
V58_MILD_CAL_R1_K125,TP,NNLS_REJECTED,redistribution_total,29,0.0004005348098631979,0.0,0.0031691761481344102,0.0031691761481344102,0.0,0.0512064690436053,122,0.0776671392924084,0.0,0.1669063835196049,0.1669063835196049,0.0,0.4153997902418326,0.5681175805539853,0.10582145752251053,0.678631995477671,False,one molecular identity within one specimen/case
V58_MILD_CAL_R1_K125,TP,NNLS_REJECTED,residual_absorption,15,0.0,-8.422769843945989e-17,8.424802216041974e-17,1.6847572059987962e-16,-3.1741267719521296e-16,1.1718941921787847e-15,88,-9.12604131768237e-16,-3.410592892249863e-15,8.179005460560037e-16,4.228493438305867e-15,-0.0027990219158737367,5.396966446673718e-15,-0.29848484848484846,3.180706722817289e-05,0.5681818181818182,False,one molecular identity within one specimen/case
V58_MILD_CAL_R1_K125,TP,NNLS_REJECTED,delta_residual_absorption,15,1.0387185061566475e-15,-4.386274017792192e-15,0.017277462449781646,0.01727746244978603,-5.744378920194717e-14,0.9055991293075842,88,1.8690782067228082e-14,-3.30559707227771e-14,7.310568726740146e-05,7.310568730045743e-05,-0.0020793547270021823,0.09324474826221422,-0.09090909090909091,0.1659823587162184,0.23257575757575757,False,one molecular identity within one specimen/case
V58_MILD_CAL_R1_K125,TP,NNLS_REJECTED,shared_fragment_fraction,29,0.26229508196721313,0.1346153846153846,0.4142857142857143,0.2796703296703297,0.0,0.6,122,0.25952591936198494,0.14988538176688415,0.44557149925779316,0.295686117490909,0.0,0.7901234567901234,0.07518371961560204,0.036228158133317354,0.13143018654607122,False,one molecular identity within one specimen/case
V58_MILD_CAL_R1_K125,TP,NNLS_REJECTED,top_replacement_fraction,29,0.17015959587979046,0.0,0.33297291622713227,0.33297291622713227,0.0,0.5321397607487308,122,0.0855072586645309,0.0,0.12468619091100697,0.12468619091100697,0.0,0.3616012084100406,-0.14867156585641605,0.11205518037429543,0.4270774448841153,False,one molecular identity within one specimen/case
V58_MILD_CAL_R1_K125,TP,NNLS_REJECTED,removed_vs_positive_replacement_signal_cosine,29,0.09819093127802969,0.0,0.623737888638273,0.623737888638273,0.0,0.8875941622434244,122,0.4078804088860196,0.0,0.5618063098025685,0.5618063098025685,0.0,0.8921207546675207,0.16619559072922555,0.1466981965715406,0.34200113058224985,False,one molecular identity within one specimen/case
V58_MILD_CAL_R1_K125,TP,ISTA_RETAINED,nearest_neighbor_cosine_full,38,0.8353163188718651,0.7276897369050488,0.91866151623179,0.19097177932674125,0.35029453455577125,0.9917278075392152,122,0.7907086274930879,0.6781569206869437,0.9206135912565078,0.2424566705695641,0.42497147438451643,0.9852489893575547,-0.04378774805867127,0.03914670821819355,0.13028472821397757,False,one molecular identity within one specimen/case
V58_MILD_CAL_R1_K125,TP,ISTA_RETAINED,redistribution_total,38,0.020780202273169256,0.0019717371814912694,0.047392705389707995,0.04542096820821673,0.0,0.7491218819156467,122,0.0776671392924084,0.0,0.1669063835196049,0.1669063835196049,0.0,0.4153997902418326,0.2730802415875755,0.06849119581460739,0.38783433994823124,False,one molecular identity within one specimen/case
V58_MILD_CAL_R1_K125,TP,ISTA_RETAINED,residual_absorption,30,6.8211458235541476e-18,-1.869566343412321e-16,6.277610273759523e-16,8.147176617171844e-16,-6.158397598663993e-16,1.5772631421314737e-15,88,-9.12604131768237e-16,-3.410592892249863e-15,8.179005460560037e-16,4.228493438305867e-15,-0.0027990219158737367,5.396966446673718e-15,-0.32727272727272727,3.1807067227976586e-05,0.5340909090909091,False,one molecular identity within one specimen/case
