source_identity,replacement_identity,replacement_gain,replacement_fraction,delta_residual_absorption,edge_presence_fraction,top_replacement_consistency,stable_edge,presence_persistent_edge
PS 14:0_22:0,PE 18:1_20:3,1.0326093308315673e-05,0.0010760572332862578,-5.027540054490189e-16,0.796875,0.0,False,False
PS 14:0_22:0,PE 18:1_20:4,0.0003755943671348502,0.03913978147103864,1.0016322345651217e-14,0.890625,0.0,False,False
PS 14:0_22:0,PE 18:1_20:5,0.0,0.0,0.011548783543515094,0.109375,0.0,False,False
PS 14:0_22:0,PE 18:1_22:6,0.00020296944603286418,0.021150955547136478,3.475279445181412e-15,0.796875,0.0,False,False
PS 14:0_22:0,PE 18:2_22:6,0.0,0.0,2.448503416355895e-15,0.09375,0.0,False,False
PS 14:0_22:0,PE 20:0_20:4,0.0,0.0,1.0284945334259612e-14,0.140625,0.0,False,False
PS 14:0_22:0,PE 20:2_20:4,0.0003093427441020341,0.03223585991495455,1.1659505255096955e-14,1.0,0.0,False,True
PS 14:0_22:0,PE 20:3_20:4,0.0,0.0,-0.0001339189363502102,0.140625,0.0,False,False
PS 14:0_22:0,PE O-16:0_22:3,0.0,0.0,-1.758968680397634e-15,0.140625,0.0,False,False
PS 14:0_22:0,PE O-16:1_22:0,0.0,0.0,0.14092799870941564,0.078125,0.0,False,False
PS 14:0_22:0,PE O-16:1_22:1,0.00014881632268693877,0.015507789410481558,2.8861126906746104e-16,0.828125,0.0,False,False
PS 14:0_22:0,PE O-16:1_24:0,0.0,0.0,1.6026426546427133e-16,0.5,0.0,False,False
PS 14:0_22:0,PE O-16:1_24:1,0.0,0.0,4.387671320282347e-18,0.109375,0.0,False,False
PS 14:0_22:0,PE O-16:1_24:4,0.0,0.0,-5.706638836092916e-16,0.359375,0.0,False,False
PS 14:0_22:0,PE O-16:1_24:5,0.0,0.0,-2.2060236360308465e-17,0.09375,0.0,False,False
PS 14:0_22:0,PE O-16:1_24:6,0.0,0.0,2.882456297907708e-16,0.15625,0.0,False,False
PS 14:0_22:0,PE O-18:0_20:3,0.0,0.0,0.00047832968056617784,0.09375,0.0,False,False
PS 14:0_22:0,PE O-18:0_20:4,4.184119665487547e-05,0.004360170004814286,1.0401706143282683e-14,0.9375,0.0,False,False
PS 14:0_22:0,PE O-18:1_20:4,0.0001428272328523883,0.014883680829932577,1.1900827177712484e-14,0.828125,0.0,False,False
PS 14:0_22:0,PE O-18:1_22:4,0.0,0.0,-0.00020427847990942086,0.125,0.0,False,False
PS 14:0_22:0,PE O-18:1_22:5,0.0,0.0,0.00011809453427923176,0.03125,0.0,False,False
PS 14:0_22:0,PE O-18:1_22:6,0.0,0.0,3.732933255489103e-15,0.34375,0.0,False,False
PS 14:0_22:0,PE O-20:1_18:2,0.0,0.0,0.003988785487537729,0.015625,0.0,False,False
PS 14:0_22:0,PE O-18:2_22:5,0.0001409836991834632,0.014691570640723258,-6.154927824284959e-17,0.75,0.0,False,False
PS 14:0_22:0,PE O-18:2_22:6,0.0,0.0,3.2969693579154936e-15,0.328125,0.0,False,False
PS 14:0_22:0,PE O-18:3_22:0,0.0007287225361431687,0.07593841471915463,-2.9641157363685184e-16,0.96875,0.0,False,False
PS 14:0_22:0,PE O-18:3_22:6,0.0,0.0,3.1564367588866718e-15,0.046875,0.0,False,False
PS 14:0_22:0,PE O-20:0_20:4,0.0,0.0,9.838256017903092e-15,0.046875,0.0,False,False
PS 14:0_22:0,PE O-20:1_20:4,6.908305101954032e-06,0.0007198977825156353,1.0593544883786139e-14,0.25,0.0,False,False
PS 14:0_22:0,PE O-20:3_20:4,0.000291305047891436,0.030356195176344882,1.0432663602042452e-14,0.9375,0.0,False,False
PS 14:0_22:0,PG 14:0_20:0,6.995912815172651e-05,0.007290271706284317,1.0998429442841081e-15,0.96875,0.0,False,False
PS 14:0_22:0,PG 14:0_22:4,0.0,0.0,0.007464422520255441,0.140625,0.09375,False,False
PS 14:0_22:0,PG 16:0_20:4,0.0,0.0,0.0009430919657723615,0.015625,0.0,False,False
PS 14:0_22:0,PG 16:1_20:3,2.7830594826749877e-06,0.0002900159041354637,1.5511636914787062e-15,0.484375,0.0,False,False
PS 14:0_22:0,PG 14:0_22:3,5.552416920564206e-05,0.005786039512913021,-1.0725418782912403e-16,0.96875,0.0,False,False
PS 14:0_22:0,PG 16:1_20:2,0.0,0.0,-0.005773514176467426,0.03125,0.0,False,False
PS 14:0_22:0,PG 14:0_22:2,0.0,0.0,0.005817432969373415,0.203125,0.078125,False,False
PS 14:0_22:0,PG 14:0_22:1,8.194645499465941e-06,0.0008539442072265494,-2.0792686867782453e-15,1.0,0.0,False,True
PS 14:0_22:0,PG 14:0_22:0,0.0002447091178873293,0.025500545897808813,-8.502331980636014e-16,1.0,0.0,False,True
PS 14:0_22:0,PG 16:1_22:6,0.0,0.0,2.330005820768547e-15,0.734375,0.0,False,False
PS 14:0_22:0,PG 16:0_22:6,2.2667859244776545e-05,0.002362162840792228,5.1424726671298065e-15,0.65625,0.0,False,False
PS 14:0_22:0,PG 16:1_22:4,0.0,0.0,-1.5077135574320212e-15,0.171875,0.0,False,False
PS 14:0_22:0,PG 18:1_20:4,0.0,0.0,0.004159602749904126,0.40625,0.0,False,False
PS 14:0_22:0,PG 14:0_24:4,0.0,0.0,0.018297790470683264,0.0625,0.03125,False,False
PS 14:0_22:0,PG 16:1_22:3,0.00027419877385677274,0.02857359169214503,-3.0003749646402965e-16,0.421875,0.0,False,False
PS 14:0_22:0,PG 17:0_20:1,0.0021112527822142006,0.22000855113015563,1.4898581727536502e-15,1.0,0.796875,False,True
PS 14:0_22:0,PC 14:0_18:0,0.0001164509359983662,0.012135070666375416,0.0356651572066687,1.0,0.0,False,True
PS 14:0_22:0,PC O-16:1_16:1,0.0,0.0,8.668106581871137e-05,0.6875,0.0,False,False
PS 14:0_22:0,PC 14:0_20:1,0.0012373751125435584,0.12894387067649662,3.6021562741929096e-16,0.96875,0.0,False,False
PS 14:0_22:0,PC 14:1_17:1,5.391046449942406e-05,0.0056178792445842835,9.087354823340326e-16,0.65625,0.0,False,False
PS 14:0_22:0,PC 16:0_18:1,0.0,0.0,2.937843030841341e-15,0.09375,0.0,False,False
PS 14:0_22:1,PA 18:1_22:1,0.0,0.0,0.0362575174793928,0.046875,0.0,False,False
PS 14:0_22:1,PA 22:6_22:6,0.0,0.0,0.02315381282049957,0.015625,0.0,False,False
PS 14:0_22:1,PS 14:0_20:1,0.003641601108993545,0.08006598229344504,0.13431789103046937,0.984375,0.0,False,False
PS 14:0_22:1,PS 14:0_22:2,0.0059027685646863524,0.12978109057998952,9.2641074327615e-16,0.984375,0.0,False,False
PS 14:0_22:1,PS 16:0_20:1,0.008288655589133744,0.18223834290830973,2.5807156419835606e-15,1.0,0.71875,False,True
PS 14:0_22:1,PS 20:0_16:1,0.0028168371652917785,0.061932328074807065,1.5715896537720402e-15,1.0,0.0,False,True
PS 14:0_22:1,PS 18:0_18:1,0.0007990848167381479,0.017569060661232,1.0256690371985947e-15,0.953125,0.0,False,False
PS 14:0_22:1,PS 18:0_18:2,0.0,0.0,1.1089012524148112e-15,0.046875,0.0,False,False
PS 14:0_22:1,PS 18:1_18:1,0.0018376053673294507,0.040402469792635426,-3.2775915805640576e-16,1.0,0.0,False,True
PS 14:0_22:1,PE 16:0_22:4,0.0005455947674440631,0.011995707295257762,-2.752866745505301e-15,0.328125,0.0,False,False
PS 14:0_22:1,PE 16:0_22:6,0.0,0.0,1.4868065277132853e-15,0.03125,0.0,False,False
PS 14:0_22:1,PE 18:0_22:6,0.0010646754145916537,0.023408462470652414,2.0926956968648745e-15,0.9375,0.0,False,False
PS 14:0_22:1,PE 18:1_20:3,0.0,0.0,2.449663675789083e-15,0.6875,0.0,False,False
PS 14:0_22:1,PE 18:1_20:4,0.0,0.0,1.1028010031008276e-14,0.359375,0.0,False,False
PS 14:0_22:1,PE 18:1_20:5,0.0,0.0,0.01207650587849342,0.125,0.0,False,False
PS 14:0_22:1,PE 18:1_22:6,0.0007235783020845404,0.015908938345702964,1.5798611782655773e-15,0.625,0.0,False,False
PS 14:0_22:1,PE 18:2_22:6,0.00026397840260417027,0.005803955314204862,3.9490067328128867e-16,0.921875,0.0,False,False
PS 14:0_22:1,PE 20:1_20:5,0.0,0.0,1.108384282133965e-15,0.328125,0.0,False,False
PS 14:0_22:1,PE 20:2_20:4,0.002343048118715982,0.0515153756743147,1.1594609458815564e-14,1.0,0.0,False,True
PS 14:0_22:1,PE 20:3_20:4,0.0,0.0,0.004332856217130443,0.21875,0.0,False,False
PS 14:0_22:1,PE O-16:0_22:3,0.0,0.0,-1.3852864888121393e-15,0.078125,0.0,False,False
PS 14:0_22:1,PE O-16:0_22:4,0.0,0.0,0.005740817068608418,0.078125,0.0,False,False
PS 14:0_22:1,PE O-16:1_22:1,0.0017434900004396853,0.03833320435872313,-7.237583931844922e-18,0.9375,0.0,False,False
PS 14:0_22:1,PE O-16:1_24:0,0.0,0.0,-1.3467075816040015e-16,0.109375,0.0,False,False
PS 14:0_22:1,PE O-16:1_24:1,0.0,0.0,-7.139692781985495e-17,0.125,0.0,False,False
PS 14:0_22:1,PE O-16:1_24:4,0.0,0.0,-5.545314028137878e-17,0.046875,0.0,False,False
PS 14:0_22:1,PE O-16:1_24:5,0.0,0.0,-2.116347087213582e-16,0.03125,0.0,False,False
PS 14:0_22:1,PE O-16:1_24:6,0.0,0.0,-8.023378758730942e-16,0.015625,0.0,False,False
PS 14:0_22:1,PE O-18:0_20:3,0.0,0.0,0.0023803102145928284,0.109375,0.0,False,False
PS 14:0_22:1,PE O-18:0_20:4,0.00011020076690657597,0.0024229267258501423,9.903082699887237e-15,0.765625,0.0,False,False
PS 14:0_22:1,PE O-18:0_22:5,0.0,0.0,-1.1786922403290302e-16,0.109375,0.0,False,False
PS 14:0_22:1,PE O-18:1_20:4,0.0004837814348347125,0.010636649824087635,1.088429229293307e-14,0.890625,0.0,False,False
PS 14:0_22:1,PE O-18:1_22:4,0.0,0.0,0.005420680749753071,0.25,0.0,False,False
PS 14:0_22:1,PE O-18:1_22:5,0.0,0.0,0.0002886960921661855,0.015625,0.0,False,False
PS 14:0_22:1,PE O-18:1_22:6,0.0,0.0,4.885369153995322e-16,0.34375,0.0,False,False
