method,lipid_name,lipid_class,raw_solver_reported,X_hat,rho_zero,rho_status,predictive_gain,positive_block_fraction,joint_score,retained_by_pool,retained_by_fdp5,retained_by_fdp1
NNLS,PA 20:3_22:4,PA,False,0,,UNREPORTED,0.0,0.0,,False,False,False
NNLS,PA 20:3_22:6,PA,False,0,,UNREPORTED,0.0,0.0,,False,False,False
NNLS,PA 22:0_20:4,PA,False,0,,UNREPORTED,0.0,0.0,,False,False,False
NNLS,PA 22:1_20:4,PA,False,0,,UNREPORTED,0.0,0.0,,False,False,False
NNLS,PA 22:2_20:4,PA,False,0,,UNREPORTED,-0.00012758716561935202,0.0,,False,False,False
NNLS,PA 22:3_20:4,PA,False,0,,UNREPORTED,-5.3531317194888986e-05,0.0,,False,False,False
NNLS,PA 20:4_22:4,PA,False,0,,UNREPORTED,0.0,0.0,,False,False,False
NNLS,PA 20:4_22:5,PA,False,0,,UNREPORTED,0.0,0.0,,False,False,False
NNLS,PA 20:4_22:6,PA,False,0,,UNREPORTED,0.0,0.0,,False,False,False
NNLS,PA 22:1_20:5,PA,False,0,,UNREPORTED,0.0,0.0,,False,False,False
NNLS,PA 22:3_22:6,PA,False,0,,UNREPORTED,0.0,0.0,,False,False,False
NNLS,PA 22:4_22:5,PA,False,0,,UNREPORTED,0.0,0.0,,False,False,False
NNLS,PA 22:4_22:6,PA,False,0,,UNREPORTED,0.0,0.0,,False,False,False
NNLS,PA 22:5_22:5,PA,False,0,,UNREPORTED,0.0,0.0,,False,False,False
NNLS,PA 22:5_22:6,PA,False,0,,UNREPORTED,0.0,0.0,,False,False,False
NNLS,PA 22:6_22:6,PA,False,0,,UNREPORTED,-0.00023328087357694016,0.0,,False,False,False
NNLS,PS 14:0_20:0,PS,False,0,,UNREPORTED,0.0,0.0,,False,False,False
NNLS,PS 14:0_20:1,PS,False,0,,UNREPORTED,-0.00020431698630628948,0.0,,False,False,False
NNLS,PS 14:0_22:0,PS,True,0.007879783791721114,0.0001458934024469743,CACHED_FULL_FOREGROUND,-0.0063185688207954,0.125,0.8701504564609251,True,True,False
