rho_zero_threshold,n_retained,molecular_TP,molecular_FP,precision,FDR,recall,coverage_fraction
0.001576425977926672,1,1,0,1.0,0.0,0.013157894736842105,0.009708737864077669
0.0012872291153754071,2,2,0,1.0,0.0,0.02631578947368421,0.019417475728155338
0.0009810649248321718,3,3,0,1.0,0.0,0.039473684210526314,0.02912621359223301
0.0008014325434466117,4,4,0,1.0,0.0,0.05263157894736842,0.038834951456310676
0.0004709100386399922,5,5,0,1.0,0.0,0.06578947368421052,0.04854368932038835
0.00044960906433345166,6,6,0,1.0,0.0,0.07894736842105263,0.05825242718446602
0.000279657405110019,7,7,0,1.0,0.0,0.09210526315789473,0.06796116504854369
0.0002539897969916991,8,8,0,1.0,0.0,0.10526315789473684,0.07766990291262135
7.528771920981192e-05,9,9,0,1.0,0.0,0.11842105263157894,0.08737864077669903
6.792593142036831e-05,10,10,0,1.0,0.0,0.13157894736842105,0.0970873786407767
4.9783544684845175e-05,11,11,0,1.0,0.0,0.14473684210526316,0.10679611650485436
4.654071620643304e-05,12,12,0,1.0,0.0,0.15789473684210525,0.11650485436893204
1.9012330427674107e-05,13,13,0,1.0,0.0,0.17105263157894737,0.1262135922330097
1.83279207917656e-05,14,14,0,1.0,0.0,0.18421052631578946,0.13592233009708737
1.2827974970645724e-05,15,15,0,1.0,0.0,0.19736842105263158,0.14563106796116504
1.0465327662043383e-05,16,16,0,1.0,0.0,0.21052631578947367,0.1553398058252427
9.846705012533547e-06,17,17,0,1.0,0.0,0.2236842105263158,0.1650485436893204
7.42099298214198e-06,18,18,0,1.0,0.0,0.23684210526315788,0.17475728155339806
4.313074773808447e-06,19,19,0,1.0,0.0,0.25,0.18446601941747573
3.57194563963282e-06,20,20,0,1.0,0.0,0.2631578947368421,0.1941747572815534
3.4510811610656442e-06,21,21,0,1.0,0.0,0.27631578947368424,0.20388349514563106
3.0699802267837294e-06,22,22,0,1.0,0.0,0.2894736842105263,0.21359223300970873
2.4478406782836125e-06,23,23,0,1.0,0.0,0.3026315789473684,0.22330097087378642
2.1241503877629684e-06,24,24,0,1.0,0.0,0.3157894736842105,0.23300970873786409
1.9768748571868384e-06,25,25,0,1.0,0.0,0.32894736842105265,0.24271844660194175
1.8655623184127978e-06,26,26,0,1.0,0.0,0.34210526315789475,0.2524271844660194
1.1836662624545319e-06,27,27,0,1.0,0.0,0.35526315789473684,0.2621359223300971
7.73688751517562e-07,28,28,0,1.0,0.0,0.3684210526315789,0.27184466019417475
6.39826561949482e-07,29,29,0,1.0,0.0,0.3815789473684211,0.2815533980582524
5.488260388781787e-07,30,30,0,1.0,0.0,0.39473684210526316,0.2912621359223301
5.323746993821853e-07,31,31,0,1.0,0.0,0.40789473684210525,0.30097087378640774
4.943756432345841e-07,32,32,0,1.0,0.0,0.42105263157894735,0.3106796116504854
4.531539447292232e-07,33,33,0,1.0,0.0,0.4342105263157895,0.32038834951456313
3.736768480715151e-07,34,34,0,1.0,0.0,0.4473684210526316,0.3300970873786408
3.649972173051049e-07,35,35,0,1.0,0.0,0.4605263157894737,0.33980582524271846
2.849674656622e-07,36,36,0,1.0,0.0,0.47368421052631576,0.34951456310679613
2.734471608041817e-07,37,37,0,1.0,0.0,0.4868421052631579,0.3592233009708738
2.284637805637498e-07,38,38,0,1.0,0.0,0.5,0.36893203883495146
1.8506075451474248e-07,39,39,0,1.0,0.0,0.5131578947368421,0.3786407766990291
1.8109810516930165e-07,40,40,0,1.0,0.0,0.5263157894736842,0.3883495145631068
1.800382933024198e-07,41,41,0,1.0,0.0,0.5394736842105263,0.39805825242718446
1.786735641666348e-07,42,42,0,1.0,0.0,0.5526315789473685,0.4077669902912621
1.4706919031466473e-07,43,43,0,1.0,0.0,0.5657894736842105,0.4174757281553398
1.3230523353703018e-07,44,44,0,1.0,0.0,0.5789473684210527,0.42718446601941745
1.1071322963973995e-07,45,45,0,1.0,0.0,0.5921052631578947,0.4368932038834951
6.327232631458661e-08,46,46,0,1.0,0.0,0.6052631578947368,0.44660194174757284
5.898900793444232e-08,47,47,0,1.0,0.0,0.618421052631579,0.4563106796116505
3.566335132387388e-08,48,48,0,1.0,0.0,0.631578947368421,0.46601941747572817
1.766655328772009e-08,49,49,0,1.0,0.0,0.6447368421052632,0.47572815533980584
5.716003765127679e-09,50,50,0,1.0,0.0,0.6578947368421053,0.4854368932038835
4.167353732004888e-09,51,51,0,1.0,0.0,0.6710526315789473,0.49514563106796117
6.030171939676753e-15,52,51,1,0.9807692307692307,0.019230769230769232,0.6710526315789473,0.5048543689320388
2.466030261065346e-15,53,51,2,0.9622641509433962,0.03773584905660377,0.6710526315789473,0.5145631067961165
1.9367511277068712e-15,54,51,2,0.9622641509433962,0.03773584905660377,0.6710526315789473,0.5242718446601942
1.3766475375929916e-15,55,51,3,0.9444444444444444,0.05555555555555555,0.6710526315789473,0.5339805825242718
1.226303417240409e-15,56,51,4,0.9272727272727272,0.07272727272727272,0.6710526315789473,0.5436893203883495
