target,lipid_name,truth_contexts,raw_solver_miss_contexts,filter_loss_contexts,retained_contexts
FDR1,PG 18:0_18:0,10,0,0,10
FDR1,PG 18:0_18:1,30,0,0,30
FDR1,PG 18:0_20:5,25,2,0,23
FDR1,PG 18:1_18:1,20,0,0,20
FDR1,PG 18:1_18:2,5,0,0,5
FDR1,PG 18:1_20:5,10,0,0,10
FDR1,PG 18:2_20:2,30,0,0,30
FDR1,PG 18:2_20:5,10,0,0,10
FDR1,PG 20:0_16:1,5,0,0,5
FDR1,PG 20:1_18:3,30,0,0,30
FDR1,PS 14:0_20:0,25,0,0,25
FDR1,PS 14:0_22:0,5,0,0,5
FDR1,PS 14:0_22:2,20,0,0,20
FDR1,PS 14:0_22:4,10,0,0,10
FDR1,PS 16:0_20:3,30,1,0,29
FDR1,PS 16:0_20:5,20,0,0,20
FDR1,PS 16:1_20:1,15,0,0,15
FDR1,PS 16:1_20:3,5,0,0,5
FDR1,PS 16:1_20:4,30,0,0,30
FDR1,PS 17:0_18:1,30,0,0,30
FDR1,PS 18:0_16:1,15,0,0,15
FDR1,PS 18:0_17:1,10,0,0,10
FDR1,PS 18:0_18:0,20,0,0,20
FDR1,PS 18:0_18:3,30,0,0,30
FDR1,PS 18:1_18:3,30,0,0,30
FDR1,PS 20:0_16:1,25,0,0,25
