row_type,case_id,K,residual_ratio,selection_mode,replicate,false_allocation_mass,true_mass_fraction,consistency_abs_error,topK_identity_recall,top10_false_mass_coverage,reconstruction_relative_residual,group_value,n_cases,false_allocation_median,false_allocation_p25,false_allocation_p75,topK_recall_median,topK_recall_p25,topK_recall_p75,true_mass_consistency_max
case,0.0,13.0,0.0,random,0.0,0.6346183997542018,0.36538160024579813,1.1102230246251565e-16,0.46153846153846156,0.42586207294371153,0.2723526954650879,,,,,,,,,
case,1.0,13.0,0.0,random,1.0,0.4152959321784606,0.5847040678215393,1.1102230246251565e-16,0.6923076923076923,0.6587564494734983,0.2562913000583648,,,,,,,,,
case,2.0,13.0,0.0,random,2.0,0.4689529531154937,0.5310470468845063,0.0,0.5384615384615384,0.4927022143611266,0.2155509293079376,,,,,,,,,
case,3.0,13.0,0.0,hard_competition,0.0,0.28699217009052597,0.7130078299094739,1.1102230246251565e-16,0.6923076923076923,0.749318506866957,0.256714403629303,,,,,,,,,
case,4.0,13.0,0.0,hard_competition,1.0,0.4133803290787208,0.5866196709212792,0.0,0.46153846153846156,0.71383528307159,0.2101999223232269,,,,,,,,,
case,5.0,13.0,0.0,hard_competition,2.0,0.5816488492604479,0.4183511507395519,1.6653345369377348e-16,0.5384615384615384,0.5925277354490872,0.2002696394920349,,,,,,,,,
case,6.0,13.0,0.1,random,0.0,0.5473787650778469,0.4526212349221531,0.0,0.6153846153846154,0.4972710093614645,0.3298092186450958,,,,,,,,,
case,7.0,13.0,0.1,random,1.0,0.5207034808885111,0.47929651911148885,0.0,0.6153846153846154,0.3912957612732703,0.2619763314723968,,,,,,,,,
case,8.0,13.0,0.1,random,2.0,0.5955014566248714,0.4044985433751286,0.0,0.5384615384615384,0.41866356055602005,0.3243725001811981,,,,,,,,,
case,9.0,13.0,0.1,hard_competition,0.0,0.3888128541171817,0.6111871458828184,1.1102230246251565e-16,0.6923076923076923,0.654655665928274,0.278509646654129,,,,,,,,,
case,10.0,13.0,0.1,hard_competition,1.0,0.3265309142330455,0.6734690857669546,1.1102230246251565e-16,0.5384615384615384,0.6985150208367604,0.2358550727367401,,,,,,,,,
case,11.0,13.0,0.1,hard_competition,2.0,0.4265287084850608,0.573471291514939,1.1102230246251565e-16,0.46153846153846156,0.7163414805415952,0.4342685639858246,,,,,,,,,
case,12.0,25.0,0.0,random,0.0,0.5619715283627276,0.43802847163727254,1.1102230246251565e-16,0.4,0.4464727593358174,0.18177430331707,,,,,,,,,
case,13.0,25.0,0.0,random,1.0,0.6582544601519094,0.3417455398480905,1.6653345369377348e-16,0.28,0.4303829621430978,0.2372517883777618,,,,,,,,,
case,14.0,25.0,0.0,random,2.0,0.7009322448231109,0.29906775517688905,5.551115123125783e-17,0.28,0.39827402653033256,0.2367799878120422,,,,,,,,,
case,15.0,25.0,0.0,hard_competition,0.0,0.35689919111768215,0.6431008088823179,1.1102230246251565e-16,0.72,0.6661963538308656,0.2588121294975281,,,,,,,,,
case,16.0,25.0,0.0,hard_competition,1.0,0.3474634721528787,0.6525365278471212,1.1102230246251565e-16,0.68,0.7254928253142549,0.2387382984161377,,,,,,,,,
case,17.0,25.0,0.0,hard_competition,2.0,0.4268497447267924,0.5731502552732074,2.220446049250313e-16,0.6,0.7572717235718095,0.3062383532524109,,,,,,,,,
case,18.0,25.0,0.1,random,0.0,0.6197129799335849,0.3802870200664152,5.551115123125783e-17,0.36,0.47316722408882295,0.2292055189609527,,,,,,,,,
case,19.0,25.0,0.1,random,1.0,0.6812710498819393,0.3187289501180607,0.0,0.32,0.4351063978773218,0.241606593132019,,,,,,,,,
case,20.0,25.0,0.1,random,2.0,0.5427704123133213,0.45722958768667854,1.1102230246251565e-16,0.4,0.40439187456730896,0.2405253648757934,,,,,,,,,
case,21.0,25.0,0.1,hard_competition,0.0,0.33991490941763164,0.6600850905823682,1.1102230246251565e-16,0.52,0.6143098699834325,0.322559505701065,,,,,,,,,
case,22.0,25.0,0.1,hard_competition,1.0,0.26778339100539994,0.7322166089945998,2.220446049250313e-16,0.6,0.7288364037475685,0.1944893300533294,,,,,,,,,
case,23.0,25.0,0.1,hard_competition,2.0,0.3025349757790841,0.6974650242209157,2.220446049250313e-16,0.6,0.675171423233007,0.1819873303174972,,,,,,,,,
case,24.0,55.0,0.0,random,0.0,0.5174490314009669,0.4825509685990331,0.0,0.2909090909090909,0.48876418189418164,0.1652501970529556,,,,,,,,,
case,25.0,55.0,0.0,random,1.0,0.70348569001067,0.2965143099893302,1.6653345369377348e-16,0.2,0.4704345549274167,0.2366750985383987,,,,,,,,,
case,26.0,55.0,0.0,random,2.0,0.5960239194191768,0.4039760805808233,5.551115123125783e-17,0.36363636363636365,0.3354591680815812,0.2519205510616302,,,,,,,,,
case,27.0,55.0,0.0,hard_competition,0.0,0.4464173541024701,0.5535826458975299,0.0,0.41818181818181815,0.577645904532166,0.3443785011768341,,,,,,,,,
case,28.0,55.0,0.0,hard_competition,1.0,0.4043919904313039,0.595608009568696,1.1102230246251565e-16,0.4,0.5969937676759495,0.2253223955631256,,,,,,,,,
case,29.0,55.0,0.0,hard_competition,2.0,0.4014401206977665,0.5985598793022332,3.3306690738754696e-16,0.4,0.5255220915095284,0.2179471403360366,,,,,,,,,
case,30.0,55.0,0.1,random,0.0,0.5330812868084464,0.46691871319155365,0.0,0.38181818181818183,0.5527784931579198,0.2314518690109253,,,,,,,,,
case,31.0,55.0,0.1,random,1.0,0.6866669507160633,0.31333304928393674,5.551115123125783e-17,0.32727272727272727,0.28979893752448604,0.2189355343580246,,,,,,,,,
case,32.0,55.0,0.1,random,2.0,0.41752333043750894,0.5824766695624911,1.1102230246251565e-16,0.34545454545454546,0.4066734975066024,0.2237041443586349,,,,,,,,,
case,33.0,55.0,0.1,hard_competition,0.0,0.16804397472811014,0.8319560252718899,1.1102230246251565e-16,0.6363636363636364,0.6068278627887921,0.2302601188421249,,,,,,,,,
case,34.0,55.0,0.1,hard_competition,1.0,0.39338502457780644,0.6066149754221938,2.220446049250313e-16,0.509090909090909,0.4347906003121291,0.2372930496931076,,,,,,,,,
case,35.0,55.0,0.1,hard_competition,2.0,0.3443876893022807,0.6556123106977194,1.1102230246251565e-16,0.5272727272727272,0.5893432253983032,0.2393176108598709,,,,,,,,,
case,36.0,103.0,0.0,random,0.0,0.597586847364742,0.402413152635258,0.0,0.30097087378640774,0.5899995575860116,0.2020406574010849,,,,,,,,,
case,37.0,103.0,0.0,random,1.0,0.3801935607514329,0.6198064392485672,0.0,0.3592233009708738,0.5511488936401322,0.1817599385976791,,,,,,,,,
case,38.0,103.0,0.0,random,2.0,0.49248482918382186,0.5075151708161783,1.1102230246251565e-16,0.3592233009708738,0.2970776053380627,0.2152988761663437,,,,,,,,,
case,39.0,103.0,0.0,hard_competition,0.0,0.46439313582218406,0.5356068641778161,1.1102230246251565e-16,0.39805825242718446,0.5093756447474249,0.2281845211982727,,,,,,,,,
case,40.0,103.0,0.0,hard_competition,1.0,0.21391577739916484,0.7860842226008351,0.0,0.47572815533980584,0.46452791063683224,0.2298426777124405,,,,,,,,,
case,41.0,103.0,0.0,hard_competition,2.0,0.526223028255991,0.47377697174400907,5.551115123125783e-17,0.32038834951456313,0.4976535896774535,0.3651045262813568,,,,,,,,,
case,42.0,103.0,0.1,random,0.0,0.40480239201948065,0.5951976079805195,1.1102230246251565e-16,0.44660194174757284,0.43115502327573024,0.2314114272594452,,,,,,,,,
case,43.0,103.0,0.1,random,1.0,0.5133048202705737,0.4866951797294266,2.7755575615628914e-16,0.3300970873786408,0.4586685549742652,0.3392177522182464,,,,,,,,,
case,44.0,103.0,0.1,random,2.0,0.5231290865889411,0.4768709134110589,0.0,0.4174757281553398,0.5823642654587714,0.3359644711017608,,,,,,,,,
case,45.0,103.0,0.1,hard_competition,0.0,0.4163835650627241,0.583616434937276,1.1102230246251565e-16,0.39805825242718446,0.606924950277058,0.2797074913978576,,,,,,,,,
case,46.0,103.0,0.1,hard_competition,1.0,0.34859197631450456,0.6514080236854956,1.1102230246251565e-16,0.33980582524271846,0.49788695739493,0.1925315111875534,,,,,,,,,
case,47.0,103.0,0.1,hard_competition,2.0,0.21488117719008368,0.7851188228099164,1.1102230246251565e-16,0.4077669902912621,0.38091843415741905,0.1589377522468567,,,,,,,,,
summary_K,,,,,,,,,,,,13,12.0,0.44774083080027727,0.407238460338336,0.5559462861234972,0.5384615384615384,0.5192307692307692,0.6346153846153846,1.6653345369377348e-16
summary_K,,,,,,,,,,,,25,12.0,0.48481007852005686,0.34557633146906697,0.629348349988166,0.46,0.35,0.6,2.220446049250313e-16
summary_K,,,,,,,,,,,,55,12.0,0.43197034226998954,0.3994263466677765,0.548816944961129,0.39090909090909093,0.34090909090909094,0.44090909090909086,3.3306690738754696e-16
summary_K,,,,,,,,,,,,103,12.0,0.44038835044245406,0.3722931646422008,0.5157608868501655,0.3786407766990291,0.33737864077669905,0.41019417475728154,2.7755575615628914e-16
summary_residual_ratio,,,,,,,,,,,,0.0,24.0,0.46667304446883884,0.4036540229979196,0.5852426168001301,0.4,0.34951456310679613,0.5384615384615384,3.3306690738754696e-16
summary_residual_ratio,,,,,,,,,,,,0.1,24.0,0.41695344775011656,0.3432694943311184,0.5355035681846652,0.4540702016430172,0.37636363636363634,0.5538461538461539,2.7755575615628914e-16
summary_selection_mode,,,,,,,,,,,,hard_competition,24.0,0.3728560226174319,0.3205319296195551,0.4189198509183083,0.5145454545454545,0.4058252427184466,0.6,3.3306690738754696e-16
summary_selection_mode,,,,,,,,,,,,random,24.0,0.5450745886955841,0.5080998224988857,0.623439334888739,0.3618181818181818,0.32545454545454544,0.450336071695295,2.7755575615628914e-16
summary_scenario,,13.0,0.0,hard_competition,,,,,,,,,3.0,0.4133803290787208,0.3501862495846234,0.49751458916958435,0.5384615384615384,0.5,0.6153846153846154,1.6653345369377348e-16
summary_scenario,,13.0,0.0,random,,,,,,,,,3.0,0.4689529531154937,0.44212444264697714,0.5517856764348477,0.5384615384615384,0.5,0.6153846153846154,1.1102230246251565e-16
summary_scenario,,13.0,0.1,hard_competition,,,,,,,,,3.0,0.3888128541171817,0.3576718841751136,0.4076707813011212,0.5384615384615384,0.5,0.6153846153846154,1.1102230246251565e-16
summary_scenario,,13.0,0.1,random,,,,,,,,,3.0,0.5473787650778469,0.534041122983179,0.5714401108513592,0.6153846153846154,0.5769230769230769,0.6153846153846154,0.0
summary_scenario,,25.0,0.0,hard_competition,,,,,,,,,3.0,0.35689919111768215,0.3521813316352804,0.39187446792223724,0.68,0.64,0.7,2.220446049250313e-16
summary_scenario,,25.0,0.0,random,,,,,,,,,3.0,0.6582544601519094,0.6101129942573185,0.6795933524875102,0.28,0.28,0.34,1.6653345369377348e-16
summary_scenario,,25.0,0.1,hard_competition,,,,,,,,,3.0,0.3025349757790841,0.285159183392242,0.3212249425983579,0.6,0.56,0.6,2.220446049250313e-16
summary_scenario,,25.0,0.1,random,,,,,,,,,3.0,0.6197129799335849,0.5812416961234531,0.6504920149077621,0.36,0.33999999999999997,0.38,1.1102230246251565e-16
summary_scenario,,55.0,0.0,hard_competition,,,,,,,,,3.0,0.4043919904313039,0.40291605556453525,0.425404672266887,0.4,0.4,0.40909090909090906,3.3306690738754696e-16
summary_scenario,,55.0,0.0,random,,,,,,,,,3.0,0.5960239194191768,0.5567364754100719,0.6497548047149233,0.2909090909090909,0.24545454545454545,0.32727272727272727,1.6653345369377348e-16
summary_scenario,,55.0,0.1,hard_competition,,,,,,,,,3.0,0.3443876893022807,0.25621583201519543,0.36888635694004357,0.5272727272727272,0.5181818181818181,0.5818181818181818,2.220446049250313e-16
summary_scenario,,55.0,0.1,random,,,,,,,,,3.0,0.5330812868084464,0.4753023086229776,0.6098741187622548,0.34545454545454546,0.33636363636363636,0.36363636363636365,1.1102230246251565e-16
summary_scenario,,103.0,0.0,hard_competition,,,,,,,,,3.0,0.46439313582218406,0.33915445661067445,0.4953080820390875,0.39805825242718446,0.3592233009708738,0.4368932038834952,1.1102230246251565e-16
summary_scenario,,103.0,0.0,random,,,,,,,,,3.0,0.49248482918382186,0.4363391949676274,0.5450358382742819,0.3592233009708738,0.33009708737864074,0.3592233009708738,1.1102230246251565e-16
summary_scenario,,103.0,0.1,hard_competition,,,,,,,,,3.0,0.34859197631450456,0.28173657675229413,0.38248777068861434,0.39805825242718446,0.36893203883495146,0.4029126213592233,1.1102230246251565e-16
summary_scenario,,103.0,0.1,random,,,,,,,,,3.0,0.5133048202705737,0.45905360614502716,0.5182169534297574,0.4174757281553398,0.3737864077669903,0.43203883495145634,2.7755575615628914e-16
