dataset_id,domain,K,split,replicate,lipid_name,lipid_class,X_hat,rho_zero,rho_zero_status,raw_solver_reported,molecular_truth,reportable_truth,candidate_indices
D0__HOLD_R3_K125,D0,125,HOLD,R3,PA 18:2_24:6,PA,0.013424883836815737,3.2412284981735686e-27,COMPUTED,True,False,False,[46]
D0__HOLD_R3_K125,D0,125,HOLD,R3,PA 18:3_24:3,PA,0.004932308904581655,0.0,COMPUTED,True,False,False,[53]
D0__HOLD_R3_K125,D0,125,HOLD,R3,PA 18:3_24:4,PA,0.002389648334533972,0.0,COMPUTED,True,False,False,[54]
D0__HOLD_R3_K125,D0,125,HOLD,R3,PA 18:3_24:5,PA,0.0004071687280428667,,NOT_COMPUTED,False,False,False,[55]
D0__HOLD_R3_K125,D0,125,HOLD,R3,PA 18:3_24:6,PA,0.010119179644761748,1.0741721139608865e-05,COMPUTED,True,True,True,[56]
D0__HOLD_R3_K125,D0,125,HOLD,R3,PA 20:0_20:0,PA,3.2119673827982576e-05,,NOT_COMPUTED,False,False,False,[57]
D0__HOLD_R3_K125,D0,125,HOLD,R3,PA 20:0_20:1,PA,1.0417203091604483e-05,,NOT_COMPUTED,False,False,False,[58]
D0__HOLD_R3_K125,D0,125,HOLD,R3,PA 20:0_20:2,PA,0.00123435866890094,0.0,COMPUTED,True,False,False,[59]
D0__HOLD_R3_K125,D0,125,HOLD,R3,PA 20:0_20:3,PA,1.5103226032044269e-05,,NOT_COMPUTED,False,False,False,[60]
D0__HOLD_R3_K125,D0,125,HOLD,R3,PA 20:0_20:4,PA,0.007055867292536257,2.6619147199886467e-22,COMPUTED,True,False,False,[61]
D0__HOLD_R3_K125,D0,125,HOLD,R3,PA 20:0_20:5,PA,3.646293674275569e-05,,NOT_COMPUTED,False,False,False,[62]
D0__HOLD_R3_K125,D0,125,HOLD,R3,PA 20:0_22:0,PA,0.014290591236395254,3.18102860004514e-05,COMPUTED,True,True,True,[63]
D0__HOLD_R3_K125,D0,125,HOLD,R3,PA 20:0_22:1,PA,1.6352050684058223e-05,,NOT_COMPUTED,False,False,False,[64]
D0__HOLD_R3_K125,D0,125,HOLD,R3,PA 20:0_22:2,PA,4.010109654597136e-06,,NOT_COMPUTED,False,False,False,[65]
D0__HOLD_R3_K125,D0,125,HOLD,R3,PA 20:0_22:3,PA,0.002170558703899211,0.0,COMPUTED,True,False,False,[66]
D0__HOLD_R3_K125,D0,125,HOLD,R3,PA 20:0_22:4,PA,0.013145049977099312,0.0,COMPUTED,True,False,False,[67]
D0__HOLD_R3_K125,D0,125,HOLD,R3,PA 20:0_22:5,PA,0.011591802441096692,1.2635475566603685e-06,COMPUTED,True,True,True,[68]
D0__HOLD_R3_K125,D0,125,HOLD,R3,PA 20:0_22:6,PA,0.004037229530008975,0.0,COMPUTED,True,False,False,[69]
D0__HOLD_R3_K125,D0,125,HOLD,R3,PA 20:1_20:1,PA,0.001678642644095179,2.697167234573981e-28,COMPUTED,True,False,False,[70]
D0__HOLD_R3_K125,D0,125,HOLD,R3,PA 20:1_20:2,PA,8.6728456690869e-06,,NOT_COMPUTED,False,False,False,[71]
D0__HOLD_R3_K125,D0,125,HOLD,R3,PA 20:1_20:3,PA,0.0037257365673048328,0.0,COMPUTED,True,False,False,[72]
D0__HOLD_R3_K125,D0,125,HOLD,R3,PA 20:1_20:4,PA,4.343341074835242e-05,,NOT_COMPUTED,False,False,False,[73]
D0__HOLD_R3_K125,D0,125,HOLD,R3,PA 20:1_22:1,PA,0.0,,NOT_COMPUTED,False,False,False,[75]
D0__HOLD_R3_K125,D0,125,HOLD,R3,PA 20:1_22:2,PA,1.767046631164414e-05,,NOT_COMPUTED,False,False,False,[76]
D0__HOLD_R3_K125,D0,125,HOLD,R3,PA 20:1_22:3,PA,0.00036723531220287384,,NOT_COMPUTED,False,True,True,[77]
D0__HOLD_R3_K125,D0,125,HOLD,R3,PA 20:1_22:4,PA,2.1794317746830683e-05,,NOT_COMPUTED,False,False,False,[78]
D0__HOLD_R3_K125,D0,125,HOLD,R3,PA 20:1_22:5,PA,0.002714725509622136,2.5580519522154767e-23,COMPUTED,True,False,False,[79]
D0__HOLD_R3_K125,D0,125,HOLD,R3,PA 20:1_22:6,PA,0.0,,NOT_COMPUTED,False,False,False,[80]
D0__HOLD_R3_K125,D0,125,HOLD,R3,PA 20:2_20:2,PA,0.004102720869798636,1.7468814894920673e-06,COMPUTED,True,True,True,[81]
