dataset_id,split,replicate,complexity_condition,global_truth_K,candidate_index,candidate_id,lipid_name,X_hat,candidate_truth,molecular_truth,same_lipid_alternative_candidate,rho_zero,domain,K,reportable_truth
D0__HOLD_R3_K125,HOLD,R3,K125,125,85,PA-H__0242,PA 20:2_22:2,0.0030651799751176398,False,False,False,9.100749605045905e-23,D0,125,False
D0__HOLD_R3_K125,HOLD,R3,K125,125,87,PA-H__0244,PA 20:2_22:4,0.0025901398202159767,False,False,False,4.213879868341307e-25,D0,125,False
D0__HOLD_R3_K125,HOLD,R3,K125,125,90,PA-H__0257,PA 22:0_20:3,0.008364341583502405,False,False,False,5.468020030200733e-23,D0,125,False
D0__HOLD_R3_K125,HOLD,R3,K125,125,92,PA-H__0259,PA 22:2_20:3,0.004866000884713702,False,False,False,1.9607492367996873e-24,D0,125,False
D0__HOLD_R3_K125,HOLD,R3,K125,125,97,PA-H__0270,PA 20:3_24:6,0.02515009743273295,True,True,False,5.109917897460586e-05,D0,125,True
D0__HOLD_R3_K125,HOLD,R3,K125,125,98,PA-H__0273,PA 22:0_20:4,0.019750284667895565,True,True,False,5.677524186564947e-06,D0,125,True
D0__HOLD_R3_K125,HOLD,R3,K125,125,100,PA-H__0275,PA 22:2_20:4,0.005860579526160617,True,True,False,2.9727469195206733e-06,D0,125,True
D0__HOLD_R3_K125,HOLD,R3,K125,125,102,PA-H__0277,PA 20:4_22:4,0.003456601856154829,False,False,False,3.018349991842391e-29,D0,125,False
D0__HOLD_R3_K125,HOLD,R3,K125,125,103,PA-H__0278,PA 20:4_22:5,0.002309574478273078,False,False,False,2.198481285443527e-23,D0,125,False
D0__HOLD_R3_K125,HOLD,R3,K125,125,104,PA-H__0279,PA 20:4_22:6,0.011584699957686462,True,True,False,1.9880289765980097e-05,D0,125,True
D0__HOLD_R3_K125,HOLD,R3,K125,125,106,PA-H__0286,PA 20:4_24:6,0.0030498776370213054,False,False,False,0.0,D0,125,False
D0__HOLD_R3_K125,HOLD,R3,K125,125,107,PA-H__0288,PA 22:0_20:5,0.011928699521695231,False,False,False,7.903902313363896e-27,D0,125,False
D0__HOLD_R3_K125,HOLD,R3,K125,125,111,PA-H__0292,PA 22:4_20:5,0.0019793621627075676,False,False,False,3.1424001179657975e-23,D0,125,False
D0__HOLD_R3_K125,HOLD,R3,K125,125,113,PA-H__0294,PA 20:5_22:6,0.0052211264238961495,True,True,False,4.204416860206477e-06,D0,125,True
D0__HOLD_R3_K125,HOLD,R3,K125,125,114,PA-H__0299,PA 24:4_20:5,0.034300007119268165,True,True,False,0.0001779196816980852,D0,125,True
D0__HOLD_R3_K125,HOLD,R3,K125,125,116,PA-H__0301,PA 20:5_24:6,0.001289171363192027,False,False,False,1.2828296007219712e-27,D0,125,False
D0__HOLD_R3_K125,HOLD,R3,K125,125,117,PA-H__0344,PA 22:3_22:6,0.007532452861346614,False,False,False,6.919673890904522e-22,D0,125,False
D0__HOLD_R3_K125,HOLD,R3,K125,125,118,PA-H__0353,PA 22:4_22:5,0.02315414062357946,True,True,False,9.809377223971386e-05,D0,125,True
D0__HOLD_R3_K125,HOLD,R3,K125,125,120,PA-H__0362,PA 22:5_22:5,0.00397692989577536,False,False,False,2.1125166127514686e-23,D0,125,False
D0__HOLD_R3_K125,HOLD,R3,K125,125,121,PA-H__0363,PA 22:5_22:6,0.0016071537211672083,False,False,False,0.0,D0,125,False
D0__HOLD_R3_K125,HOLD,R3,K125,125,122,PA-H__0371,PA 22:6_22:6,0.002146400533657727,False,False,False,4.025879507539987e-29,D0,125,False
D0__HOLD_R3_K125,HOLD,R3,K125,125,131,PS-H__0021,PS 12:0_22:6,0.008021635466434215,True,True,False,0.00015639698491688478,D0,125,True
D0__HOLD_R3_K125,HOLD,R3,K125,125,133,PS-H__0023,PS 12:0_24:1,0.0314140940651991,True,True,False,0.00039990511620289164,D0,125,True
D0__HOLD_R3_K125,HOLD,R3,K125,125,135,PS-H__0025,PS 12:0_24:3,0.001280658387839566,False,False,False,0.0,D0,125,False
D0__HOLD_R3_K125,HOLD,R3,K125,125,143,PS-H__0040,PS 14:0_20:4,0.007643273531421321,True,True,False,9.092499178296641e-06,D0,125,True
D0__HOLD_R3_K125,HOLD,R3,K125,125,148,PS-H__0045,PS 14:0_22:3,0.01690089402846747,True,True,False,1.7498722611664567e-05,D0,125,True
D0__HOLD_R3_K125,HOLD,R3,K125,125,151,PS-H__0048,PS 14:0_22:6,0.007308189972344039,True,True,False,1.415196385613474e-05,D0,125,True
D0__HOLD_R3_K125,HOLD,R3,K125,125,153,PS-H__0059,PS 16:0_18:1,0.03161683261081322,True,True,False,0.00019461573024359458,D0,125,True
D0__HOLD_R3_K125,HOLD,R3,K125,125,155,PS-H__0061,PS 16:0_18:3,0.011355530355425759,True,True,False,2.2536186611873065e-05,D0,125,True
D0__HOLD_R3_K125,HOLD,R3,K125,125,158,PS-H__0064,PS 16:0_20:2,0.0314465691524563,True,True,False,6.775036431346913e-05,D0,125,True
D0__HOLD_R3_K125,HOLD,R3,K125,125,159,PS-H__0065,PS 16:0_20:3,0.0012476207149414876,False,False,False,0.0,D0,125,False
D0__HOLD_R3_K125,HOLD,R3,K125,125,162,PS-H__0083,PS 18:0_16:1,0.006786582189337641,True,True,False,1.4574554673757865e-06,D0,125,True
D0__HOLD_R3_K125,HOLD,R3,K125,125,181,PS-H__0176,PS 18:3_18:3,0.010571699597240518,False,False,False,0.0,D0,125,False
D0__HOLD_R3_K125,HOLD,R3,K125,125,182,PS-H__0415,PS 13:0_20:0,0.013213612541557729,True,True,False,0.0001251207052497496,D0,125,True
D0__HOLD_R3_K125,HOLD,R3,K125,125,186,PS-H__0424,PS 13:0_22:3,0.011381117071100164,True,True,False,6.11401171301282e-05,D0,125,True
D0__HOLD_R3_K125,HOLD,R3,K125,125,187,PS-H__0425,PS 13:0_22:4,0.0011470172925759307,False,False,False,6.664240624530512e-25,D0,125,False
D0__HOLD_R3_K125,HOLD,R3,K125,125,196,PS-H__0441,PS 15:0_20:4,0.007141040618938081,True,True,False,6.528569080270116e-06,D0,125,True
D0__HOLD_R3_K125,HOLD,R3,K125,125,222,PE-H__0053,PE 14:0_24:4,0.012153278157458237,True,True,False,9.400550099698018e-07,D0,125,True
D0__HOLD_R3_K125,HOLD,R3,K125,125,223,PE-H__0054,PE 14:0_24:5,0.005585867184948557,False,False,False,6.5619152693168835e-24,D0,125,False
D0__HOLD_R3_K125,HOLD,R3,K125,125,224,PE-H__0055,PE 14:0_24:6,0.012556056232800927,True,True,False,1.5971142383837808e-06,D0,125,True
D0__HOLD_R3_K125,HOLD,R3,K125,125,226,PE-H__0069,PE 16:0_22:1,0.0013119615366429319,False,False,False,1.4102526389650659e-24,D0,125,False
D0__HOLD_R3_K125,HOLD,R3,K125,125,229,PE-H__0072,PE 16:0_22:4,0.003888090796720398,False,False,False,0.0,D0,125,False
D0__HOLD_R3_K125,HOLD,R3,K125,125,231,PE-H__0074,PE 16:0_22:6,0.0064788934943275835,False,False,False,2.4157739147186845e-28,D0,125,False
D0__HOLD_R3_K125,HOLD,R3,K125,125,232,PE-H__0078,PE 16:0_24:3,0.00519150657499745,False,False,False,1.8846860584285327e-28,D0,125,False
D0__HOLD_R3_K125,HOLD,R3,K125,125,233,PE-H__0079,PE 16:0_24:4,0.008975743543516913,True,True,False,2.2012296733533953e-07,D0,125,True
D0__HOLD_R3_K125,HOLD,R3,K125,125,234,PE-H__0080,PE 16:0_24:5,0.002832026423613213,True,True,False,3.154384848487616e-07,D0,125,True
D0__HOLD_R3_K125,HOLD,R3,K125,125,238,PE-H__0095,PE 16:1_22:2,0.0010288142119272846,False,False,False,0.0,D0,125,False
D0__HOLD_R3_K125,HOLD,R3,K125,125,241,PE-H__0098,PE 16:1_22:5,0.001605887108691175,False,False,False,3.167215709716255e-23,D0,125,False
D0__HOLD_R3_K125,HOLD,R3,K125,125,242,PE-H__0099,PE 16:1_22:6,0.0027941070133746457,True,True,False,4.437413886930969e-07,D0,125,True
D0__HOLD_R3_K125,HOLD,R3,K125,125,243,PE-H__0102,PE 16:1_24:2,0.0010070189130269276,False,False,False,1.6022378151533527e-25,D0,125,False
D0__HOLD_R3_K125,HOLD,R3,K125,125,245,PE-H__0104,PE 16:1_24:4,0.01583851375197416,False,False,False,3.6593109856133085e-23,D0,125,False
D0__HOLD_R3_K125,HOLD,R3,K125,125,246,PE-H__0105,PE 16:1_24:5,0.006070625477284353,False,False,False,2.5783375834918574e-25,D0,125,False
D0__HOLD_R3_K125,HOLD,R3,K125,125,251,PE-H__0114,PE 18:0_20:3,0.015446887798854623,True,True,False,4.093731897779809e-07,D0,125,True
D0__HOLD_R3_K125,HOLD,R3,K125,125,252,PE-H__0115,PE 18:0_20:4,0.01709048815569436,True,True,False,5.728353976938014e-07,D0,125,True
D0__HOLD_R3_K125,HOLD,R3,K125,125,254,PE-H__0120,PE 18:0_22:3,0.003943439544890599,False,False,False,6.555663131672941e-24,D0,125,False
D0__HOLD_R3_K125,HOLD,R3,K125,125,255,PE-H__0121,PE 18:0_22:4,0.016650765510598124,True,True,False,8.809769888991102e-07,D0,125,True
D0__HOLD_R3_K125,HOLD,R3,K125,125,256,PE-H__0122,PE 18:0_22:5,0.007732073730324776,False,False,False,1.3095090076978092e-23,D0,125,False
D0__HOLD_R3_K125,HOLD,R3,K125,125,257,PE-H__0123,PE 18:0_22:6,0.001735061773520755,False,False,False,1.5361795794018206e-27,D0,125,False
