row_type,gate,feature,stratum_type,stratum_value,coverage,n_reported,identity_precision,false_identity_fraction,mass_weighted_false_fraction,true_identity_recall
rho_zero_stratified,0.001,rho_zero,K,25,0.2,196,0.8928571428571429,0.1071428571428571,0.037662074474076594,0.5833333333333334
rho_zero_stratified,0.001,rho_zero,K,55,0.1,144,0.9791666666666666,0.02083333333333337,0.018313983747870313,0.21363636363636362
rho_zero_stratified,0.001,rho_zero,K,55,0.2,288,0.8159722222222222,0.1840277777777778,0.07916499390789285,0.3560606060606061
rho_zero_stratified,0.001,rho_zero,K,103,0.1,140,0.9642857142857143,0.0357142857142857,0.012107767753947844,0.10922330097087378
rho_zero_stratified,0.001,rho_zero,K,103,0.2,279,0.8064516129032258,0.19354838709677424,0.0711591790144723,0.1820388349514563
rho_zero_stratified,0.001,rho_zero,residual_ratio,0.0,0.1,232,1.0,0.0,0.0,0.19727891156462585
rho_zero_stratified,0.001,rho_zero,residual_ratio,0.0,0.2,464,1.0,0.0,0.0,0.3945578231292517
rho_zero_stratified,0.001,rho_zero,residual_ratio,0.1,0.1,234,0.9914529914529915,0.008547008547008517,0.000426228785832949,0.19727891156462585
rho_zero_stratified,0.001,rho_zero,residual_ratio,0.1,0.2,467,0.7987152034261242,0.20128479657387577,0.07162360414743779,0.3171768707482993
rho_zero_stratified,0.001,rho_zero,selection_mode,hard_competition,0.1,192,1.0,0.0,0.0,0.16326530612244897
rho_zero_stratified,0.001,rho_zero,selection_mode,hard_competition,0.2,384,0.890625,0.109375,0.035995847477632,0.29081632653061223
rho_zero_stratified,0.001,rho_zero,selection_mode,random,0.1,273,0.9597069597069597,0.04029304029304026,0.02165169146213345,0.2227891156462585
rho_zero_stratified,0.001,rho_zero,selection_mode,random,0.2,546,0.7472527472527473,0.25274725274725274,0.11626553124516245,0.3469387755102041
pooled_rho_zero,0.01,rho_zero,overall,all,0.05,91,1.0,0.0,0.0,0.03869047619047619
pooled_rho_zero,0.01,rho_zero,overall,all,0.1,181,1.0,0.0,0.0,0.07695578231292517
pooled_rho_zero,0.01,rho_zero,overall,all,0.2,361,1.0,0.0,0.0,0.15348639455782312
pooled_rho_zero,0.01,rho_zero,overall,all,0.4,722,0.8434903047091413,0.15650969529085867,0.08798008807457769,0.25892857142857145
pooled_rho_zero,0.01,rho_zero,overall,all,0.6,1083,0.6694367497691598,0.3305632502308402,0.20749998836162378,0.3082482993197279
pooled_rho_zero,0.01,rho_zero,overall,all,0.8,1444,0.5048476454293629,0.4951523545706371,0.32496045751769187,0.30994897959183676
pooled_rho_zero,0.01,rho_zero,overall,all,1.0,1804,0.4268292682926829,0.5731707317073171,0.39741669380137756,0.3273809523809524
pooled_necessity,0.01,necessity_signal,overall,all,0.05,91,1.0,0.0,0.0,0.03869047619047619
pooled_necessity,0.01,necessity_signal,overall,all,0.1,181,1.0,0.0,0.0,0.07695578231292517
pooled_necessity,0.01,necessity_signal,overall,all,0.2,361,1.0,0.0,0.0,0.15348639455782312
pooled_necessity,0.01,necessity_signal,overall,all,0.4,722,0.8434903047091413,0.15650969529085867,0.08798008807457769,0.25892857142857145
pooled_necessity,0.01,necessity_signal,overall,all,0.6,1083,0.6694367497691598,0.3305632502308402,0.20749998836162378,0.3082482993197279
pooled_necessity,0.01,necessity_signal,overall,all,0.8,1444,0.5062326869806094,0.4937673130193906,0.317826820993322,0.31079931972789115
pooled_necessity,0.01,necessity_signal,overall,all,1.0,1804,0.4268292682926829,0.5731707317073171,0.39741669380137756,0.3273809523809524
rho_zero_stratified,0.01,rho_zero,K,13,0.1,36,1.0,0.0,0.0,0.23076923076923078
rho_zero_stratified,0.01,rho_zero,K,13,0.2,71,1.0,0.0,0.0,0.4551282051282051
rho_zero_stratified,0.01,rho_zero,K,25,0.1,46,1.0,0.0,0.0,0.15333333333333332
rho_zero_stratified,0.01,rho_zero,K,25,0.2,91,1.0,0.0,0.0,0.30333333333333334
rho_zero_stratified,0.01,rho_zero,K,55,0.1,51,1.0,0.0,0.0,0.07727272727272727
rho_zero_stratified,0.01,rho_zero,K,55,0.2,102,1.0,0.0,0.0,0.15454545454545454
rho_zero_stratified,0.01,rho_zero,K,103,0.1,49,1.0,0.0,0.0,0.03964401294498382
rho_zero_stratified,0.01,rho_zero,K,103,0.2,98,0.9795918367346939,0.020408163265306145,0.010970243861320794,0.07766990291262135
rho_zero_stratified,0.01,rho_zero,residual_ratio,0.0,0.1,90,1.0,0.0,0.0,0.07653061224489796
rho_zero_stratified,0.01,rho_zero,residual_ratio,0.0,0.2,180,1.0,0.0,0.0,0.15306122448979592
rho_zero_stratified,0.01,rho_zero,residual_ratio,0.1,0.1,91,1.0,0.0,0.0,0.07738095238095238
rho_zero_stratified,0.01,rho_zero,residual_ratio,0.1,0.2,182,1.0,0.0,0.0,0.15476190476190477
rho_zero_stratified,0.01,rho_zero,selection_mode,hard_competition,0.1,84,1.0,0.0,0.0,0.07142857142857142
rho_zero_stratified,0.01,rho_zero,selection_mode,hard_competition,0.2,168,1.0,0.0,0.0,0.14285714285714285
rho_zero_stratified,0.01,rho_zero,selection_mode,random,0.1,97,1.0,0.0,0.0,0.0824829931972789
rho_zero_stratified,0.01,rho_zero,selection_mode,random,0.2,194,0.9896907216494846,0.010309278350515427,0.005269426156185823,0.16326530612244897
