severity,protocol,score,target,threshold,threshold_available,calibration_status,primary_rho_result,N_retained,TP,FP,FN,raw_solver_TP,raw_solver_FP,raw_solver_FN,filtered_TP,filtered_FP,filtered_FN,true_positive_retention,TP_retention,filter_induced_true_loss,filter_induced_true_loss_fraction,precision,FDR,FDR_lower95,FDR_upper95,coverage,all_truth_recall,reportable_truth_recall
MILD,CLEAN_FIXED,rho_zero,FDR5,1.272651000158792e-20,True,AVAILABLE,True,2247,1412,835,338,1680,1514,70,1412,835,338,0.8404761904761905,0.8404761904761905,268,0.1595238095238095,0.6283934134401424,0.37160658655985757,0.35186117241620013,0.3917902528146496,0.7035065748278021,0.8068571428571428,0.8068571428571428
MILD,CLEAN_FIXED,rho_zero,FDR1,6.683949277609072e-20,True,AVAILABLE,True,2247,1412,835,338,1680,1514,70,1412,835,338,0.8404761904761905,0.8404761904761905,268,0.1595238095238095,0.6283934134401424,0.37160658655985757,0.35186117241620013,0.3917902528146496,0.7035065748278021,0.8068571428571428,0.8068571428571428
MODERATE,CLEAN_FIXED,rho_zero,FDR5,1.272651000158792e-20,True,AVAILABLE,True,2097,1296,801,454,1674,1473,76,1296,801,454,0.7741935483870968,0.7741935483870968,378,0.22580645161290322,0.6180257510729614,0.38197424892703863,0.3614124712290497,0.4029676546858931,0.6663489037178265,0.7405714285714285,0.7405714285714285
MODERATE,CLEAN_FIXED,rho_zero,FDR1,6.683949277609072e-20,True,AVAILABLE,True,2097,1296,801,454,1674,1473,76,1296,801,454,0.7741935483870968,0.7741935483870968,378,0.22580645161290322,0.6180257510729614,0.38197424892703863,0.3614124712290497,0.4029676546858931,0.6663489037178265,0.7405714285714285,0.7405714285714285
