dataset_id,severity,split,K,replicate,forward_mismatch_residual,learned_solver_reconstruction_relative_residual,source_NNLS_residual,source_NNLS_false_identity_count,X_true_sha256,B_target_sha256,p50,p90_over_p50,p95_over_p50,p99_over_p50,max_over_p50,mismatch_B_p50_over_V57_clean_B_p50
MILD__HOLD_R5_K125,MILD,HOLD,125,R5,0.06504890709331956,0.04231664291343884,0.028126453696544512,57,73185c2b17d8b1bd89c29062b6b1e3e7ae8a83595cfe1773357276c12ed4fffa,c1beaf013ee82636ed05bdc348bfdaf029e3f36aaa396b0f7273eac7393fd0b0,0.601706277550435,1.4384223832553682,1.5860053243854508,1.9580926354487562,2.8177375692391684,0.9967332842966542
MILD__HOLD_R5_K175,MILD,HOLD,175,R5,0.054952142661354016,0.037542934256552106,0.02216792771832215,61,af0c10105d48426f2bd5658d9af2353574b783b65632b58b4133caf5024be7e3,0eef06d87dab1f377346b2f71d5075dbf061d30f3a339d766960c1bb697e8577,0.6011341334763175,1.3651862344950345,1.4948175425432235,1.7789907856218388,3.082572775361382,0.9957855127784064
MODERATE__CAL_R1_K050,MODERATE,CAL,50,R1,0.11984944732668128,0.07039931553185746,0.06274702452318527,51,c915ca53f3cdb41668f226a5b7782ad0309ca6d80d328245d08e823268da1388,58d7789429ad235a6524b1705ec1d0d8ea6c560513162834295d26711fdb35e5,0.5928413673860512,1.703741975652027,2.0896903255355266,2.8404769262488587,4.275545161969347,0.9820484996759539
MODERATE__CAL_R1_K125,MODERATE,CAL,125,R1,0.11622070922430132,0.05751032609733964,0.04890960853075906,53,b5a118675da94a90a53703339de9a86ac1fe3ebad34f425a7aa96846abef0a3f,f72e81ea63ac3f88b29e84fd6075320a57acea2fd23a11af5d4410977758014a,0.585890732737742,1.5319719247643537,1.74128072750643,2.2341031963095026,3.094783067106067,0.9705346472901467
MODERATE__CAL_R1_K175,MODERATE,CAL,175,R1,0.10479731934930055,0.049868264288343796,0.04041147380796444,61,ef33bc8e691c450ca2b3ce6c98b229cc9e728a759e49890967e9c2baff9c3766,d2889ade3889fc9f3efd80ec42b64d05b327907ebe8e43cd02138072862fd82c,0.5843104051220334,1.4921475279259666,1.6554387290561774,2.060867565526946,2.74273617858,0.9679167970350432
MODERATE__CAL_R2_K050,MODERATE,CAL,50,R2,0.13178812691790062,0.06884722540681056,0.06274715285937367,51,e5e9d7c82aa5100604873f1d7a10db162ebc3181d165a8d64e0a25c98b79df96,836fbb65d82d3bbed8c50fcb8d131624e4bc2210b2a7617794fd43732b468abb,0.5958336864631099,1.7014586944861796,1.9404578227254,2.572395909198206,4.097970091433305,0.9870052517545127
MODERATE__CAL_R2_K125,MODERATE,CAL,125,R2,0.12314982841459056,0.06341772200924388,0.04890954139749724,53,cfdef5fa6172d18450e9ee998d7442645ae7e9e74cd0aa260781c188d7ca8222,1e1b8a25e47fe6c757e58b9f220dcb410870df2fda38728fda7c973521262c19,0.5854614914026218,1.7210106397538767,1.9714463104502233,2.7342039999508487,4.092774291040026,0.9698235599949373
MODERATE__CAL_R2_K175,MODERATE,CAL,175,R2,0.1154753338689553,0.0554914397451754,0.04041157467846045,61,6cb65f792520b0060c8a02ef303382574a8c1d04de199a97e55b396aece3e185,aecf8132f353e40460b24be2d6b81333a13d6bc5661d966a72f54052a8e4d4fc,0.5838336316894281,1.5480603015627332,1.747138516087731,2.366055204495557,3.5673578849085614,0.9671269146060125
MODERATE__CAL_R3_K050,MODERATE,CAL,50,R3,0.13541289403732076,0.07761404415006265,0.06274722109701124,51,83889606df97c5ed27e51eb0380be583ed57733c554d4fd331b4b0335a29488f,44fa041c99319fe93f7a6e62a2dd9e47d231d73394f4bbd49bdba3f064117fa5,0.5986478207345348,1.8549778046285457,2.1620462812449444,3.095102951139621,4.7970680310449385,0.9916668786516927
MODERATE__CAL_R3_K125,MODERATE,CAL,125,R3,0.12750265609733138,0.06305714254082669,0.04890962621697212,53,8044a118ef2c34f4b78e5cfdd092cff447af8e9e08dcf9b1ba0750c3fd6fa74c,eb30ff40b7e262961c46f219ec071701426318464bd02cc4837d829d852b6888,0.58895871577253,1.5060174188848343,1.665526843026443,2.198022525532809,3.1243484722227244,0.975616827734515
MODERATE__CAL_R3_K175,MODERATE,CAL,175,R3,0.11134444194040202,0.052919137177076706,0.04041169615288238,61,76b269a8d022fa8925b9dff8fd4ac48a7ffddef906a926093b3a28d7241e15b2,a0a628f65c338873a37e1713909a9a26bea1f8f71dd0fbffce0a2592b220c483,0.586789020533984,1.4470081011070206,1.5905540456088099,1.9776961313439254,2.7449533454514694,0.9720226781383567
MODERATE__CAL_R4_K050,MODERATE,CAL,50,R4,0.13240489393923083,0.07622616543628112,0.06274692323799902,51,c87d565eafade2e9924f45f86a93fd8a6ebd02320baf6071043d9bad66b28e7e,fcce0715bf407b51bb79aa111ea4f2473146d0f291d8136fb3d4727acea9c78e,0.5988840621085271,1.4812384422184752,1.6871721541839817,2.201464192073028,3.2548771701580956,0.9920582153894516
MODERATE__CAL_R4_K125,MODERATE,CAL,125,R4,0.1135017737841241,0.054818646843570816,0.0489096415378823,53,86b6f2c372b16e7400101266db8e53f70210faf1bd34e4b9f4b79710a15512fb,8a22d5c23cdc78e61eb9209d7dcc2bb318753923b06b5dab09cf385ddb6b91c8,0.5878103762791228,1.4920849323038194,1.6723824456132443,2.2243275808464604,3.20938905298612,0.9737144737683553
MODERATE__CAL_R4_K175,MODERATE,CAL,175,R4,0.10718316643815187,0.051790257725304045,0.04041183000733624,61,2061e8ffe1ad8a37e13c57e50815df390d6004da3cce44c96c1ca57ad14d811b,9ebf5427c541ea235f6ee21cbaf0555bdf52cbacccdafca03dfcefd18490f9cf,0.5865093546445338,1.4303220684956126,1.5807296183152428,2.0870600699879294,2.9781197143616973,0.9715594484499325
MODERATE__CAL_R5_K050,MODERATE,CAL,50,R5,0.1470761650616883,0.09297554876530621,0.0627471670466965,51,18275354a276c3ea0d98b4399bc22598fdf9954450263527c473b5465ddf9408,eeabaed9a1ac55e429c714e9586591ec1097204fb7a9d5901d8f0a74714347e2,0.5967043310402277,1.553872577701711,1.793476811374375,2.3748230614934625,3.867628187506337,0.9884473360862581
MODERATE__CAL_R5_K125,MODERATE,CAL,125,R5,0.12011247003394901,0.059647609780862004,0.04890958813637308,53,e269fe98b9095a09bab6ca0595585a8aa747b0e534bdc7ea37168a335773441d,9bf1f92d5baf91d0e53f3458f91d7cfc87186f151e36c1f511f9a9b28b8bf6b3,0.5861540470945696,1.4110886916708503,1.5542107083327064,1.9113240389627868,2.74228936842335,0.9709707621316183
MODERATE__CAL_R5_K175,MODERATE,CAL,175,R5,0.11006704739712005,0.05284310553915814,0.0404117987182717,61,f1a83d8358670e80872f91533d09389f581b7139ec7425acf74d968da2ee7bfc,d78d9daa42e709c0a1a4723b72021155e112fec44a99093086dee06d1089edb0,0.5861754011960997,1.3682152797081162,1.4804437993394255,1.742858945815269,2.3582720635436982,0.9710061900596955
MODERATE__HOLD_R1_K050,MODERATE,HOLD,50,R1,0.142708267457425,0.09012601060836811,0.07616553302870246,54,b85488f4aa74677814cae78350a36ae430390e67825a6903d083947aedefabad,f9c9aa1fd2b5ae67864a19da5df2936251606b04c06cef1a78f5104b2c6d8283,0.5998933589757693,1.6541842671375169,2.0684344591437536,2.8297298451073196,4.314369792617566,0.9937301309353951
MODERATE__HOLD_R1_K125,MODERATE,HOLD,125,R1,0.11781606908480173,0.06510801568473586,0.05395862032614116,65,cf4e3f3546c494db48e364363f1d85254fe971e0258931772248731ffc2722c3,ef76b187f46b8e09c47466e0463632f7803751081e22fab7c38a2ba70a70b672,0.5975196653546162,1.5142890376767868,1.7269500314623114,2.2455642514545624,3.1043334117621244,0.9897981537411622
MODERATE__HOLD_R1_K175,MODERATE,HOLD,175,R1,0.10376369364225327,0.0531589981606213,0.04005782280012153,55,90165dd58a53320b0ee6551d1a47e85832f817d2ca37008fd9f5ea2828e75074,e8be71b8dc6ae4981dd01d186c3c39dbba4046751c9188f219cd1851ff95106c,0.5947052606289712,1.4564899957095832,1.6211118708845798,2.0103576975553343,2.630072258685208,0.9851360515831319
MODERATE__HOLD_R2_K050,MODERATE,HOLD,50,R2,0.15080711055218385,0.10734528686290737,0.07616543909808984,54,104c708048af1cd210b7580efb0b545cc2ab6f23bde925b85dd39509ef001e59,726f57d33cfca14e5d07507966b6600103eff6d3d491f9ca08264e573f8cd705,0.6003569748661864,1.7258273731741567,1.9928815981210073,2.6952420119737415,4.137858364254927,0.9944981375359014
MODERATE__HOLD_R2_K125,MODERATE,HOLD,125,R2,0.12421690616283372,0.0687586476527068,0.053958729290748214,65,ed3886ab41f8d28801b4caa9d86a6cd4361050a2832eb0753997e3b00931c173,2669a2eef43c90f8a335f2fb41a711f88f938d99402b7e819cf02618f706269b,0.5961602570539203,1.6593845585847666,1.8841098894190285,2.6126981141180643,3.841890675403781,0.9875462098940556
