scope_type,scope_id,pixel_row,pixel_col,observed_precursor_group_count,sum_compatible_candidate_multiplicities,observed_group_multiplicity_mean,observed_group_multiplicity_median,observed_group_multiplicity_max,active_count_1e-4,active_count_1e-3,active_count_1e-2,participation_ratio,B_l2_norm
foreground_pixel,pixel_000_017,0,17,92,333,3.619565217391304,3.0,10,74,43,19,9.107868194580078,0.5759687423706055
foreground_pixel,pixel_000_018,0,18,90,331,3.6777777777777776,3.0,10,61,43,25,10.459480285644531,0.7220920920372009
foreground_pixel,pixel_000_019,0,19,94,343,3.648936170212766,3.0,10,74,46,22,9.941975593566895,0.6735402345657349
foreground_pixel,pixel_000_020,0,20,96,351,3.65625,3.0,10,87,42,21,10.071357727050781,0.5610047578811646
foreground_pixel,pixel_000_021,0,21,104,376,3.6153846153846154,3.0,10,83,47,28,9.635736465454102,0.9678494930267334
foreground_pixel,pixel_000_022,0,22,102,368,3.607843137254902,3.0,10,70,50,33,9.251935005187988,1.3390052318572998
foreground_pixel,pixel_000_023,0,23,101,366,3.623762376237624,3.0,10,65,51,25,10.604756355285645,1.0289819240570068
foreground_pixel,pixel_000_024,0,24,100,359,3.59,3.0,10,85,54,28,11.54240894317627,1.1669596433639526
foreground_pixel,pixel_000_025,0,25,103,376,3.650485436893204,3.0,10,61,49,27,9.255573272705078,0.9903504848480225
foreground_pixel,pixel_000_026,0,26,100,366,3.66,3.0,10,79,51,31,9.18494987487793,1.1432238817214966
foreground_pixel,pixel_000_027,0,27,99,370,3.7373737373737375,3.0,10,71,50,29,10.660116195678711,1.2902040481567383
foreground_pixel,pixel_000_028,0,28,106,382,3.6037735849056602,3.0,10,112,91,37,11.236507415771484,2.0672125816345215
foreground_pixel,pixel_000_029,0,29,104,379,3.644230769230769,3.0,10,71,52,27,10.323699951171875,1.097791075706482
foreground_pixel,pixel_000_030,0,30,107,387,3.616822429906542,3.0,10,99,51,26,10.013904571533203,1.0776162147521973
foreground_pixel,pixel_000_031,0,31,103,378,3.6699029126213594,3.0,10,90,55,30,9.802845001220703,1.131442904472351
foreground_pixel,pixel_000_032,0,32,104,382,3.673076923076923,3.0,10,81,46,29,10.311869621276855,0.9141117930412292
foreground_pixel,pixel_000_033,0,33,104,378,3.6346153846153846,3.0,10,87,54,28,10.670123100280762,1.0850452184677124
foreground_pixel,pixel_000_034,0,34,105,376,3.580952380952381,3.0,10,95,58,26,9.970081329345703,1.0724303722381592
foreground_pixel,pixel_000_035,0,35,100,368,3.68,3.0,10,79,51,27,9.72016429901123,1.1012544631958008
foreground_pixel,pixel_000_036,0,36,106,382,3.6037735849056602,3.0,10,82,51,31,10.131077766418457,1.0801502466201782
foreground_pixel,pixel_000_037,0,37,106,385,3.6320754716981134,3.0,10,78,54,31,9.72006893157959,1.1446166038513184
foreground_pixel,pixel_000_038,0,38,106,385,3.6320754716981134,3.0,10,116,68,28,11.112506866455078,1.0356653928756714
foreground_pixel,pixel_000_039,0,39,105,382,3.638095238095238,3.0,10,87,54,31,9.917967796325684,1.1765984296798706
foreground_pixel,pixel_000_040,0,40,110,391,3.5545454545454547,3.0,10,115,71,30,11.010016441345215,1.41823148727417
foreground_pixel,pixel_000_041,0,41,104,376,3.6153846153846154,3.0,10,102,53,30,11.203957557678223,1.0105950832366943
foreground_pixel,pixel_000_042,0,42,107,383,3.5794392523364484,3.0,10,100,63,32,11.894052505493164,1.13840913772583
foreground_pixel,pixel_000_043,0,43,107,382,3.5700934579439254,3.0,10,92,54,28,10.583124160766602,1.137757420539856
foreground_pixel,pixel_000_044,0,44,105,384,3.657142857142857,3.0,10,103,59,28,9.828076362609863,1.3048100471496582
foreground_pixel,pixel_000_045,0,45,105,382,3.638095238095238,3.0,10,98,62,31,10.48426628112793,1.325300693511963
foreground_pixel,pixel_000_046,0,46,108,385,3.564814814814815,3.0,10,95,59,31,10.305861473083496,1.311649203300476
foreground_pixel,pixel_000_047,0,47,106,382,3.6037735849056602,3.0,10,109,67,29,11.395716667175293,1.2541159391403198
foreground_pixel,pixel_000_048,0,48,105,384,3.657142857142857,3.0,10,114,76,28,9.971125602722168,1.2015457153320312
foreground_pixel,pixel_000_049,0,49,109,390,3.5779816513761467,3.0,10,104,64,28,11.943021774291992,0.9226388931274414
foreground_pixel,pixel_000_050,0,50,104,376,3.6153846153846154,3.0,10,77,57,31,10.516480445861816,1.0181913375854492
foreground_pixel,pixel_000_051,0,51,106,382,3.6037735849056602,3.0,10,102,71,24,10.812716484069824,0.9545047879219055
foreground_pixel,pixel_000_052,0,52,106,382,3.6037735849056602,3.0,10,90,56,26,9.486342430114746,1.107032299041748
foreground_pixel,pixel_000_053,0,53,105,383,3.6476190476190475,3.0,10,96,49,28,10.497777938842773,0.9348891377449036
foreground_pixel,pixel_000_054,0,54,106,385,3.6320754716981134,3.0,10,92,55,30,9.838394165039062,1.110750675201416
foreground_pixel,pixel_000_055,0,55,105,382,3.638095238095238,3.0,10,105,64,29,12.077473640441895,0.9424498677253723
foreground_pixel,pixel_000_056,0,56,103,378,3.6699029126213594,3.0,10,88,52,29,10.95174503326416,1.039638638496399
foreground_pixel,pixel_000_057,0,57,105,383,3.6476190476190475,3.0,10,110,65,28,10.86626148223877,0.9351263642311096
foreground_pixel,pixel_000_058,0,58,107,383,3.5794392523364484,3.0,10,93,59,30,10.455378532409668,1.0891815423965454
foreground_pixel,pixel_000_059,0,59,106,380,3.5849056603773586,3.0,10,107,67,29,12.191205024719238,0.9089858531951904
foreground_pixel,pixel_000_060,0,60,105,379,3.6095238095238096,3.0,10,94,59,29,11.251973152160645,0.9948171973228455
foreground_pixel,pixel_000_061,0,61,106,381,3.5943396226415096,3.0,10,101,58,28,10.706369400024414,1.0440560579299927
foreground_pixel,pixel_000_062,0,62,104,377,3.625,3.0,10,117,64,29,11.470051765441895,0.9421331882476807
foreground_pixel,pixel_000_063,0,63,102,373,3.656862745098039,3.0,10,106,55,30,10.885522842407227,0.9570608139038086
foreground_pixel,pixel_000_064,0,64,102,366,3.588235294117647,3.0,10,90,55,29,11.380380630493164,0.8853998184204102
foreground_pixel,pixel_000_065,0,65,105,379,3.6095238095238096,3.0,10,116,71,30,12.664896011352539,0.9300079345703125
foreground_pixel,pixel_000_066,0,66,106,384,3.6226415094339623,3.0,10,109,68,29,12.59133243560791,0.9158147573471069
foreground_pixel,pixel_000_067,0,67,102,375,3.676470588235294,3.0,10,93,56,31,13.848388671875,0.8870494365692139
foreground_pixel,pixel_000_068,0,68,106,386,3.641509433962264,3.0,10,83,58,29,13.487471580505371,0.8265801072120667
foreground_pixel,pixel_000_069,0,69,106,385,3.6320754716981134,3.0,10,92,65,28,14.018752098083496,0.8588043451309204
foreground_pixel,pixel_000_070,0,70,106,386,3.641509433962264,3.0,10,94,63,33,13.299787521362305,1.0435469150543213
foreground_pixel,pixel_000_071,0,71,106,381,3.5943396226415096,3.0,10,82,60,29,12.744989395141602,1.0124248266220093
foreground_pixel,pixel_000_072,0,72,106,385,3.6320754716981134,3.0,10,84,68,33,13.417580604553223,1.0585347414016724
foreground_pixel,pixel_000_073,0,73,106,382,3.6037735849056602,3.0,10,82,64,33,13.638421058654785,1.035585641860962
foreground_pixel,pixel_000_074,0,74,106,385,3.6320754716981134,3.0,10,96,59,33,12.891521453857422,1.0109516382217407
foreground_pixel,pixel_000_075,0,75,104,378,3.6346153846153846,3.0,10,72,63,31,13.288291931152344,0.9937372207641602
foreground_pixel,pixel_000_076,0,76,106,385,3.6320754716981134,3.0,10,73,60,37,12.660545349121094,1.2165839672088623
foreground_pixel,pixel_000_077,0,77,106,383,3.6132075471698113,3.0,10,98,64,33,12.151456832885742,1.2882014513015747
