candidate_index,candidate_id,lipid_name,lipid_identity,lipid_class,adduct,rule_sheet,precursor_mz,isolation_window_low,isolation_window_high,in_isolation_window,eligibility_reason,precursor_source_channel_index,precursor_source_channel_mz,precursor_match_abs_error_da,precursor_compatible_group_id,precursor_compatible_group_multiplicity,compatible_observation_channel_indices,compatible_observation_channel_mz
56,PA-H__0227,PA 20:1_22:5,PA 20:1_22:5,PA,[M-H]-,PA-H,775.528331,748.0,798.0,True,precursor M0 lies inside frozen acquisition isolation window 748–798 m/z,953,775.5273072042004,0.0010237957995968827,PG_053,9,953;954;955,775.52730720;775.54788947;775.56883181
57,PA-H__0228,PA 20:1_22:6,PA 20:1_22:6,PA,[M-H]-,PA-H,773.512681,748.0,798.0,True,precursor M0 lies inside frozen acquisition isolation window 748–798 m/z,946,773.5125699693858,0.00011103061422090832,PG_047,5,946;947,773.51256997;773.53276423
58,PA-H__0236,PA 20:2_20:2,PA 20:2_20:2,PA,[M-H]-,PA-H,751.528331,748.0,798.0,True,precursor M0 lies inside frozen acquisition isolation window 748–798 m/z,856,751.5276186792981,0.0007123207018366884,PG_006,7,855;856;857,751.48785061;751.52761868;751.54768892
59,PA-H__0237,PA 20:2_20:3,PA 20:2_20:3,PA,[M-H]-,PA-H,749.512681,748.0,798.0,True,precursor M0 lies inside frozen acquisition isolation window 748–798 m/z,848,749.5115438924689,0.0011371075311217282,PG_001,7,848;849,749.51154389;749.53344369
60,PA-H__0241,PA 22:1_20:2,PA 22:1_20:2,PA,[M-H]-,PA-H,781.575281,748.0,798.0,True,precursor M0 lies inside frozen acquisition isolation window 748–798 m/z,983,781.5733472772068,0.0019337227931828238,PG_067,5,982;983;984,781.54660428;781.57334728;781.59409220
61,PA-H__0244,PA 20:2_22:4,PA 20:2_22:4,PA,[M-H]-,PA-H,775.528331,748.0,798.0,True,precursor M0 lies inside frozen acquisition isolation window 748–798 m/z,953,775.5273072042004,0.0010237957995968827,PG_053,9,953;954;955,775.52730720;775.54788947;775.56883181
62,PA-H__0246,PA 20:2_22:6,PA 20:2_22:6,PA,[M-H]-,PA-H,771.497031,748.0,798.0,True,precursor M0 lies inside frozen acquisition isolation window 748–798 m/z,938,771.4975339056739,0.0005029056738976578,PG_043,3,938;939,771.49753391;771.51720862
63,PA-H__0257,PA 22:0_20:3,PA 22:0_20:3,PA,[M-H]-,PA-H,781.575281,748.0,798.0,True,precursor M0 lies inside frozen acquisition isolation window 748–798 m/z,983,781.5733472772068,0.0019337227931828238,PG_067,5,982;983;984,781.54660428;781.57334728;781.59409220
64,PA-H__0258,PA 22:1_20:3,PA 22:1_20:3,PA,[M-H]-,PA-H,779.559631,748.0,798.0,True,precursor M0 lies inside frozen acquisition isolation window 748–798 m/z,974,779.5580787388091,0.001552261190909121,PG_062,5,973;974;975;976,779.52893370;779.55807874;779.57695111;779.59672926
65,PA-H__0260,PA 20:3_22:3,PA 20:3_22:3,PA,[M-H]-,PA-H,775.528331,748.0,798.0,True,precursor M0 lies inside frozen acquisition isolation window 748–798 m/z,953,775.5273072042004,0.0010237957995968827,PG_053,9,953;954;955,775.52730720;775.54788947;775.56883181
66,PA-H__0261,PA 20:3_22:4,PA 20:3_22:4,PA,[M-H]-,PA-H,773.512681,748.0,798.0,True,precursor M0 lies inside frozen acquisition isolation window 748–798 m/z,946,773.5125699693858,0.00011103061422090832,PG_047,5,946;947,773.51256997;773.53276423
67,PA-H__0263,PA 20:3_22:6,PA 20:3_22:6,PA,[M-H]-,PA-H,769.481381,748.0,798.0,True,precursor M0 lies inside frozen acquisition isolation window 748–798 m/z,929,769.4824508862854,0.001069886285335997,PG_039,2,929;930,769.48245089;769.50187063
68,PA-H__0273,PA 22:0_20:4,PA 22:0_20:4,PA,[M-H]-,PA-H,779.559631,748.0,798.0,True,precursor M0 lies inside frozen acquisition isolation window 748–798 m/z,974,779.5580787388091,0.001552261190909121,PG_062,5,973;974;975;976,779.52893370;779.55807874;779.57695111;779.59672926
69,PA-H__0274,PA 22:1_20:4,PA 22:1_20:4,PA,[M-H]-,PA-H,777.543981,748.0,798.0,True,precursor M0 lies inside frozen acquisition isolation window 748–798 m/z,963,777.5424345074867,0.0015464925132846474,PG_058,5,962;963;964;965,777.50358895;777.54243451;777.56340790;777.58446976
70,PA-H__0275,PA 22:2_20:4,PA 22:2_20:4,PA,[M-H]-,PA-H,775.528331,748.0,798.0,True,precursor M0 lies inside frozen acquisition isolation window 748–798 m/z,953,775.5273072042004,0.0010237957995968827,PG_053,9,953;954;955,775.52730720;775.54788947;775.56883181
71,PA-H__0276,PA 22:3_20:4,PA 22:3_20:4,PA,[M-H]-,PA-H,773.512681,748.0,798.0,True,precursor M0 lies inside frozen acquisition isolation window 748–798 m/z,946,773.5125699693858,0.00011103061422090832,PG_047,5,946;947,773.51256997;773.53276423
72,PA-H__0277,PA 20:4_22:4,PA 20:4_22:4,PA,[M-H]-,PA-H,771.497031,748.0,798.0,True,precursor M0 lies inside frozen acquisition isolation window 748–798 m/z,938,771.4975339056739,0.0005029056738976578,PG_043,3,938;939,771.49753391;771.51720862
73,PA-H__0278,PA 20:4_22:5,PA 20:4_22:5,PA,[M-H]-,PA-H,769.481381,748.0,798.0,True,precursor M0 lies inside frozen acquisition isolation window 748–798 m/z,929,769.4824508862854,0.001069886285335997,PG_039,2,929;930,769.48245089;769.50187063
74,PA-H__0279,PA 20:4_22:6,PA 20:4_22:6,PA,[M-H]-,PA-H,767.465731,748.0,798.0,True,precursor M0 lies inside frozen acquisition isolation window 748–798 m/z,923,767.482185787695,0.016454787695010964,PG_036,5,923;924,767.48218579;767.50896762
75,PA-H__0289,PA 22:1_20:5,PA 22:1_20:5,PA,[M-H]-,PA-H,775.528331,748.0,798.0,True,precursor M0 lies inside frozen acquisition isolation window 748–798 m/z,953,775.5273072042004,0.0010237957995968827,PG_053,9,953;954;955,775.52730720;775.54788947;775.56883181
76,PA-H__0344,PA 22:3_22:6,PA 22:3_22:6,PA,[M-H]-,PA-H,797.512681,748.0,798.0,True,precursor M0 lies inside frozen acquisition isolation window 748–798 m/z,1066,797.513599565127,0.0009185651269945083,PG_108,2,1066;1067,797.51359957;797.53299645
77,PA-H__0353,PA 22:4_22:5,PA 22:4_22:5,PA,[M-H]-,PA-H,797.512681,748.0,798.0,True,precursor M0 lies inside frozen acquisition isolation window 748–798 m/z,1066,797.513599565127,0.0009185651269945083,PG_108,2,1066;1067,797.51359957;797.53299645
78,PA-H__0354,PA 22:4_22:6,PA 22:4_22:6,PA,[M-H]-,PA-H,795.497031,748.0,798.0,True,precursor M0 lies inside frozen acquisition isolation window 748–798 m/z,1057,795.511968197307,0.014937197307062888,PG_105,8,1057;1058,795.51196820;795.55001275
79,PA-H__0362,PA 22:5_22:5,PA 22:5_22:5,PA,[M-H]-,PA-H,795.497031,748.0,798.0,True,precursor M0 lies inside frozen acquisition isolation window 748–798 m/z,1057,795.511968197307,0.014937197307062888,PG_105,8,1057;1058,795.51196820;795.55001275
80,PA-H__0363,PA 22:5_22:6,PA 22:5_22:6,PA,[M-H]-,PA-H,793.481381,748.0,798.0,True,precursor M0 lies inside frozen acquisition isolation window 748–798 m/z,1047,793.4974998433935,0.016118843393428506,PG_102,5,1047;1048,793.49749984;793.53404710
81,PA-H__0371,PA 22:6_22:6,PA 22:6_22:6,PA,[M-H]-,PA-H,791.465731,748.0,798.0,True,precursor M0 lies inside frozen acquisition isolation window 748–798 m/z,1034,791.4689400524028,0.0032090524027807987,PG_095,1,1034;1035,791.46894005;791.48704062
82,PS-H__0036,PS 14:0_20:0,PS 14:0_20:0,PS,[M-H]-,PS-H,762.52906,748.0,798.0,True,precursor M0 lies inside frozen acquisition isolation window 748–798 m/z,899,762.5352585865107,0.006198586510777204,PG_029,3,898;899;900,762.50734247;762.53525859;762.56203510
83,PS-H__0037,PS 14:0_20:1,PS 14:0_20:1,PS,[M-H]-,PS-H,760.51341,748.0,798.0,True,precursor M0 lies inside frozen acquisition isolation window 748–798 m/z,888,760.519048268421,0.005638268420966597,PG_024,3,887;888;889,760.49229467;760.51904827;760.54989414
84,PS-H__0042,PS 14:0_22:0,PS 14:0_22:0,PS,[M-H]-,PS-H,790.56036,748.0,798.0,True,precursor M0 lies inside frozen acquisition isolation window 748–798 m/z,1030,790.5659087838933,0.005548783893345899,PG_093,5,1029;1030;1031,790.53953608;790.56590878;790.59584237
85,PS-H__0043,PS 14:0_22:1,PS 14:0_22:1,PS,[M-H]-,PS-H,788.54471,748.0,798.0,True,precursor M0 lies inside frozen acquisition isolation window 748–798 m/z,1018,788.5488696281399,0.004159628139859706,PG_088,4,1017;1018;1019,788.52101563;788.54886963;788.58025979
86,PS-H__0044,PS 14:0_22:2,PS 14:0_22:2,PS,[M-H]-,PS-H,786.52906,748.0,798.0,True,precursor M0 lies inside frozen acquisition isolation window 748–798 m/z,1006,786.5320567627151,0.0029967627151563647,PG_080,5,1005;1006;1007,786.50749342;786.53205676;786.56486845
87,PS-H__0045,PS 14:0_22:3,PS 14:0_22:3,PS,[M-H]-,PS-H,784.51341,748.0,798.0,True,precursor M0 lies inside frozen acquisition isolation window 748–798 m/z,996,784.5155743181765,0.0021643181764829933,PG_074,5,995;996;997,784.49265224;784.51557432;784.54995930
88,PS-H__0046,PS 14:0_22:4,PS 14:0_22:4,PS,[M-H]-,PS-H,782.49776,748.0,798.0,True,precursor M0 lies inside frozen acquisition isolation window 748–798 m/z,986,782.4987256298956,0.0009656298956315368,PG_068,5,985;986,782.47901955;782.49872563
89,PS-H__0058,PS 16:0_18:0,PS 16:0_18:0,PS,[M-H]-,PS-H,762.52906,748.0,798.0,True,precursor M0 lies inside frozen acquisition isolation window 748–798 m/z,899,762.5352585865107,0.006198586510777204,PG_029,3,898;899;900,762.50734247;762.53525859;762.56203510
90,PS-H__0059,PS 16:0_18:1,PS 16:0_18:1,PS,[M-H]-,PS-H,760.51341,748.0,798.0,True,precursor M0 lies inside frozen acquisition isolation window 748–798 m/z,888,760.519048268421,0.005638268420966597,PG_024,3,887;888;889,760.49229467;760.51904827;760.54989414
91,PS-H__0060,PS 16:0_18:2,PS 16:0_18:2,PS,[M-H]-,PS-H,758.49776,748.0,798.0,True,precursor M0 lies inside frozen acquisition isolation window 748–798 m/z,880,758.5023055103966,0.0045455103966105526,PG_018,2,880;881,758.50230551;758.54553569
92,PS-H__0062,PS 16:0_20:0,PS 16:0_20:0,PS,[M-H]-,PS-H,790.56036,748.0,798.0,True,precursor M0 lies inside frozen acquisition isolation window 748–798 m/z,1030,790.5659087838933,0.005548783893345899,PG_093,5,1029;1030;1031,790.53953608;790.56590878;790.59584237
93,PS-H__0063,PS 16:0_20:1,PS 16:0_20:1,PS,[M-H]-,PS-H,788.54471,748.0,798.0,True,precursor M0 lies inside frozen acquisition isolation window 748–798 m/z,1018,788.5488696281399,0.004159628139859706,PG_088,4,1017;1018;1019,788.52101563;788.54886963;788.58025979
94,PS-H__0064,PS 16:0_20:2,PS 16:0_20:2,PS,[M-H]-,PS-H,786.52906,748.0,798.0,True,precursor M0 lies inside frozen acquisition isolation window 748–798 m/z,1006,786.5320567627151,0.0029967627151563647,PG_080,5,1005;1006;1007,786.50749342;786.53205676;786.56486845
95,PS-H__0065,PS 16:0_20:3,PS 16:0_20:3,PS,[M-H]-,PS-H,784.51341,748.0,798.0,True,precursor M0 lies inside frozen acquisition isolation window 748–798 m/z,996,784.5155743181765,0.0021643181764829933,PG_074,5,995;996;997,784.49265224;784.51557432;784.54995930
96,PS-H__0066,PS 16:0_20:4,PS 16:0_20:4,PS,[M-H]-,PS-H,782.49776,748.0,798.0,True,precursor M0 lies inside frozen acquisition isolation window 748–798 m/z,986,782.4987256298956,0.0009656298956315368,PG_068,5,985;986,782.47901955;782.49872563
