record_type,source,quantile_or_rank,empirical_value,lognormal_value,sample_count
empirical_rank_curve,production_X_active_gt_1e-4_normalized_within_pixel,rank_43,0.0018744406828381111,,15835
empirical_rank_curve,production_X_active_gt_1e-4_normalized_within_pixel,rank_44,0.0017595012003537827,,15835
empirical_rank_curve,production_X_active_gt_1e-4_normalized_within_pixel,rank_45,0.0016488555804654496,,15830
empirical_rank_curve,production_X_active_gt_1e-4_normalized_within_pixel,rank_46,0.001544850150450955,,15825
empirical_rank_curve,production_X_active_gt_1e-4_normalized_within_pixel,rank_47,0.0014432950889226703,,15822
empirical_rank_curve,production_X_active_gt_1e-4_normalized_within_pixel,rank_48,0.0013453684724045161,,15816
empirical_rank_curve,production_X_active_gt_1e-4_normalized_within_pixel,rank_49,0.0012582084004933223,,15810
empirical_rank_curve,production_X_active_gt_1e-4_normalized_within_pixel,rank_50,0.001173743435020076,,15802
empirical_rank_curve,production_X_active_gt_1e-4_normalized_within_pixel,rank_51,0.0010958668839774373,,15789
empirical_rank_curve,production_X_active_gt_1e-4_normalized_within_pixel,rank_52,0.0010235904721764585,,15764
empirical_rank_curve,production_X_active_gt_1e-4_normalized_within_pixel,rank_53,0.0009519212639941049,,15737
empirical_rank_curve,production_X_active_gt_1e-4_normalized_within_pixel,rank_54,0.000885475597883581,,15717
empirical_rank_curve,production_X_active_gt_1e-4_normalized_within_pixel,rank_55,0.000822061940647747,,15692
empirical_rank_curve,production_X_active_gt_1e-4_normalized_within_pixel,rank_56,0.0007655778815060947,,15650
empirical_rank_curve,production_X_active_gt_1e-4_normalized_within_pixel,rank_57,0.0007129280696365803,,15592
empirical_rank_curve,production_X_active_gt_1e-4_normalized_within_pixel,rank_58,0.0006671092985974379,,15534
empirical_rank_curve,production_X_active_gt_1e-4_normalized_within_pixel,rank_59,0.0006241975819585667,,15466
empirical_rank_curve,production_X_active_gt_1e-4_normalized_within_pixel,rank_60,0.000585392528847521,,15382
empirical_rank_curve,production_X_active_gt_1e-4_normalized_within_pixel,rank_61,0.0005457465497701855,,15300
empirical_rank_curve,production_X_active_gt_1e-4_normalized_within_pixel,rank_62,0.0005102775069191678,,15192
empirical_rank_curve,production_X_active_gt_1e-4_normalized_within_pixel,rank_63,0.0004799732354863008,,15060
empirical_rank_curve,production_X_active_gt_1e-4_normalized_within_pixel,rank_64,0.0004484993647503025,,14929
empirical_rank_curve,production_X_active_gt_1e-4_normalized_within_pixel,rank_65,0.0004214061932003957,,14757
empirical_rank_curve,production_X_active_gt_1e-4_normalized_within_pixel,rank_66,0.00039525180112381773,,14570
empirical_rank_curve,production_X_active_gt_1e-4_normalized_within_pixel,rank_67,0.0003710715707650388,,14358
empirical_rank_curve,production_X_active_gt_1e-4_normalized_within_pixel,rank_68,0.0003492314600138245,,14129
empirical_rank_curve,production_X_active_gt_1e-4_normalized_within_pixel,rank_69,0.0003265939558012533,,13876
empirical_rank_curve,production_X_active_gt_1e-4_normalized_within_pixel,rank_70,0.0003064180527941586,,13568
empirical_rank_curve,production_X_active_gt_1e-4_normalized_within_pixel,rank_71,0.0002880965288935478,,13237
empirical_rank_curve,production_X_active_gt_1e-4_normalized_within_pixel,rank_72,0.00027071493983179965,,12893
empirical_rank_curve,production_X_active_gt_1e-4_normalized_within_pixel,rank_73,0.0002532784739429399,,12517
empirical_rank_curve,production_X_active_gt_1e-4_normalized_within_pixel,rank_74,0.000238008994758462,,12101
empirical_rank_curve,production_X_active_gt_1e-4_normalized_within_pixel,rank_75,0.00022314477539532823,,11644
empirical_rank_curve,production_X_active_gt_1e-4_normalized_within_pixel,rank_76,0.00021019147059015664,,11082
empirical_rank_curve,production_X_active_gt_1e-4_normalized_within_pixel,rank_77,0.00019757465664647944,,10483
empirical_rank_curve,production_X_active_gt_1e-4_normalized_within_pixel,rank_78,0.0001872648929761891,,9853
empirical_rank_curve,production_X_active_gt_1e-4_normalized_within_pixel,rank_79,0.00017725269107049616,,9258
empirical_rank_curve,production_X_active_gt_1e-4_normalized_within_pixel,rank_80,0.00016918758729387876,,8615
empirical_rank_curve,production_X_active_gt_1e-4_normalized_within_pixel,rank_81,0.00016046713963603106,,7964
empirical_rank_curve,production_X_active_gt_1e-4_normalized_within_pixel,rank_82,0.00015462710452083972,,7308
empirical_rank_curve,production_X_active_gt_1e-4_normalized_within_pixel,rank_83,0.00014967726355176559,,6643
empirical_rank_curve,production_X_active_gt_1e-4_normalized_within_pixel,rank_84,0.00014510735511481996,,5989
empirical_rank_curve,production_X_active_gt_1e-4_normalized_within_pixel,rank_85,0.00014084367324251662,,5424
empirical_rank_curve,production_X_active_gt_1e-4_normalized_within_pixel,rank_86,0.0001370255918847966,,4877
empirical_rank_curve,production_X_active_gt_1e-4_normalized_within_pixel,rank_87,0.00013301257066729403,,4382
empirical_rank_curve,production_X_active_gt_1e-4_normalized_within_pixel,rank_88,0.0001309210901720227,,3895
empirical_rank_curve,production_X_active_gt_1e-4_normalized_within_pixel,rank_89,0.0001279058704742447,,3471
empirical_rank_curve,production_X_active_gt_1e-4_normalized_within_pixel,rank_90,0.00012513239069034132,,3088
empirical_rank_curve,production_X_active_gt_1e-4_normalized_within_pixel,rank_91,0.00012169625859991613,,2748
empirical_rank_curve,production_X_active_gt_1e-4_normalized_within_pixel,rank_92,0.00011881063798891514,,2428
empirical_rank_curve,production_X_active_gt_1e-4_normalized_within_pixel,rank_93,0.00011677074159285015,,2124
empirical_rank_curve,production_X_active_gt_1e-4_normalized_within_pixel,rank_94,0.00011368990574910017,,1855
empirical_rank_curve,production_X_active_gt_1e-4_normalized_within_pixel,rank_95,0.00011232582619243708,,1623
empirical_rank_curve,production_X_active_gt_1e-4_normalized_within_pixel,rank_96,0.00011127587191980402,,1409
empirical_rank_curve,production_X_active_gt_1e-4_normalized_within_pixel,rank_97,0.00010830816256201036,,1228
empirical_rank_curve,production_X_active_gt_1e-4_normalized_within_pixel,rank_98,0.00010538714528728497,,1087
empirical_rank_curve,production_X_active_gt_1e-4_normalized_within_pixel,rank_99,0.00010454773004622843,,923
empirical_rank_curve,production_X_active_gt_1e-4_normalized_within_pixel,rank_100,0.00010268162021243257,,801
empirical_rank_curve,production_X_active_gt_1e-4_normalized_within_pixel,rank_101,0.00010196018401870759,,686
empirical_rank_curve,production_X_active_gt_1e-4_normalized_within_pixel,rank_102,9.974191300923003e-05,,585
empirical_rank_curve,production_X_active_gt_1e-4_normalized_within_pixel,rank_103,9.94806981931916e-05,,497
empirical_rank_curve,production_X_active_gt_1e-4_normalized_within_pixel,rank_104,9.883679091938634e-05,,407
empirical_rank_curve,production_X_active_gt_1e-4_normalized_within_pixel,rank_105,9.661881596008032e-05,,340
empirical_rank_curve,production_X_active_gt_1e-4_normalized_within_pixel,rank_106,9.509276872301686e-05,,295
empirical_rank_curve,production_X_active_gt_1e-4_normalized_within_pixel,rank_107,9.30196464957678e-05,,248
empirical_rank_curve,production_X_active_gt_1e-4_normalized_within_pixel,rank_108,9.19694477119418e-05,,210
empirical_rank_curve,production_X_active_gt_1e-4_normalized_within_pixel,rank_109,8.791921574307141e-05,,167
empirical_rank_curve,production_X_active_gt_1e-4_normalized_within_pixel,rank_110,9.04568351926236e-05,,124
empirical_rank_curve,production_X_active_gt_1e-4_normalized_within_pixel,rank_111,9.058150562332203e-05,,96
empirical_rank_curve,production_X_active_gt_1e-4_normalized_within_pixel,rank_112,8.682805543417052e-05,,80
empirical_rank_curve,production_X_active_gt_1e-4_normalized_within_pixel,rank_113,8.38159305299287e-05,,68
empirical_rank_curve,production_X_active_gt_1e-4_normalized_within_pixel,rank_114,7.988429982795341e-05,,58
empirical_rank_curve,production_X_active_gt_1e-4_normalized_within_pixel,rank_115,8.25616711867808e-05,,39
empirical_rank_curve,production_X_active_gt_1e-4_normalized_within_pixel,rank_116,7.957177461365793e-05,,26
empirical_rank_curve,production_X_active_gt_1e-4_normalized_within_pixel,rank_117,8.160240577315276e-05,,19
empirical_rank_curve,production_X_active_gt_1e-4_normalized_within_pixel,rank_118,8.405298940423762e-05,,12
empirical_rank_curve,production_X_active_gt_1e-4_normalized_within_pixel,rank_119,8.231786321921683e-05,,10
empirical_rank_curve,production_X_active_gt_1e-4_normalized_within_pixel,rank_120,7.537167018588236e-05,,9
empirical_rank_curve,production_X_active_gt_1e-4_normalized_within_pixel,rank_121,9.8427597935046e-05,,5
empirical_rank_curve,production_X_active_gt_1e-4_normalized_within_pixel,rank_122,8.647981660107212e-05,,5
empirical_rank_curve,production_X_active_gt_1e-4_normalized_within_pixel,rank_123,8.323443359531139e-05,,2
empirical_rank_curve,production_X_active_gt_1e-4_normalized_within_pixel,rank_124,8.213131757464967e-05,,1
empirical_rank_curve,production_X_active_gt_1e-4_normalized_within_pixel,rank_125,7.469613303514343e-05,,1
independent_parent_intensity_reference,normalized_B_acquisition_window_748_798_channels_above_frozen_threshold,P1,0.0003160291526000947,,2460970
independent_parent_intensity_reference,normalized_B_acquisition_window_748_798_channels_above_frozen_threshold,P5,0.0003160291526000947,,2460970
independent_parent_intensity_reference,normalized_B_acquisition_window_748_798_channels_above_frozen_threshold,P10,0.0004213722131680697,,2460970
independent_parent_intensity_reference,normalized_B_acquisition_window_748_798_channels_above_frozen_threshold,P25,0.0008427444263361394,,2460970
independent_parent_intensity_reference,normalized_B_acquisition_window_748_798_channels_above_frozen_threshold,P50,0.0021068609785288572,,2460970
independent_parent_intensity_reference,normalized_B_acquisition_window_748_798_channels_above_frozen_threshold,P75,0.005899210926145315,,2460970
independent_parent_intensity_reference,normalized_B_acquisition_window_748_798_channels_above_frozen_threshold,P90,0.0159068014472723,,2460970
independent_parent_intensity_reference,normalized_B_acquisition_window_748_798_channels_above_frozen_threshold,P95,0.025703705847263336,,2460970
independent_parent_intensity_reference,normalized_B_acquisition_window_748_798_channels_above_frozen_threshold,P99,0.06815695762634277,,2460970
