dataset_id,domain,K,split,replicate,candidate_index,candidate_id,lipid_name,lipid_class,X_hat,rho_zero,rho_zero_status,raw_solver_reported,molecular_truth,candidate_truth,reportable_truth
D0__HOLD_R2_K125,D0,125,HOLD,R2,355,PEO-H__0073,PE O-16:0_22:2,PE,0.0001136946146499778,,NOT_COMPUTED,False,False,False,False
D0__HOLD_R2_K125,D0,125,HOLD,R2,356,PEO-H__0074,PE O-16:0_22:3,PE,6.234445167777661e-05,,NOT_COMPUTED,False,True,True,True
D0__HOLD_R2_K125,D0,125,HOLD,R2,357,PEO-H__0075,PE O-16:0_22:4,PE,0.003765791634560018,0.0,COMPUTED,True,False,False,False
D0__HOLD_R2_K125,D0,125,HOLD,R2,358,PEO-H__0076,PE O-16:0_22:5,PE,0.0,,NOT_COMPUTED,False,False,False,False
D0__HOLD_R2_K125,D0,125,HOLD,R2,359,PEO-H__0077,PE O-16:0_22:6,PE,0.0005221716151656605,,NOT_COMPUTED,False,False,False,False
D0__HOLD_R2_K125,D0,125,HOLD,R2,360,PEO-H__0078,PE O-16:0_24:0,PE,5.7144942816763924e-05,,NOT_COMPUTED,False,False,False,False
D0__HOLD_R2_K125,D0,125,HOLD,R2,361,PEO-H__0079,PE O-16:0_24:1,PE,0.0004394330201361761,,NOT_COMPUTED,False,False,False,False
D0__HOLD_R2_K125,D0,125,HOLD,R2,362,PEO-H__0080,PE O-16:0_24:2,PE,0.012544316575441217,1.347767757990571e-07,COMPUTED,True,True,True,True
D0__HOLD_R2_K125,D0,125,HOLD,R2,363,PEO-H__0081,PE O-16:0_24:3,PE,1.9776532080738704e-06,,NOT_COMPUTED,False,False,False,False
D0__HOLD_R2_K125,D0,125,HOLD,R2,364,PEO-H__0082,PE O-16:0_24:4,PE,0.003519738039466736,0.0,COMPUTED,True,False,False,False
D0__HOLD_R2_K125,D0,125,HOLD,R2,365,PEO-H__0083,PE O-16:0_24:5,PE,1.4671298946964425e-05,,NOT_COMPUTED,False,False,False,False
D0__HOLD_R2_K125,D0,125,HOLD,R2,366,PEO-H__0084,PE O-16:0_24:6,PE,0.00021079076311640742,,NOT_COMPUTED,False,False,False,False
D0__HOLD_R2_K125,D0,125,HOLD,R2,367,PEO-H__0099,PE O-16:1_22:0,PE,0.0009509839031454414,,NOT_COMPUTED,False,False,False,False
D0__HOLD_R2_K125,D0,125,HOLD,R2,368,PEO-H__0100,PE O-16:1_22:1,PE,0.004029992384597878,0.0,COMPUTED,True,False,False,False
D0__HOLD_R2_K125,D0,125,HOLD,R2,369,PEO-H__0101,PE O-16:1_22:2,PE,0.0,,NOT_COMPUTED,False,False,False,False
D0__HOLD_R2_K125,D0,125,HOLD,R2,370,PEO-H__0102,PE O-16:1_22:3,PE,4.562689277754294e-06,,NOT_COMPUTED,False,False,False,False
D0__HOLD_R2_K125,D0,125,HOLD,R2,371,PEO-H__0103,PE O-16:1_22:4,PE,0.0,,NOT_COMPUTED,False,False,False,False
D0__HOLD_R2_K125,D0,125,HOLD,R2,372,PEO-H__0104,PE O-16:1_22:5,PE,0.0008890086679116478,,NOT_COMPUTED,False,False,False,False
D0__HOLD_R2_K125,D0,125,HOLD,R2,373,PEO-H__0106,PE O-16:1_24:0,PE,0.0,,NOT_COMPUTED,False,False,False,False
D0__HOLD_R2_K125,D0,125,HOLD,R2,374,PEO-H__0107,PE O-16:1_24:1,PE,0.00022119177707919326,,NOT_COMPUTED,False,False,False,False
D0__HOLD_R2_K125,D0,125,HOLD,R2,375,PEO-H__0108,PE O-16:1_24:2,PE,0.00039921787495810623,,NOT_COMPUTED,False,False,False,False
D0__HOLD_R2_K125,D0,125,HOLD,R2,376,PEO-H__0109,PE O-16:1_24:3,PE,0.0025852667741680237,0.0,COMPUTED,True,False,False,False
D0__HOLD_R2_K125,D0,125,HOLD,R2,377,PEO-H__0110,PE O-16:1_24:4,PE,0.011471691007977297,8.676588682150954e-07,COMPUTED,True,True,True,True
D0__HOLD_R2_K125,D0,125,HOLD,R2,378,PEO-H__0111,PE O-16:1_24:5,PE,0.004950458924926255,0.0,COMPUTED,True,False,False,False
D0__HOLD_R2_K125,D0,125,HOLD,R2,379,PEO-H__0112,PE O-16:1_24:6,PE,0.0034480199328448587,0.0,COMPUTED,True,False,False,False
D0__HOLD_R2_K125,D0,125,HOLD,R2,380,PEO-H__0121,PE O-18:0_20:0,PE,0.014453925490612312,1.479958655392181e-07,COMPUTED,True,True,True,True
D0__HOLD_R2_K125,D0,125,HOLD,R2,381,PEO-H__0122,PE O-18:0_20:1,PE,0.01536002217458855,4.957112024237172e-09,COMPUTED,True,True,True,True
D0__HOLD_R2_K125,D0,125,HOLD,R2,382,PEO-H__0123,PE O-18:0_20:2,PE,0.003522441528423902,0.0,COMPUTED,True,False,False,False
D0__HOLD_R2_K125,D0,125,HOLD,R2,383,PEO-H__0124,PE O-18:0_20:3,PE,0.0010877609594893327,0.0,COMPUTED,True,False,False,False
