dataset_id,split,replicate,complexity_condition,global_truth_K,candidate_index,candidate_id,lipid_name,X_hat,candidate_truth,molecular_truth,same_lipid_alternative_candidate,rho_zero,cone_isolation,max_fragment_cosine,max_full_cosine,lipid_class,collective_gain,pair_id,unit_id,role,spectral_score_CAL,spectral_score_HOLD,joint_hard_score,joint_easy_score,fragment_cosine,fragment_support_jaccard,full_cosine,parent_cosine,base_template_id,realized_spatial_correlation,abundance_multiplier,K,base_dataset_id,severity,rho_zero_status,raw_solver_reported,reportable_truth
MODERATE__CAL_R4_K125,CAL,R4,K125,125,23,PA-H__0151,PA 18:1_24:4,0.0013863529758514595,False,False,False,0.0,0.2590661626283403,0.770029563231097,0.7660750464750595,PA,0.383684973635327,,,UNASSIGNED_FALSE_POSITIVE,,,,,,,,,,,,125,CAL_R4_K125,MODERATE,COMPUTED,True,False
MODERATE__CAL_R4_K125,CAL,R4,K125,125,24,PA-H__0152,PA 18:1_24:5,0.0027107593338573832,True,True,False,0.0,0.2403872498285696,0.8248123478924629,0.8214327614182942,PA,0.3299181231679643,,135,singleton_control,,,,,,,,,197,,0.5,125,CAL_R4_K125,MODERATE,COMPUTED,True,True
MODERATE__CAL_R4_K125,CAL,R4,K125,125,28,PA-H__0164,PA 18:2_22:2,0.01173688081713792,True,True,False,1.525195320571142e-06,0.47866516502254414,0.8685597534716455,0.7219248581633445,PA,0.21330629332370504,B2_U60_U84,60,spectral_hard_spatial_low,0.8323037766830871,0.8063054187192118,0.8063054187192118,0.8323037766830871,0.8432257966252498,0.7037037037037037,0.39242033148640376,0.11301891386763883,163,-0.22111422789343635,0.7802037075442214,125,CAL_R4_K125,MODERATE,COMPUTED,True,True
MODERATE__CAL_R4_K125,CAL,R4,K125,125,29,PA-H__0165,PA 18:2_22:3,0.007511099846624283,True,True,False,2.1650618319491927e-18,0.40654814292933356,0.8361365785941115,0.722889225295104,PA,0.2844157982081504,,51,singleton_control,,,,,,,,,154,,1.0760213163243861,125,CAL_R4_K125,MODERATE,COMPUTED,True,True
MODERATE__CAL_R4_K125,CAL,R4,K125,125,35,PA-H__0197,PA 20:0_20:0,0.012205487296838959,True,True,False,3.0418013581940988e-06,0.30857219638826255,0.9341726466812952,0.8971732152464247,PA,0.13310667094001766,,65,singleton_control,,,,,,,,,256,,0.8939526432607221,125,CAL_R4_K125,MODERATE,COMPUTED,True,True
MODERATE__CAL_R4_K125,CAL,R4,K125,125,36,PA-H__0198,PA 20:0_20:1,0.014045678678913225,True,True,False,0.0,0.2700502904887188,0.7565930817931681,0.6960378383676507,PA,0.447954812251149,B3_U62_U111,111,spectral_hard_spatial_low,0.6664384236453202,0.7616584564860427,0.6664384236453202,0.7616584564860427,0.07934268832688471,0.06349206349206349,0.06222121571833724,0.0,338,-0.2183794074258266,2.0,125,CAL_R4_K125,MODERATE,COMPUTED,True,True
MODERATE__CAL_R4_K125,CAL,R4,K125,125,40,PA-H__0202,PA 20:0_20:5,0.0024230083645369474,False,False,False,0.0,0.18367672004065808,0.9361340206999159,0.9175683792240663,PA,0.2139012841901092,,,UNASSIGNED_FALSE_POSITIVE,,,,,,,,,,,,125,CAL_R4_K125,MODERATE,COMPUTED,True,False
MODERATE__CAL_R4_K125,CAL,R4,K125,125,43,PA-H__0206,PA 20:0_22:3,0.004957068701935654,False,False,False,1.8225680095751583e-06,0.3047114646464892,0.6917588469202741,0.6545603952551788,PA,0.45129825021396425,,,UNASSIGNED_FALSE_POSITIVE,,,,,,,,,,,,125,CAL_R4_K125,MODERATE,COMPUTED,True,False
MODERATE__CAL_R4_K125,CAL,R4,K125,125,45,PA-H__0208,PA 20:0_22:5,0.00234636774649542,False,False,False,0.0,0.18797776572568772,0.9337578006589683,0.9226232034454928,PA,0.19772474199752751,,,UNASSIGNED_FALSE_POSITIVE,,,,,,,,,,,,125,CAL_R4_K125,MODERATE,COMPUTED,True,False
MODERATE__CAL_R4_K125,CAL,R4,K125,125,48,PA-H__0218,PA 20:1_20:2,0.010168822391851134,True,True,False,4.541952593435791e-05,0.4799544894237642,0.9253440230489325,0.6127851649721114,PA,0.31029505444836114,B1_U9_U37,37,spectral_easy_spatial_high,0.15578981937602626,0.15053530377668312,0.15053530377668312,0.15578981937602626,0.0,0.0,0.0,0.0,390,0.9962368569842857,0.5340342571614348,125,CAL_R4_K125,MODERATE,COMPUTED,True,True
MODERATE__CAL_R4_K125,CAL,R4,K125,125,49,PA-H__0219,PA 20:1_20:3,0.02182036127092409,True,True,False,5.743539864361475e-07,0.2950230689775499,0.8311619582958673,0.670144021014576,PA,0.44720802111394947,B1_U95_U125,95,spectral_hard_spatial_low,0.7451149425287357,0.8009901477832513,0.7451149425287357,0.8009901477832513,0.05022587307821144,0.0661764705882353,0.05302766559774588,0.11301892928657031,284,-0.24520877146978157,2.0,125,CAL_R4_K125,MODERATE,COMPUTED,True,True
MODERATE__CAL_R4_K125,CAL,R4,K125,125,50,PA-H__0220,PA 20:1_20:4,0.018417567152290162,True,True,False,0.0,0.3008190275753367,0.858855563387748,0.7773054894334199,PA,0.3283043117601799,,92,singleton_control,,,,,,,,,210,,2.0,125,CAL_R4_K125,MODERATE,COMPUTED,True,True
