dataset_id,lipid_name,K,replicate,truth,reportable_truth,clean_raw,mild_raw,clean_rho,mild_rho,clean_X_hat,mild_X_hat,clean_at_clean,clean_at_mild,mild_at_clean,mild_at_mild,score_direction,cone_isolation,max_fragment_cosine
HOLD_R1_K050,PA 20:0_20:5,50,R1,False,False,False,False,,,4.247072066318075e-08,5.434384496758792e-06,False,False,False,False,not_jointly_reported,0.18367672004065808,0.9361340206999159
HOLD_R1_K050,PA 20:0_22:1,50,R1,False,False,True,False,0.0,,0.0039669976836431845,0.0004671814718758622,False,False,False,False,not_jointly_reported,0.3017443733307278,0.7600275012777736
HOLD_R1_K050,PA 20:0_22:2,50,R1,False,False,False,False,,,0.0003702441601376234,0.0,False,False,False,False,not_jointly_reported,0.3285634366810597,0.6941352616525697
HOLD_R1_K050,PA 20:0_22:3,50,R1,False,False,True,False,0.0,,0.0016721393736518475,1.0723486317207221e-06,False,False,False,False,not_jointly_reported,0.3047114646464892,0.6917588469202741
HOLD_R1_K050,PA 20:0_22:4,50,R1,False,False,False,False,,,0.00033963275688042094,0.0,False,False,False,False,not_jointly_reported,0.241048023112079,0.8303328039494347
HOLD_R1_K050,PA 20:0_22:5,50,R1,False,False,True,False,1.3485858327756902e-27,,0.0018772439655411989,0.0006857582399962982,False,False,False,False,not_jointly_reported,0.18797776572568772,0.9337578006589683
HOLD_R1_K050,PA 20:0_22:6,50,R1,False,False,True,True,0.0,0.0,0.0035584591375994873,0.0030473787938700087,False,False,False,False,equal,0.18342642508946627,0.9361340206999159
HOLD_R1_K050,PA 20:1_20:1,50,R1,True,True,True,True,5.965099989640525e-06,3.215347267579833e-06,0.007267074407624049,0.008205468275603369,True,False,True,False,down,0.4231895167566119,0.9753576763078726
HOLD_R1_K050,PA 20:1_20:2,50,R1,False,False,True,False,0.0,,0.002035738437137607,0.00048056848721314435,False,False,False,False,not_jointly_reported,0.4799544894237642,0.9253440230489325
HOLD_R1_K050,PA 20:1_20:3,50,R1,False,False,True,True,8.613635840130788e-22,0.0,0.0024273960367327476,0.0022316308834635446,False,False,False,False,down,0.2950230689775499,0.8311619582958673
HOLD_R1_K050,PA 20:1_20:4,50,R1,False,False,False,False,,,1.3438359777861785e-05,0.0,False,False,False,False,not_jointly_reported,0.3008190275753367,0.858855563387748
HOLD_R1_K050,PA 20:1_22:1,50,R1,True,True,True,True,8.60371820670075e-05,0.00013128731616497146,0.027394572529296342,0.027929541473225006,True,True,True,True,up,0.48292710886676304,0.8982874947005188
HOLD_R1_K050,PA 20:1_22:2,50,R1,False,False,True,True,0.0,1.9224935405271416e-05,0.0014638483250070129,0.0039819401273533325,False,False,True,True,up,0.34352237197995034,0.9019786006016902
HOLD_R1_K050,PA 20:1_22:3,50,R1,False,False,False,False,,,4.906391300006505e-06,0.000334530086923841,False,False,False,False,not_jointly_reported,0.33476954438953394,0.8781031661032047
HOLD_R1_K050,PA 20:1_22:4,50,R1,False,False,True,True,0.0,0.0,0.001411067058870281,0.001924317788120342,False,False,False,False,equal,0.34668458838690386,0.780619943822926
HOLD_R1_K050,PA 20:1_22:5,50,R1,False,False,True,False,0.0,,0.001520682716005614,0.0009677456185795118,False,False,False,False,not_jointly_reported,0.22030580527220145,0.8930555529932804
HOLD_R1_K050,PA 20:1_22:6,50,R1,False,False,False,False,,,0.00035457568980936597,0.0007505441753250626,False,False,False,False,not_jointly_reported,0.23670331410171605,0.9753576763078726
HOLD_R1_K050,PA 20:2_20:2,50,R1,False,False,True,False,4.9027727179246664e-21,,0.003215489633079238,0.00020927452220396116,False,False,False,False,not_jointly_reported,0.4107496994340883,0.9505388151236878
HOLD_R1_K050,PA 20:2_20:3,50,R1,False,False,False,False,,,0.0,0.0,False,False,False,False,not_jointly_reported,0.5731558925579161,0.7541480424155057
HOLD_R1_K050,PA 20:2_22:4,50,R1,False,False,False,False,,,0.0,2.6172392755156892e-08,False,False,False,False,not_jointly_reported,0.37047771471182533,0.7482238559770684
HOLD_R1_K050,PA 20:2_22:6,50,R1,False,False,False,False,,,0.0004662596139047143,0.0,False,False,False,False,not_jointly_reported,0.2611282723143124,0.9505388151236878
HOLD_R1_K050,PA 20:3_22:3,50,R1,False,False,False,False,,,0.0,0.0,False,False,False,False,not_jointly_reported,0.506993961836033,0.7157981623972003
HOLD_R1_K050,PA 20:3_22:4,50,R1,False,False,False,False,,,0.0,4.0965402813927874e-08,False,False,False,False,not_jointly_reported,0.402579539322542,0.7488776965339671
HOLD_R1_K050,PA 20:3_22:6,50,R1,False,False,False,False,,,0.0006222774527609722,0.00032325271189481,False,False,False,False,not_jointly_reported,0.2764948485403268,0.8594976666654472
HOLD_R1_K050,PA 20:4_22:4,50,R1,False,False,False,False,,,9.623437258016508e-08,0.00010246493344600928,False,False,False,False,not_jointly_reported,0.48634054946811606,0.6664725514235691
HOLD_R1_K050,PA 20:4_22:5,50,R1,False,False,False,False,,,4.0345736927171544e-07,9.57672948511956e-07,False,False,False,False,not_jointly_reported,0.3445703765702606,0.8204180243532724
HOLD_R1_K050,PA 20:4_22:6,50,R1,False,False,False,False,,,0.00038179601601540493,0.00017299554760243747,False,False,False,False,not_jointly_reported,0.27117341147389906,0.8204180243532724
HOLD_R1_K050,PA 22:0_18:1,50,R1,False,False,False,False,,,1.1135479418472857e-06,0.0,False,False,False,False,not_jointly_reported,0.3671639070922606,0.7050099452951126
HOLD_R1_K050,PA 22:0_18:2,50,R1,False,False,False,False,,,0.0007828821753963122,1.3762103895986494e-06,False,False,False,False,not_jointly_reported,0.34226134747101367,0.761776416520081
HOLD_R1_K050,PA 22:0_20:1,50,R1,False,False,True,True,0.0,3.5547910707055776e-08,0.0010905999135716225,0.001653143989132764,False,False,True,False,up,0.4020166500263304,0.8495611434984474
HOLD_R1_K050,PA 22:0_20:3,50,R1,False,False,False,True,,0.0,0.000867850544055512,0.0012926912911012734,False,False,False,False,not_jointly_reported,0.4070101497165706,0.700138513759436
HOLD_R1_K050,PA 22:0_20:4,50,R1,False,False,False,False,,,7.442125655762917e-07,0.0002746560188510075,False,False,False,False,not_jointly_reported,0.4550397992700734,0.7513055221510871
