truth,jointly_reported,up,median_clean_rho,median_mild_rho,down,equal,clean_positive_to_mild_zero,clean_zero_to_mild_positive,both_positive_count,median_mild_over_clean_if_both_positive
True,1650,921,4.914352072489754e-07,1.2483156652840118e-06,729,0,260,0,1390,1.4506169326051181
False,1283,721,7.212811958221695e-28,6.315951529327254e-19,238,324,238,248,473,377908842483465.4
